day,product,column,n_nan
2,GALAXY_SOUNDS_BLACK_HOLES,bid_price_3,9835
2,GALAXY_SOUNDS_BLACK_HOLES,bid_volume_3,9835
2,GALAXY_SOUNDS_BLACK_HOLES,ask_price_3,9854
2,GALAXY_SOUNDS_BLACK_HOLES,ask_volume_3,9854
2,GALAXY_SOUNDS_DARK_MATTER,bid_price_3,9835
2,GALAXY_SOUNDS_DARK_MATTER,bid_volume_3,9835
2,GALAXY_SOUNDS_DARK_MATTER,ask_price_3,9854
2,GALAXY_SOUNDS_DARK_MATTER,ask_volume_3,9854
2,GALAXY_SOUNDS_PLANETARY_RINGS,bid_price_3,9835
2,GALAXY_SOUNDS_PLANETARY_RINGS,bid_volume_3,9835
2,GALAXY_SOUNDS_PLANETARY_RINGS,ask_price_3,9854
2,GALAXY_SOUNDS_PLANETARY_RINGS,ask_volume_3,9854
2,GALAXY_SOUNDS_SOLAR_FLAMES,bid_price_3,9835
2,GALAXY_SOUNDS_SOLAR_FLAMES,bid_volume_3,9835
2,GALAXY_SOUNDS_SOLAR_FLAMES,ask_price_3,9854
2,GALAXY_SOUNDS_SOLAR_FLAMES,ask_volume_3,9854
2,GALAXY_SOUNDS_SOLAR_WINDS,bid_price_3,9835
2,GALAXY_SOUNDS_SOLAR_WINDS,bid_volume_3,9835
2,GALAXY_SOUNDS_SOLAR_WINDS,ask_price_3,9854
2,GALAXY_SOUNDS_SOLAR_WINDS,ask_volume_3,9854
2,MICROCHIP_CIRCLE,bid_price_2,795
2,MICROCHIP_CIRCLE,bid_volume_2,795
2,MICROCHIP_CIRCLE,bid_price_3,9891
2,MICROCHIP_CIRCLE,bid_volume_3,9891
2,MICROCHIP_CIRCLE,ask_price_2,806
2,MICROCHIP_CIRCLE,ask_volume_2,806
2,MICROCHIP_CIRCLE,ask_price_3,9904
2,MICROCHIP_CIRCLE,ask_volume_3,9904
2,MICROCHIP_OVAL,bid_price_2,290
2,MICROCHIP_OVAL,bid_volume_2,290
2,MICROCHIP_OVAL,bid_price_3,9882
2,MICROCHIP_OVAL,bid_volume_3,9882
2,MICROCHIP_OVAL,ask_price_2,222
2,MICROCHIP_OVAL,ask_volume_2,222
2,MICROCHIP_OVAL,ask_price_3,9895
2,MICROCHIP_OVAL,ask_volume_3,9895
2,MICROCHIP_RECTANGLE,bid_price_2,426
2,MICROCHIP_RECTANGLE,bid_volume_2,426
2,MICROCHIP_RECTANGLE,bid_price_3,9885
2,MICROCHIP_RECTANGLE,bid_volume_3,9885
2,MICROCHIP_RECTANGLE,ask_price_2,444
2,MICROCHIP_RECTANGLE,ask_volume_2,444
2,MICROCHIP_RECTANGLE,ask_price_3,9897
2,MICROCHIP_RECTANGLE,ask_volume_3,9897
2,MICROCHIP_SQUARE,bid_price_2,7
2,MICROCHIP_SQUARE,bid_volume_2,7
2,MICROCHIP_SQUARE,bid_price_3,9879
2,MICROCHIP_SQUARE,bid_volume_3,9879
2,MICROCHIP_SQUARE,ask_price_2,13
2,MICROCHIP_SQUARE,ask_volume_2,13
2,MICROCHIP_SQUARE,ask_price_3,9895
2,MICROCHIP_SQUARE,ask_volume_3,9895
2,MICROCHIP_TRIANGLE,bid_price_2,29
2,MICROCHIP_TRIANGLE,bid_volume_2,29
2,MICROCHIP_TRIANGLE,bid_price_3,9879
2,MICROCHIP_TRIANGLE,bid_volume_3,9879
2,MICROCHIP_TRIANGLE,ask_price_2,40
2,MICROCHIP_TRIANGLE,ask_volume_2,40
2,MICROCHIP_TRIANGLE,ask_price_3,9895
2,MICROCHIP_TRIANGLE,ask_volume_3,9895
2,OXYGEN_SHAKE_CHOCOLATE,bid_price_3,9835
2,OXYGEN_SHAKE_CHOCOLATE,bid_volume_3,9835
2,OXYGEN_SHAKE_CHOCOLATE,ask_price_3,9854
