group,mean_ret_corr_offdiag,mean_price_corr_offdiag,pca_PC1_var_returns,pca_PC2_var_returns,pca_PC1_var_prices,johansen_n_coint_5pct,best_eg_pair,best_eg_adf_p,best_eg_wf1_sharpe,best_eg_wf2_sharpe,best_basket_target,best_basket_r2,best_basket_resid_hl
galaxy_sounds,0.004160488494192758,0.05537439167059015,,,,0,GALAXY_SOUNDS_SOLAR_FLAMES/GALAXY_SOUNDS_SOLAR_WINDS,0.023888615295156086,1.7645142934298104,,GALAXY_SOUNDS_SOLAR_WINDS,0.30141883890383625,2284.4897476318356
microchip,0.006287508205854192,-0.11672344811182993,,,,0,MICROCHIP_RECTANGLE/MICROCHIP_SQUARE,0.004452684015810759,1.9141021919514285,1.3682652282897751,MICROCHIP_OVAL,0.9186291866441225,554.0100423270404
oxygen_shake,0.007029703880186517,-0.12347858658799567,,,,0,OXYGEN_SHAKE_CHOCOLATE/OXYGEN_SHAKE_GARLIC,0.030049333392712343,,0.650426171570417,OXYGEN_SHAKE_GARLIC,0.6945956765103445,862.0122429218065
panel,0.004328663573680305,-0.1775029996235433,,,,0,PANEL_1X2/PANEL_2X2,0.13373561740365464,0.8702841085901395,2.575288039153343,PANEL_2X2,0.7000838359528497,1129.3072501206998
pebbles,-0.19614413012183085,-0.20893914578821554,,,,1,PEBBLES_M/PEBBLES_XS,0.04252997451431577,1.3387266827141062,,PEBBLES_XL,0.9999975186856395,0.1595507369321883
robot,-0.001030503310745157,-0.16249149245712055,,,,0,ROBOT_LAUNDRY/ROBOT_VACUUMING,0.0255729326373071,1.1906409206162314,1.6984401179746633,ROBOT_MOPPING,0.7914769009064356,583.5817610158672
sleep_pod,0.002544658654943137,0.3789459752831904,,,,0,SLEEP_POD_LAMB_WOOL/SLEEP_POD_NYLON,0.021857718020401946,,,SLEEP_POD_POLYESTER,0.8878871310397407,643.264362916767
snackpack,-0.1599731978401127,-0.2309466782155311,,,,5,SNACKPACK_RASPBERRY/SNACKPACK_VANILLA,0.0013342591604045455,1.9008888281083676,1.4493357023407885,SNACKPACK_CHOCOLATE,0.9483667662547389,377.10947187429775
translator,0.004583908320515647,-0.09486477633512697,,,,0,TRANSLATOR_ECLIPSE_CHARCOAL/TRANSLATOR_VOID_BLUE,0.040771586809269164,2.1045712918976207,0.7152516146339819,TRANSLATOR_VOID_BLUE,0.6770909198775938,764.875638753557
uv_visor,0.005991149103971462,-0.11478061606338044,,,,0,UV_VISOR_AMBER/UV_VISOR_MAGENTA,0.02269367203172097,0.9824907704568838,0.8472376294334618,UV_VISOR_AMBER,0.8963536556978277,587.9088622522319
