a,b,best_lag,best_corr
MICROCHIP_CIRCLE,MICROCHIP_OVAL,5,0.0193353646447031
MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,-19,0.014430588137057323
MICROCHIP_CIRCLE,MICROCHIP_SQUARE,-3,0.012442543411055869
MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,2,-0.011999394887341301
MICROCHIP_OVAL,MICROCHIP_RECTANGLE,-1,0.013557151865094038
MICROCHIP_OVAL,MICROCHIP_SQUARE,-8,-0.011849482126955404
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,7,0.01639144967534837
MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,14,0.01635168160911075
MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,11,0.013806196064303906
MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,20,0.01644638352459109
