a,b,best_lag,best_corr
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,9,0.01473942328191354
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,-7,0.012723240725562187
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,-11,0.010758718605231013
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MORNING_BREATH,-19,0.018139115736204855
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_GARLIC,1,-0.01626179360638261
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,-18,0.02259506999183435
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MORNING_BREATH,5,-0.018988587907113413
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,-7,0.01601190456836059
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MORNING_BREATH,-18,0.014081800856471451
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_MORNING_BREATH,18,0.016481969443753127
