a,b,slope,intercept,adf_p,ou_hl,wf1_sharpe,wf1_pnl,wf2_sharpe,wf2_pnl
PEBBLES_L,PEBBLES_M,0.3034560468669369,7059.667378884967,0.34242767305481514,2392.0954181042944,1.488649948190309,898.5649131532991,0.4364970125553229,529.4223137951903
PEBBLES_L,PEBBLES_S,-0.10159250596593326,11081.57108805435,0.4185944194264324,2839.8020637477553,-0.144390294500863,-58.17929742244269,0.5800602218729897,725.7025996888133
PEBBLES_L,PEBBLES_XL,-0.06908884742052526,11087.851305679043,0.3753759714685355,2870.112068751142,-0.456347195734138,-316.0654248626943,0.645736424387676,739.1776499336902
PEBBLES_L,PEBBLES_XS,-0.11529675028538815,11027.841485463956,0.4162839904028426,2750.0265738310814,,0.0,0.5154791595758152,612.969089225171
PEBBLES_M,PEBBLES_S,-0.5082294733262891,14802.930141477877,0.06631557296870207,1390.4629163723744,1.0567419097594688,1371.2960700676376,,0.0
PEBBLES_M,PEBBLES_XL,0.13568998485188621,8468.66316929757,0.14961166410342863,1852.2676433814847,0.4343642598877937,496.7296568079555,1.1914792594544672,984.6997020040399
PEBBLES_M,PEBBLES_XS,-0.3293423197775789,12701.904421204654,0.04252997451431577,1270.6371669191115,1.3387266827141062,1215.5471388498172,,0.0
PEBBLES_S,PEBBLES_XL,-0.3913520176345275,14108.217796816485,0.09028680813786366,1547.5333140158386,2.8956076345122472,1972.6869728732072,0.9406547697897661,1172.95586801
PEBBLES_S,PEBBLES_XS,0.45889252845764944,5534.422868489607,0.054245068334611485,1277.3670414050853,0.682300355327635,975.6951021734185,1.1874052037489808,1209.7190110799365
PEBBLES_XL,PEBBLES_XS,-1.0142587046768663,20735.809655004818,0.24882111849233773,2178.477736467145,0.04520002078099195,54.69024716241256,0.32487913517325107,428.2841500971954
