a,b,best_lag,best_corr
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,4,-0.014940159043247877
SLEEP_POD_COTTON,SLEEP_POD_NYLON,3,-0.011508336032997812
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,-8,-0.01244499771421889
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,15,-0.014012735765554708
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,-6,-0.016955821148922436
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,-7,0.011434203753694718
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,-10,-0.01577903974480193
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,-14,-0.012271820386025513
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,8,-0.015047763732253227
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,-11,0.012044623568653833
