a,b,best_lag,best_corr
ROBOT_DISHES,ROBOT_IRONING,-11,-0.014188958282704082
ROBOT_DISHES,ROBOT_LAUNDRY,12,0.013368636176479655
ROBOT_DISHES,ROBOT_MOPPING,20,0.01255253162087369
ROBOT_DISHES,ROBOT_VACUUMING,9,0.011924723272523453
ROBOT_IRONING,ROBOT_LAUNDRY,19,-0.0121142716407598
ROBOT_IRONING,ROBOT_MOPPING,-10,0.01347017801562
ROBOT_IRONING,ROBOT_VACUUMING,-17,-0.01350988859934778
ROBOT_LAUNDRY,ROBOT_MOPPING,8,0.015821908940530146
ROBOT_LAUNDRY,ROBOT_VACUUMING,-5,-0.013679639655009485
ROBOT_MOPPING,ROBOT_VACUUMING,-17,-0.019216219644318137
