a,b,best_lag,best_corr
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,20,0.014875554117693658
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1,-0.017127576502215965
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,5,0.014671448571963475
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,20,0.009427836522925883
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,2,-0.016656424266060708
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,-1,-0.018946851361574743
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,-1,-0.02121098772300087
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,-10,0.01397721609396703
SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,-15,0.013918763169776508
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,-1,-0.018925470487027717
