a,b,best_lag,best_corr
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,17,0.016602176698765903
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_GRAPHITE_MIST,-4,0.016946522217832907
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_SPACE_GRAY,-18,0.01365083029321305
TRANSLATOR_ASTRO_BLACK,TRANSLATOR_VOID_BLUE,-18,0.014720294955644626
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,6,-0.011407903771790347
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_SPACE_GRAY,1,-0.02201662813676967
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,3,-0.01567585402594852
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,7,-0.012051789888354064
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,1,-0.009441400864154665
TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,6,0.014374580787277528
