a,b,best_lag,best_corr
UV_VISOR_AMBER,UV_VISOR_MAGENTA,3,-0.013505540088419988
UV_VISOR_AMBER,UV_VISOR_ORANGE,-9,0.015131691324872494
UV_VISOR_AMBER,UV_VISOR_RED,-14,-0.015666376822137083
UV_VISOR_AMBER,UV_VISOR_YELLOW,13,0.008975967078042702
UV_VISOR_MAGENTA,UV_VISOR_ORANGE,4,-0.01089036088035553
UV_VISOR_MAGENTA,UV_VISOR_RED,8,-0.015421639935234224
UV_VISOR_MAGENTA,UV_VISOR_YELLOW,-14,-0.014101291446435583
UV_VISOR_ORANGE,UV_VISOR_RED,1,-0.014489256415439888
UV_VISOR_ORANGE,UV_VISOR_YELLOW,2,-0.01402111585658787
UV_VISOR_RED,UV_VISOR_YELLOW,16,-0.01194187849990175
