set,n_products,mean,std,min,max,rel_std
galaxy_sounds,5,53990.32275,1645.037969978665,49288.5,56543.0,0.030469126432082033
microchip,5,49408.06273333333,1501.929900321154,45843.0,52241.5,0.03039847784414084
oxygen_shake,5,50593.261333333336,1083.10179941922,48997.0,53865.5,0.021408024920220335
panel,5,49041.000316666665,850.3651624774019,47087.0,51601.5,0.01733988207798453
pebbles,5,49999.93958333333,2.7984881414050706,49981.5,50016.5,5.596983045831322e-05
robot,5,48809.635883333336,807.8279002823574,46581.0,50535.5,0.016550582393469574
sleep_pod,5,55103.509633333335,2855.141116118483,49749.5,59974.5,0.05181414278540517
snackpack,5,50220.9386,189.5794050217488,49706.0,50625.5,0.0037749076442340486
translator,5,49574.08195,816.7069299119338,47567.0,51683.5,0.0164744741160443
uv_visor,5,51470.7497,742.334701225486,49687.0,53850.0,0.014422457523005265
ALL_50,50,508211.50248333334,4188.668424058859,497045.0,514442.0,0.008241978789522233
