product,fold,test_day,n_train,n_test,train_r2_sine,train_period,train_A,train_phi,mse_sine,mse_2sin,mse_linear,mse_flat,mse_rw,mse_test_var,sine_beats_flat,sine_beats_linear,sine_beats_rw,improvement_vs_flat,improvement_vs_linear
MICROCHIP_OVAL,A,3,10000,10000,0.44816942438969276,5412.0,303.3645084818217,-0.989029500222227,2000243.7214936584,2013052.605118164,1858023.0921154674,886479.23645,167.632675,379212.79159304,False,False,False,-1.2563909443653145,-0.07654405910330453
MICROCHIP_OVAL,B,4,20000,10000,0.8762636869992906,18061.0,401.8269024267722,-1.756742365449509,2276757.1148460913,2315340.5597283766,1465383.4648411106,1734608.17145,87.349825,294944.87176590995,False,False,False,-0.3125483624021534,-0.5536937391967615
UV_VISOR_AMBER,A,3,10000,10000,0.926997379705571,3941.0,124.49149908245815,-0.09926561293053944,70206.85374622892,79686.23280009707,76869.7658207163,749819.242475,59.576925,64899.7169931775,True,True,False,0.90636829549147,0.0866779286153586
UV_VISOR_AMBER,B,4,20000,10000,0.9603079311521994,21847.0,253.2219909201404,0.8472162135380956,163393.81106123034,202049.8673710536,463037.78804874927,284877.76175,48.99705,31850.15040775,True,True,False,0.42644237985617234,0.6471264003100585
OXYGEN_SHAKE_GARLIC,A,3,10000,10000,0.9606511031073324,7432.0,449.1176725128926,-2.338671149879273,2303839.953272613,2312305.6873031696,1766108.2933578338,77981.95425,142.3507,77555.19715439,False,False,False,-28.543244657434492,-0.30447264300673826
OXYGEN_SHAKE_GARLIC,B,4,20000,10000,0.8618285336747996,30000.0,1319.3342948213162,0.6351821423407659,2756010.829441008,2640889.468593249,271113.9121988994,1430839.2787,166.750575,477620.18139564,False,False,False,-0.9261498272153971,-9.165508686323316
SLEEP_POD_POLYESTER,A,3,10000,10000,0.8910608901718867,3941.0,233.09199769423904,-1.923806195710236,312367.5763609883,370475.9330962206,304343.0471939273,235484.348975,143.60285,173056.7529934775,False,False,False,-0.3264897549269848,-0.02636672413267849
SLEEP_POD_POLYESTER,B,4,20000,10000,0.9270145206869842,12344.0,277.0206827665921,2.7768354578108045,606926.1773289395,616014.5187332928,742932.3916758872,108825.2598,163.421,100912.12544635999,False,True,False,-4.5770707870980845,0.18306674452590282
SLEEP_POD_SUEDE,A,3,10000,10000,0.8765184228273619,9578.0,505.84386661717997,1.0582395298209055,411264.626138567,421612.52974586736,500030.88730050717,795909.623,141.4349,155605.10678591,True,True,False,0.4832772286526721,0.17752155600058697
SLEEP_POD_SUEDE,B,4,20000,10000,0.9386613163486918,16951.0,478.5339282597124,2.567874988505973,1097109.0729465922,1183658.7540873915,1974498.819975927,83681.027875,143.756675,74687.3411664975,False,True,False,-12.110607037301431,0.44436073506492746
PEBBLES_XS,A,3,10000,10000,0.9280291342661174,5766.0,137.10570894921844,-0.16249308007693536,176298.43930782488,174770.36392336508,154446.0101830659,1651279.654425,226.1628,484685.57035197754,True,False,False,0.8932352622189761,-0.1414891138907192
PEBBLES_XS,B,4,20000,10000,0.9633609267399211,11585.999999999998,214.34753923023712,2.7335086283327947,1902767.7819586846,1867209.9567088108,1778549.2792599685,885318.682675,223.194975,239872.66612309753,False,False,False,-1.1492461632114788,-0.06984259820475805
PEBBLES_XL,A,3,10000,10000,0.9124868534507561,5766.0,531.3563792855331,-0.5796436400863528,10756399.226053609,10773963.832026217,9803223.530882094,436518.285725,919.34415,391403.01767239755,False,False,False,-23.641348547836046,-0.09723084372898592
PEBBLES_XL,B,4,20000,10000,0.8533996768147479,30000.0,1761.5108141741166,-0.9640534967454352,10054224.030414823,10591469.873070812,1441775.3468071565,8785149.279725,920.221075,2085309.6122214776,False,False,False,-0.14445682256290002,-5.973502531223138
