group,rank,lr1_0,cv5_0,lr1_1,cv5_1,eig_0,eig_1
galaxy_sounds,0,40.73242975443816,69.8189,22.546574195169836,47.8545,0.0006060518773421964,0.00031022060565330344
microchip,0,61.53464328568945,69.8189,35.327618642140955,47.8545,0.0008732442299797809,0.00048687557578287434
oxygen_shake,0,45.446200815066874,69.8189,26.265413082816732,47.8545,0.0006391978438528133,0.0005173651434339636
panel,0,53.502632559463684,69.8189,31.632339462743076,47.8545,0.0007287926752999125,0.00048014232610991714
pebbles,1,12235.13318529354,69.8189,28.517861723180975,47.8545,0.3342987649237832,0.00042734045769761593
robot,0,65.34200200726872,69.8189,39.45534471373825,47.8545,0.0008625738752798211,0.0007237269482767702
sleep_pod,0,51.12926460888858,69.8189,29.133913273856972,47.8545,0.0007329585142323812,0.000446917084479309
snackpack,5,79.1759983067117,69.8189,52.692633157791285,47.8545,0.000882448107602134,0.0007484368667101245
translator,0,48.22770623661903,69.8189,26.843083204721857,47.8545,0.0007126142620486008,0.0004374738851295238
uv_visor,0,60.57885304350969,69.8189,33.70933481045083,47.8545,0.0008953092930439085,0.0005805180553116337
