product,group,ofi_ic_h1,ofi_ic_h5,ofi_ic_h20,ofi_ic_h100,spread_med,spread_regime_changes,spread_regime_mean_run,rs5_wide_regime,rs5_tight_regime,roll_effective_spread
GALAXY_SOUNDS_BLACK_HOLES,galaxy_sounds,-0.008330598611308375,-0.011536194520973134,0.005900362371644956,-0.003873241413755533,14.0,4061,7.387343018960847,-0.07947889315289841,-0.13036586976621317,2.9677409950157
GALAXY_SOUNDS_DARK_MATTER,galaxy_sounds,-0.006460607502988106,-0.005961188053352017,0.0011595681665308962,-0.0005529236203678089,13.0,7284,4.118616144975288,-0.23174391463821273,-0.17254024192780265,2.248160084068551
GALAXY_SOUNDS_PLANETARY_RINGS,galaxy_sounds,-0.0004039450411917206,0.0066756127013297955,0.010767401217791761,0.0028196939654017254,14.0,3744,8.012820512820513,-0.188099084544965,0.32431192660550456,1.3760170057328796
GALAXY_SOUNDS_SOLAR_FLAMES,galaxy_sounds,-0.01751114887392637,0.0006239759740538794,0.002113515080412845,0.006471363798754704,14.0,5820,5.154639175257732,-0.027257399775196704,0.03998654174646721,2.4438828155773984
GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,0.0018444245893260432,-0.0009999350134016587,0.0054216996052987845,0.011118597837988737,14.0,2484,12.077294685990339,-0.6624447125050261,-0.07134288207067035,1.8656961156673069
MICROCHIP_CIRCLE,microchip,-0.007781479422572614,-0.0039928366200812715,-0.01239789592568115,0.0009218915969882737,8.0,7715,3.8885288399222295,0.09339704604691572,-0.058183947850886125,1.3010172100284731
MICROCHIP_OVAL,microchip,-0.0030518688447972774,-0.005310754830947761,-0.010451484624242285,-0.004650640634201312,8.0,4564,6.573181419807186,-0.35328206842750476,-0.21513176672057843,2.118145195931106
MICROCHIP_RECTANGLE,microchip,-0.012234532706209186,-0.004552801186918966,-0.0023511400008523944,-0.006982522087920506,8.0,4554,6.587615283267457,0.15051688490696072,-0.19920844327176782,1.362468139801554
MICROCHIP_SQUARE,microchip,-0.009299706279873551,0.00030449084735834086,0.0023888607135280683,0.007322101503931901,12.0,3752,7.995735607675906,0.0672805584434873,-0.279901990441043,6.393807418355049
MICROCHIP_TRIANGLE,microchip,0.004607077832381077,-0.0029518028194545614,0.0037489051306024454,-0.001055625173451218,9.0,5472,5.482456140350878,-0.2820089601509078,-0.12842665217053661,2.4017058076868
OXYGEN_SHAKE_CHOCOLATE,oxygen_shake,-0.03078020216727747,-0.008684783692371073,-0.014368101228843999,-0.003787692249808844,12.0,3667,8.181074447777474,-0.3315060240963855,-0.2098409771836829,6.500334857824499
OXYGEN_SHAKE_EVENING_BREATH,oxygen_shake,-0.0850606896857097,-0.03894078379110991,-0.023699735490357428,-0.010463340759175672,12.0,86,348.83720930232556,-1.066916488222698,-0.7094559719211314,7.6940739664394675
OXYGEN_SHAKE_GARLIC,oxygen_shake,-0.004653271584368792,0.003304099197286128,-0.001819162138956056,-0.00117013506465149,15.0,4331,6.9268067420918955,-0.1105070720677379,0.24535761656973779,1.4202876294920266
OXYGEN_SHAKE_MINT,oxygen_shake,0.0001729024050678056,0.007052595867816109,0.012238810934354796,0.008393690716606656,13.0,4497,6.6711140760507,0.22684026039058588,0.07922772201069189,1.1044989982320574
OXYGEN_SHAKE_MORNING_BREATH,oxygen_shake,-0.007658643326649828,-0.0052285358348418244,-0.011004809952605919,-0.004230520628321794,13.0,4004,7.492507492507492,-0.13429243170622482,-0.20583487632341071,1.4593588883389008
PANEL_1X2,panel,-0.0005634279648607836,0.001143080065627575,0.00016046194034983734,0.0006299885987436777,12.0,3998,7.503751875937969,0.46571541815299244,0.040202012104693576,0.880934455987308
PANEL_1X4,panel,-0.00136382687147605,-0.0034593006794917933,0.012624953492119648,0.016939974713034055,8.0,4105,7.3081607795371495,-0.017124472427869648,-0.21268176553854073,0.7719660788233004
PANEL_2X2,panel,-0.012673407455465411,-0.004360723525413252,0.007777773075488366,0.00530168138654027,9.0,2840,10.56338028169014,-0.22153518123667376,-0.04030741410488246,2.030256806600653
PANEL_2X4,panel,-0.0053352110861788005,-0.007489707963365124,-0.0023380921801544625,0.007191162570541739,10.0,5093,5.89043785588062,-0.1306415215989684,-0.10569122777520912,
PANEL_4X4,panel,9.45298551672021e-05,0.0017958125112931705,0.0014506538546937558,0.012928727879104563,9.0,3308,9.068923821039903,-0.40858270305820454,0.15394746605327594,1.4990079016251678
PEBBLES_L,pebbles,0.010113872210667587,0.0030639122379342554,0.0014122228824506409,-0.001219118579142,13.0,4808,6.239600665557404,0.3283782532184866,0.10592249192624231,
PEBBLES_M,pebbles,-0.003369116789178498,0.0054677688540207235,-0.0024372322271741104,0.004494404023768909,13.0,4381,6.847751654873316,0.17209178228388475,0.1662617763820584,2.0890582222760963
PEBBLES_S,pebbles,0.004505602741772274,-0.004412388788655289,-9.55958447667992e-05,0.0009355469260164222,12.0,3850,7.792207792207792,-0.05656108597285068,-0.11080676225123047,
