i,j,lag,group_i,group_j,slope,intercept,adf_p,ou_hl,fA_sharpe,fA_pnl,fB_sharpe,fB_pnl,min_fold_sharpe
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,100,snackpack,snackpack,-0.7816128779826323,17791.784763517302,6.233126422948692e-05,147.35360854597354,4.2468323681989775,2678.4068647903605,2.841056021357965,1407.8736695533917,2.841056021357965
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,100,snackpack,snackpack,-0.9707740650022283,19644.26450086045,0.0005019173422594585,173.89771671115503,2.8140686169710074,2034.7929859252745,2.631959606161983,1884.3178701975467,2.631959606161983
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,1,snackpack,snackpack,-0.1929486662013301,12143.639236593228,0.009245814921467126,494.09992155593255,0.7201427774283753,489.5705537009453,0.968064667015197,519.5365541409956,0.7201427774283753
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,5,snackpack,snackpack,-0.19197633744521,12133.23305747072,0.007248082322729632,497.0543384341133,0.7365856089010977,500.52771193638,0.9676712230048633,526.9084485603034,0.7365856089010977
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,20,snackpack,snackpack,-0.1884194328780755,12095.163074515971,0.0052733282567969915,499.5844475839438,1.004739375697034,660.7572697201904,0.9963359302109894,546.9738711879563,0.9963359302109894
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,100,snackpack,snackpack,-0.1708784802578124,11907.390095590166,0.0034577538161543802,522.9677035621096,1.0503319117222571,685.6949492425392,1.0448179600952203,570.7412905882029,1.0448179600952203
PANEL_2X4,PEBBLES_XS,1,panel,pebbles,-0.37192066232626,14019.370633428505,0.021952628083726257,947.8117764960439,2.0648308860075715,1887.781782351938,0.7244945330160537,631.1257847439647,0.7244945330160537
PANEL_2X4,PEBBLES_XS,5,panel,pebbles,-0.37175182323975836,14018.355830906234,0.02253137849637237,940.5564246590976,2.052295057943347,1889.762955269558,0.7227433205691719,637.6879932474258,0.7227433205691719
PANEL_2X4,PEBBLES_XS,20,panel,pebbles,-0.37113267788324594,14014.64134243009,0.008087467750134678,964.794615084975,2.0241547776368947,1873.0146878165178,0.650611989925466,582.8976094670634,0.650611989925466
PANEL_2X4,PEBBLES_XS,100,panel,pebbles,-0.368433368145386,13999.24539348717,0.020042647282823668,968.2131285236969,1.6046829932878963,1530.4557737592277,0.7110656995947215,660.28869780684,0.7110656995947215
PEBBLES_XS,UV_VISOR_AMBER,1,pebbles,uv_visor,1.3933397217769254,-3619.163706808231,0.001951686245702962,677.5062680867704,0.8246799664782395,1165.7251316802067,0.9277585506140258,1022.9346191704972,0.8246799664782395
PEBBLES_XS,UV_VISOR_AMBER,5,pebbles,uv_visor,1.3931194919566812,-3617.915393109361,0.0017737237092950407,672.9126711029958,0.849904532575322,1195.125061558194,0.9556847222160856,1045.3430456221213,0.849904532575322
PEBBLES_XS,UV_VISOR_AMBER,20,pebbles,uv_visor,1.3923024535988002,-3613.2535598475874,0.0033354865069474817,673.7053079323557,0.8380185377330231,1175.0256474513099,0.9250563250825681,1019.4979900136204,0.8380185377330231
PEBBLES_XS,UV_VISOR_AMBER,100,pebbles,uv_visor,1.388561655273618,-3593.107091220367,0.0020791766963185595,661.1817199441741,0.8307715226746852,1157.8002085791522,0.9927489000813043,1045.8507508739822,0.8307715226746852
UV_VISOR_AMBER,PEBBLES_XS,1,uv_visor,pebbles,0.6590188719425905,3031.7992690040187,0.0016607691638633275,672.1488762270175,2.2898238884269584,2208.369972052147,0.4943332797144299,348.8254379943901,0.4943332797144299
UV_VISOR_AMBER,PEBBLES_XS,5,uv_visor,pebbles,0.6588351157177023,3032.761866646543,0.0017959954304497575,673.5063488821822,2.2855902951339218,2196.7324149935375,0.4759902444825727,336.86473024276256,0.4759902444825727
UV_VISOR_AMBER,PEBBLES_XS,20,uv_visor,pebbles,0.65812457330351,3036.5375964287605,0.0017188589160300183,672.6521819017689,1.991326406746426,1937.422097088157,0.49575041789816826,351.52206818315153,0.49575041789816826
UV_VISOR_AMBER,PEBBLES_XS,100,uv_visor,pebbles,0.6548059629079153,3053.6166388613683,0.004891529240241269,706.2823903728671,1.9279278400246174,1857.0754444166714,0.9095845376350177,675.0682285703388,0.9095845376350177
UV_VISOR_YELLOW,GALAXY_SOUNDS_DARK_MATTER,1,uv_visor,galaxy_sounds,1.5837356231428323,-5238.833960878167,0.0038731532410577877,719.6336385023673,2.6962204026126635,3906.194411553952,1.0281404647687278,1236.2970679077152,1.0281404647687278
UV_VISOR_YELLOW,GALAXY_SOUNDS_DARK_MATTER,5,uv_visor,galaxy_sounds,1.5845185234667698,-5246.704444535159,0.0036825642088672604,721.6958095766402,2.7035137241332063,3917.7098217794774,1.0245432785729258,1274.932036579321,1.0245432785729258
UV_VISOR_YELLOW,GALAXY_SOUNDS_DARK_MATTER,20,uv_visor,galaxy_sounds,1.5874326199574647,-5275.965328726111,0.003957074124829901,710.6468052786804,2.75000749658075,3966.0860930359922,0.5773064653193098,672.1736023651683,0.5773064653193098
UV_VISOR_YELLOW,GALAXY_SOUNDS_DARK_MATTER,100,uv_visor,galaxy_sounds,1.6030991553282568,-5433.285683383141,0.002713861766494418,677.339756271988,2.3820388134436565,3450.77198547847,0.1448662829854781,163.6603290475723,0.1448662829854781
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,1,galaxy_sounds,uv_visor,0.37250089422525334,6144.994437218317,0.0003454195189722539,525.1471664198731,1.5921554779217009,1540.505112352179,2.0139951121380224,824.3700464997164,1.5921554779217009
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,5,galaxy_sounds,uv_visor,0.3723433389937314,6146.707957072923,0.000336692006583406,528.8091730269729,1.4193261005432882,1366.06827864343,1.9188392799963971,830.1820222754795,1.4193261005432882
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,20,galaxy_sounds,uv_visor,0.37173164227359884,6153.3682394740235,0.00036665666343597964,534.9156202746259,1.5515834269829305,1491.9818966464536,1.9467942693228009,836.3053858849307,1.5515834269829305
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,100,galaxy_sounds,uv_visor,0.36893808206238893,6183.87642392147,0.000524562521273868,550.019265887205,1.7528246666757836,1651.372429410223,2.5055541491372955,1128.6249730733052,1.7528246666757836
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,1,snackpack,snackpack,-0.4499656157681181,14350.623658100916,0.0069192796050466,420.80815340522065,1.3334881455497547,526.7135473873623,0.5462052386141698,324.40955881646187,0.5462052386141698
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,5,snackpack,snackpack,-0.44791145519160164,14331.149763230344,0.006722228053305308,421.69078077905726,1.3522576614647182,538.7206730342969,0.5645232004375073,333.2720111266972,0.5645232004375073
