i,j,lag,ic,abs_ic
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,1,0.013760918327053452,0.013760918327053452
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,2,-0.0022012101488168077,0.0022012101488168077
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,3,9.121352042399158e-05,9.121352042399158e-05
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,5,0.0023748923673408504,0.0023748923673408504
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,10,-0.010788273290522012,0.010788273290522012
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,20,0.013285094486731536,0.013285094486731536
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,50,-0.0046090332562080455,0.0046090332562080455
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,1,0.01461951160738828,0.01461951160738828
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,2,0.0015947188771750385,0.0015947188771750385
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,3,0.003703095391400978,0.003703095391400978
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,5,0.00033726567550265013,0.00033726567550265013
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,10,-0.010038041342434665,0.010038041342434665
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,20,0.01043359794806005,0.01043359794806005
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,50,0.0007724757311859965,0.0007724757311859965
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,1,0.0072771976790138295,0.0072771976790138295
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,2,-0.009870282950571073,0.009870282950571073
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,3,-0.0025018851381160417,0.0025018851381160417
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,5,-0.0030187167651326823,0.0030187167651326823
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,10,0.005614784688776048,0.005614784688776048
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,20,-0.0016728219492654153,0.0016728219492654153
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,50,0.0006901255395132269,0.0006901255395132269
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,1,0.001559186581831358,0.001559186581831358
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,2,-0.009815599262696983,0.009815599262696983
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,3,-0.0024539903146115773,0.0024539903146115773
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,5,-6.300097056758519e-05,6.300097056758519e-05
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,10,0.0034102680180100125,0.0034102680180100125
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,20,-0.00636891245027385,0.00636891245027385
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,50,-0.0021277824350693342,0.0021277824350693342
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,1,0.0013229540641384822,0.0013229540641384822
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,2,0.002493928682887223,0.002493928682887223
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,3,0.013463211428509814,0.013463211428509814
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,5,-9.421879539207145e-05,9.421879539207145e-05
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,10,0.0012439112832106503,0.0012439112832106503
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,20,0.004544676600788706,0.004544676600788706
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,50,0.0007661746881719725,0.0007661746881719725
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,1,-0.003363241925453587,0.003363241925453587
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,2,0.008241036240770603,0.008241036240770603
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,3,0.0014613016508691302,0.0014613016508691302
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,5,0.005337607959742981,0.005337607959742981
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,10,-0.012224371551758333,0.012224371551758333
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,20,0.005186818741980331,0.005186818741980331
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,50,-0.0015010553246176262,0.0015010553246176262
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,1,0.00898690394074052,0.00898690394074052
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,2,-0.013547524017092952,0.013547524017092952
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,3,0.002152901548885498,0.002152901548885498
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,5,-0.006911671847872694,0.006911671847872694
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,10,0.014672709833970801,0.014672709833970801
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,20,-0.004523509536096933,0.004523509536096933
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,50,0.0033406400376749996,0.0033406400376749996
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,1,0.0012250357036732095,0.0012250357036732095
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,2,-0.005504849782795353,0.005504849782795353
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,3,-0.008719579078120944,0.008719579078120944
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,5,0.0016760577696754836,0.0016760577696754836
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,10,0.001797539038984235,0.001797539038984235
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,20,-0.0065421962022790695,0.0065421962022790695
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,50,-0.0033007924198532137,0.0033007924198532137
PEBBLES_M,PEBBLES_XL,1,-0.0018672441597490895,0.0018672441597490895
PEBBLES_M,PEBBLES_XL,2,0.00045445548868853694,0.00045445548868853694
PEBBLES_M,PEBBLES_XL,3,-0.0027886021172100605,0.0027886021172100605
PEBBLES_M,PEBBLES_XL,5,-0.012526709772403069,0.012526709772403069
PEBBLES_M,PEBBLES_XL,10,0.0024741010255457468,0.0024741010255457468
PEBBLES_M,PEBBLES_XL,20,0.013865534749278235,0.013865534749278235
PEBBLES_M,PEBBLES_XL,50,-0.0004579934479975601,0.0004579934479975601
PEBBLES_XL,PEBBLES_M,1,-0.010992630057836563,0.010992630057836563
PEBBLES_XL,PEBBLES_M,2,-0.004040491577936512,0.004040491577936512
PEBBLES_XL,PEBBLES_M,3,-0.006908414076774022,0.006908414076774022
PEBBLES_XL,PEBBLES_M,5,-0.0076455991052189155,0.0076455991052189155
PEBBLES_XL,PEBBLES_M,10,-0.005445521218802454,0.005445521218802454
PEBBLES_XL,PEBBLES_M,20,0.007306677723368124,0.007306677723368124
PEBBLES_XL,PEBBLES_M,50,0.007779153900495763,0.007779153900495763
PEBBLES_XL,PEBBLES_L,1,0.00011074577248583685,0.00011074577248583685
PEBBLES_XL,PEBBLES_L,2,-6.590033547868603e-05,6.590033547868603e-05
PEBBLES_XL,PEBBLES_L,3,-0.0010128282171089694,0.0010128282171089694
PEBBLES_XL,PEBBLES_L,5,-0.0014057692918685817,0.0014057692918685817
PEBBLES_XL,PEBBLES_L,10,-0.004350810561658367,0.004350810561658367
PEBBLES_XL,PEBBLES_L,20,0.00619739742746046,0.00619739742746046
PEBBLES_XL,PEBBLES_L,50,-0.005079015187938946,0.005079015187938946
PEBBLES_L,PEBBLES_XL,1,-0.008719889584316493,0.008719889584316493
PEBBLES_L,PEBBLES_XL,2,0.005062359035209917,0.005062359035209917
PEBBLES_L,PEBBLES_XL,3,0.0027011967555658697,0.0027011967555658697
PEBBLES_L,PEBBLES_XL,5,0.00957391257183653,0.00957391257183653
PEBBLES_L,PEBBLES_XL,10,-0.005809252899258075,0.005809252899258075
PEBBLES_L,PEBBLES_XL,20,-0.004321368631789828,0.004321368631789828
PEBBLES_L,PEBBLES_XL,50,0.009506490670952971,0.009506490670952971
PEBBLES_XL,PEBBLES_S,1,-0.010742447562174448,0.010742447562174448
PEBBLES_XL,PEBBLES_S,2,0.006560274613237735,0.006560274613237735
PEBBLES_XL,PEBBLES_S,3,0.006007004214027306,0.006007004214027306
PEBBLES_XL,PEBBLES_S,5,0.0008221458582923623,0.0008221458582923623
PEBBLES_XL,PEBBLES_S,10,-0.00557778174217679,0.00557778174217679
PEBBLES_XL,PEBBLES_S,20,0.008343424038734155,0.008343424038734155
PEBBLES_XL,PEBBLES_S,50,-0.0021668481080310857,0.0021668481080310857
PEBBLES_S,PEBBLES_XL,1,-0.007069004791969489,0.007069004791969489
PEBBLES_S,PEBBLES_XL,2,0.0019749210752674357,0.0019749210752674357
PEBBLES_S,PEBBLES_XL,3,0.00764514465389663,0.00764514465389663
PEBBLES_S,PEBBLES_XL,5,-0.0006463377963096189,0.0006463377963096189
PEBBLES_S,PEBBLES_XL,10,-0.008296820912043123,0.008296820912043123
PEBBLES_S,PEBBLES_XL,20,0.001394776027262518,0.001394776027262518
PEBBLES_S,PEBBLES_XL,50,-0.004042380787135796,0.004042380787135796
PEBBLES_XS,PEBBLES_XL,1,0.004797538470262989,0.004797538470262989
PEBBLES_XS,PEBBLES_XL,2,-0.011700903913886207,0.011700903913886207
PEBBLES_XS,PEBBLES_XL,3,-2.4562864581177738e-05,2.4562864581177738e-05
PEBBLES_XS,PEBBLES_XL,5,-0.012044516843476556,0.012044516843476556
PEBBLES_XS,PEBBLES_XL,10,0.00079651695695145,0.00079651695695145
PEBBLES_XS,PEBBLES_XL,20,0.00023637300893720146,0.00023637300893720146
PEBBLES_XS,PEBBLES_XL,50,-0.0012193042890082256,0.0012193042890082256
PEBBLES_XL,PEBBLES_XS,1,-0.0003349256978054628,0.0003349256978054628
PEBBLES_XL,PEBBLES_XS,2,-0.0027071454212876773,0.0027071454212876773
PEBBLES_XL,PEBBLES_XS,3,-0.007229069658616426,0.007229069658616426
PEBBLES_XL,PEBBLES_XS,5,-0.015714288761236112,0.015714288761236112
PEBBLES_XL,PEBBLES_XS,10,0.010083338444221733,0.010083338444221733
PEBBLES_XL,PEBBLES_XS,20,0.0051631598743269716,0.0051631598743269716
PEBBLES_XL,PEBBLES_XS,50,0.005623708484656601,0.005623708484656601
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,1,-0.003436841368938235,0.003436841368938235
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,2,-0.0036725467697447476,0.0036725467697447476
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,3,0.013344091319980553,0.013344091319980553
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,5,-0.0025174315715870642,0.0025174315715870642
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,10,-0.00650927240933764,0.00650927240933764
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,20,-0.005173651933459645,0.005173651933459645
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,50,-0.001635843714464658,0.001635843714464658
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,1,-0.005504883857827392,0.005504883857827392
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,2,-0.0008274173021854606,0.0008274173021854606
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,3,0.0011221239113878914,0.0011221239113878914
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,5,-0.0005299682370546025,0.0005299682370546025
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,10,-0.004921111036148867,0.004921111036148867
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,20,0.00010146330825436198,0.00010146330825436198
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,50,-0.0019254119736366643,0.0019254119736366643
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,1,0.008769323221114967,0.008769323221114967
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,2,-0.001962761157317373,0.001962761157317373
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,3,-0.006970042243648521,0.006970042243648521
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,5,-0.004451925907545932,0.004451925907545932
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,10,-0.00400388659341391,0.00400388659341391
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,20,-0.004867538374333904,0.004867538374333904
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,50,-0.007171621319134572,0.007171621319134572
MICROCHIP_OVAL,MICROCHIP_CIRCLE,1,-0.0038834449086124073,0.0038834449086124073
