fv_id,family,params
mean_50,rolling_mean,"{""w"": 50}"
mean_100,rolling_mean,"{""w"": 100}"
mean_200,rolling_mean,"{""w"": 200}"
mean_500,rolling_mean,"{""w"": 500}"
mean_1000,rolling_mean,"{""w"": 1000}"
mean_2000,rolling_mean,"{""w"": 2000}"
mean_5000,rolling_mean,"{""w"": 5000}"
median_50,rolling_median,"{""w"": 50}"
median_100,rolling_median,"{""w"": 100}"
median_200,rolling_median,"{""w"": 200}"
median_500,rolling_median,"{""w"": 500}"
median_1000,rolling_median,"{""w"": 1000}"
median_2000,rolling_median,"{""w"": 2000}"
ewma_10,ewma,"{""half_life"": 10}"
ewma_25,ewma,"{""half_life"": 25}"
ewma_50,ewma,"{""half_life"": 50}"
ewma_100,ewma,"{""half_life"": 100}"
ewma_200,ewma,"{""half_life"": 200}"
ewma_500,ewma,"{""half_life"": 500}"
ewma_1000,ewma,"{""half_life"": 1000}"
microprice_raw,microprice,{}
microprice_ewma25,microprice_ewma,"{""half_life"": 25}"
microprice_ewma100,microprice_ewma,"{""half_life"": 100}"
rangemid_200,range_mid,"{""w"": 200}"
rangemid_500,range_mid,"{""w"": 500}"
rangemid_1000,range_mid,"{""w"": 1000}"
kalman_mle,kalman,"{""calib"": ""innovations""}"
linreg_200,rolling_linreg,"{""w"": 200}"
linreg_500,rolling_linreg,"{""w"": 500}"
linreg_2000,rolling_linreg,"{""w"": 2000}"
quad_500,rolling_quadratic,"{""w"": 500}"
quad_2000,rolling_quadratic,"{""w"": 2000}"
ar1_dx,ar_diff,"{""p"": 1}"
ar2_dx,ar_diff,"{""p"": 2}"
ar3_dx,ar_diff,"{""p"": 3}"
ar5_dx,ar_diff,"{""p"": 5}"
holt,holt,"{""alpha"": 0.05, ""beta"": 0.01}"
lattice_1,lattice,"{""step"": 1}"
lattice_2,lattice,"{""step"": 2}"
lattice_5,lattice,"{""step"": 5}"
markov_10,markov,"{""k"": 10}"
markov_20,markov,"{""k"": 20}"
markov_50,markov,"{""k"": 50}"
ofi_lag1,ofi_corrected,"{""lag"": 1}"
mid_anchor,anchor,{}
