fv_id,ic_abs,half_life,mean_abs_res,res_to_spread,adf_p,z_ic,z_hl,z_res,score,product
kalman_mle,0.014645393647170189,0.15812745736929096,9.457526156724398,0.6305558407506198,0.0,1.234724117048955,1.084729043055894,0.8600711819874228,3.1795243420922716,GALAXY_SOUNDS_BLACK_HOLES
ar5_dx,0.014643862912428833,0.16636019438286107,9.465449973284063,0.631060616617402,0.0,1.2342719845487,1.083693846195974,0.859983794476002,3.177949625220676,GALAXY_SOUNDS_BLACK_HOLES
ar1_dx,0.0144728636168864,0.16664036798797613,9.461844008351232,0.6308261684054388,0.0,1.1837639919183403,1.083658745436937,0.8600243824817859,3.127447119837063,GALAXY_SOUNDS_BLACK_HOLES
ar3_dx,0.014468544687232061,0.1666714181928047,9.463982681238917,0.6309665053304016,0.0,1.182488311416497,1.0836548559185792,0.8600000871550083,3.1261432544900845,GALAXY_SOUNDS_BLACK_HOLES
ar2_dx,0.014389222074579204,0.16666166907832905,9.462462983253587,0.630862771609935,0.0,1.1590588234611083,1.0836560771347923,0.860018045683295,3.1027329462791955,GALAXY_SOUNDS_BLACK_HOLES
linreg_500,0.013731933617494231,89.82283432723878,77.50046697550769,5.199872394482686,2.9567297282302087e-07,0.9649157982447827,0.44724344266643834,0.06902464272008685,1.481183883631308,GALAXY_SOUNDS_BLACK_HOLES
microprice_ewma25,0.011444840361898818,26.379123100956676,42.13001312109998,2.8165655632787714,2.9675296562927546e-20,0.2893779901378831,0.6224863228173869,0.4816260894936095,1.3934904024488795,GALAXY_SOUNDS_BLACK_HOLES
ewma_25,0.011414820633103067,26.37458737566327,42.12875923868415,2.8164591241263706,2.941572270787031e-20,0.28051107500837075,0.622510535188413,0.4816445163900959,1.3846661265868798,GALAXY_SOUNDS_BLACK_HOLES
median_100,0.011947988128382284,52.43495800920677,57.87900947469747,3.8722082930614485,5.528229184203364e-18,0.43799254203364113,0.5247636546394664,0.29887172824996605,1.2616279249230735,GALAXY_SOUNDS_BLACK_HOLES
mean_100,0.011741493801271156,48.714802271974015,57.136870472522254,3.822814629979069,2.1191166240473375e-15,0.37700039631247995,0.535309598004202,0.307422829007286,1.219732823323968,GALAXY_SOUNDS_BLACK_HOLES
ewma_50,0.011573835164353301,52.368692572871055,58.89473342200358,3.94354855540076,6.118136709234635e-12,0.32747913266632733,0.5249449994580734,0.2865212012137415,1.1389453333381423,GALAXY_SOUNDS_BLACK_HOLES
median_200,0.011825975253660411,106.59285548376525,81.35850785328533,5.455710089044619,6.124497592889186e-08,0.40195364867029315,0.4224806807010724,0.024733659480579415,0.849167988851945,GALAXY_SOUNDS_BLACK_HOLES
mean_50,0.009490518418667517,24.40230294041592,40.55112641884188,2.707409133320475,1.0365856718941344e-24,-0.2878692902848771,0.6334383209562988,0.5005234049108926,0.8460924355823143,GALAXY_SOUNDS_BLACK_HOLES
ewma_10,0.008002652933888358,10.447223662572494,26.947920217311818,1.7983412512365975,1.62101121069189e-29,-0.7273395155966808,0.7499267849225018,0.6579025213772685,0.6804897907030895,GALAXY_SOUNDS_BLACK_HOLES
mean_200,0.010827364113343459,96.9485614826458,79.74405733883387,5.34623053903426,5.17141183236442e-07,0.10699428082185675,0.4362051085192597,0.04368691389791771,0.5868863032390341,GALAXY_SOUNDS_BLACK_HOLES
quad_500,0.009997855489738574,65.2810840377705,65.39938992066604,4.38011876394658,5.297797519120689e-13,-0.13801734519071332,0.49327898003969367,0.210941549737128,0.5662031845861083,GALAXY_SOUNDS_BLACK_HOLES
median_50,0.008070458026005568,25.7739911798069,40.94063516726673,2.7325750774184563,9.240809433035706e-27,-0.7073119530146634,0.6257525683893498,0.49616664110343794,0.4146072564781243,GALAXY_SOUNDS_BLACK_HOLES
holt,0.007315745743517509,14.185070983943952,30.963181712669247,2.066399110634592,2.7144005802459434e-28,-0.9302310140612624,0.7086321773398258,0.6114959659314653,0.3898971292100286,GALAXY_SOUNDS_BLACK_HOLES
lattice_5,0.015292642867419215,,9.529132348234825,0.6353533610503908,0.0,1.425901856949245,-1.922349869231703,0.8592406284931373,0.3627926162106794,GALAXY_SOUNDS_BLACK_HOLES
linreg_200,0.00843055546595448,39.104714964248714,50.33131123440057,3.3615946261674443,3.2346320497021175e-19,-0.6009501180991633,0.566702121780084,0.38726988787609185,0.35302189155701247,GALAXY_SOUNDS_BLACK_HOLES
microprice_ewma100,0.00982328067196529,104.30096509256106,81.77998821162436,5.481435686531671,1.5764980191156257e-06,-0.18958143837349195,0.4256273543058758,0.02028000768749105,0.2563259236198749,GALAXY_SOUNDS_BLACK_HOLES
ewma_100,0.009821047903475258,104.29170682929762,81.77763165211194,5.4812694574870875,1.5737598548221517e-06,-0.19024093029760827,0.42564020392936475,0.020308785494608836,0.2557080591263653,GALAXY_SOUNDS_BLACK_HOLES
microprice_raw,0.014682049262414228,,9.446040521459178,0.6297934158256897,0.0,1.2455510712696398,-1.922349869231703,0.8602031740679068,0.1834043761058437,GALAXY_SOUNDS_BLACK_HOLES
mid_anchor,0.01465507837945329,,9.455703732873287,0.6304312600902947,0.0,1.2375846924988727,-1.922349869231703,0.8600927495673991,0.1753275728345689,GALAXY_SOUNDS_BLACK_HOLES
ofi_lag1,0.014595596896760153,,9.45654008217971,0.6304908584644089,0.0,1.2200156710594694,-1.922349869231703,0.8600824318126463,0.1577482336404128,GALAXY_SOUNDS_BLACK_HOLES
lattice_2,0.014593343332199681,,9.469179247924792,0.6313478101381567,0.0,1.2193500366084544,-1.922349869231703,0.8599340751278193,0.15693424250457078,GALAXY_SOUNDS_BLACK_HOLES
markov_10,0.014522079278196383,,9.459653326383886,0.6307064466045018,0.0,1.1983008018558177,-1.922349869231703,0.8600451088891583,0.13599604151327305,GALAXY_SOUNDS_BLACK_HOLES
lattice_1,0.014456797123368397,,9.458228742874287,0.6306107250010715,0.0,1.1790184382385496,-1.922349869231703,0.8600616803484206,0.11673024935526721,GALAXY_SOUNDS_BLACK_HOLES
markov_20,0.0144149057290995,,9.461760637353532,0.6308613155283198,0.0,1.1666449940889863,-1.922349869231703,0.8600182977622018,0.10431342261948517,GALAXY_SOUNDS_BLACK_HOLES
markov_50,0.014221425530465999,,9.47182982337336,0.6315541935586686,0.0,1.1094968262225489,-1.922349869231703,0.8598983457383935,0.04704530272923946,GALAXY_SOUNDS_BLACK_HOLES
