product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
MICROCHIP_SQUARE,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-42986.0,-23982.0,-7.222240288173207,-4.803180823927008,1159,924,43685.0,24560.0,-33484.0,-42986.0,-7.222240288173207
MICROCHIP_SQUARE,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-44652.0,-23310.0,-8.351141420588332,-4.818280793344433,1175,929,45289.0,23695.0,-33981.0,-44652.0,-8.351141420588332
MICROCHIP_SQUARE,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-44847.0,-23543.0,-7.83278316210493,-4.948260746243441,1171,924,45546.0,23928.0,-34195.0,-44847.0,-7.83278316210493
MICROCHIP_SQUARE,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-45469.0,-23571.0,-7.621197471806243,-4.851189349564994,1167,924,46168.0,24004.0,-34520.0,-45469.0,-7.621197471806243
MICROCHIP_SQUARE,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-44248.0,-25960.0,-7.7409775895636095,-5.2622796404830625,1439,1013,45020.0,26345.0,-35104.0,-44248.0,-7.7409775895636095
MICROCHIP_SQUARE,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-44645.0,-26674.0,-6.481088240722769,-5.227834213247055,1403,1004,45324.0,27132.0,-35659.5,-44645.0,-6.481088240722769
MICROCHIP_SQUARE,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-46386.0,-26009.0,-7.618814639692076,-5.32173704379532,1427,1004,47065.0,26394.0,-36197.5,-46386.0,-7.618814639692076
MICROCHIP_SQUARE,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-47925.0,-26228.0,-7.279441210793558,-5.2610834085299345,1423,1004,48604.0,26661.0,-37076.5,-47925.0,-7.279441210793558
MICROCHIP_SQUARE,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-48559.0,-26463.0,-6.447595804249725,-4.933412013765476,1736,1120,49147.0,27041.0,-37511.0,-48559.0,-6.447595804249725
MICROCHIP_SQUARE,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-49303.0,-27231.0,-7.59274965283089,-5.116504367373299,1777,1129,49891.0,27616.0,-38267.0,-49303.0,-7.59274965283089
MICROCHIP_SQUARE,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-51042.0,-26146.0,-7.456435346293928,-4.912132198615409,1748,1104,51824.0,26579.0,-38594.0,-51042.0,-7.456435346293928
MICROCHIP_SQUARE,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-50361.0,-26874.0,-7.3952179586403535,-5.133751538805722,1760,1120,50949.0,27259.0,-38617.5,-50361.0,-7.3952179586403535
MICROCHIP_SQUARE,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-50902.0,-26709.0,-8.054666157118263,-5.0245262820537295,1773,1113,51684.0,27094.0,-38805.5,-50902.0,-8.054666157118263
MICROCHIP_SQUARE,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-51776.0,-25977.0,-7.039433427204597,-4.846926808199688,1732,1104,52558.0,26555.0,-38876.5,-51776.0,-7.039433427204597
MICROCHIP_SQUARE,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-51764.0,-26246.0,-7.709240946480446,-5.055657594761751,1756,1104,52546.0,26631.0,-39005.0,-51764.0,-7.709240946480446
MICROCHIP_SQUARE,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-51645.0,-26830.0,-7.0818300370664105,-5.0323302605194575,1748,1120,52233.0,27263.0,-39237.5,-51645.0,-7.0818300370664105
MICROCHIP_SQUARE,ar2_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-84638.0,-63376.0,-9.556131264067519,-7.6482268489687755,2863,2372,85337.0,63973.0,-74007.0,-84638.0,-9.556131264067519
MICROCHIP_SQUARE,ar2_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-87311.0,-65879.0,-10.642397065338873,-8.75760028794565,2944,2405,88010.0,66131.0,-76595.0,-87311.0,-10.642397065338873
MICROCHIP_SQUARE,ar2_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-89158.0,-65550.0,-11.263565899905323,-9.453294118478354,2999,2430,89704.0,65802.0,-77354.0,-89158.0,-11.263565899905323
MICROCHIP_SQUARE,ar2_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-89189.0,-66477.0,-10.663867421877873,-8.214893492320352,2904,2376,89888.0,66882.0,-77833.0,-89189.0,-10.663867421877873
