product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-19256.0,-35930.0,-7.930085762165606,-11.41046795141007,257,429,19256.0,35960.0,-27593.0,-35930.0,-11.41046795141007
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-18776.0,-36464.0,-8.367892481470742,-11.670461475169706,259,430,18776.0,36494.0,-27620.0,-36464.0,-11.670461475169706
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-19678.0,-35940.0,-7.644816227796847,-11.147420978872699,258,429,19678.0,36020.0,-27809.0,-35940.0,-11.147420978872699
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-19286.0,-36344.0,-8.104808508046412,-11.576737239887944,257,430,19286.0,36374.0,-27815.0,-36344.0,-11.576737239887944
OXYGEN_SHAKE_GARLIC,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-22569.0,-36820.0,-8.835750850485674,-11.581867715827729,321,445,22569.0,36850.0,-29694.5,-36820.0,-11.581867715827729
OXYGEN_SHAKE_GARLIC,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-22189.0,-37279.0,-9.406675394319674,-11.782636144467661,324,449,22189.0,37309.0,-29734.0,-37279.0,-11.782636144467661
OXYGEN_SHAKE_GARLIC,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-23341.0,-36420.0,-8.423491341317366,-11.449378197172969,322,445,23341.0,36500.0,-29880.5,-36420.0,-11.449378197172969
OXYGEN_SHAKE_GARLIC,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-22809.0,-37284.0,-9.12926216401795,-11.71829047049555,321,446,22809.0,37314.0,-30046.5,-37284.0,-11.71829047049555
OXYGEN_SHAKE_GARLIC,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-24159.0,-38610.0,-8.865597390256564,-12.121336636476036,345,475,24159.0,38720.0,-31384.5,-38610.0,-12.121336636476036
OXYGEN_SHAKE_GARLIC,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-23819.0,-39229.0,-9.527905021032135,-12.280617676206225,348,479,23819.0,39339.0,-31524.0,-39229.0,-12.280617676206225
OXYGEN_SHAKE_GARLIC,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-24549.0,-39134.0,-9.180743246690733,-12.245448905000947,345,476,24549.0,39244.0,-31841.5,-39134.0,-12.245448905000947
OXYGEN_SHAKE_GARLIC,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-25421.0,-39080.0,-8.529278268060219,-11.555989918689527,347,475,25421.0,39240.0,-32250.5,-39080.0,-11.555989918689527
OXYGEN_SHAKE_GARLIC,kalman_mle,A,2.5,0.25,-1.0,-1,fixed,0.0,-26841.0,-41254.0,-9.859167129904721,-12.527628693025761,376,503,26841.0,41364.0,-34047.5,-41254.0,-12.527628693025761
OXYGEN_SHAKE_GARLIC,kalman_mle,A,2.5,0.5,-1.0,-1,fixed,0.0,-26791.0,-41399.0,-10.313983762667451,-12.589399756296086,379,506,26791.0,41509.0,-34095.0,-41399.0,-12.589399756296086
OXYGEN_SHAKE_GARLIC,kalman_mle,A,2.5,0.1,-1.0,-1,fixed,0.0,-27001.0,-41620.0,-9.658028564616457,-12.260576804340745,376,502,27001.0,41730.0,-34310.5,-41620.0,-12.260576804340745
OXYGEN_SHAKE_GARLIC,kalman_mle,A,2.5,0.0,-1.0,-1,fixed,0.0,-27823.0,-41360.0,-8.993557546889786,-11.991362773832847,376,500,27823.0,41520.0,-34591.5,-41360.0,-11.991362773832847
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-70078.0,-98244.0,-15.858931028603322,-14.607366889498007,901,1193,70173.0,98379.0,-84161.0,-98244.0,-15.858931028603322
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-70296.0,-98924.0,-16.379068010851736,-14.499962824605234,917,1203,70391.0,99059.0,-84610.0,-98924.0,-16.379068010851736
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-70826.0,-98938.0,-17.573457392320243,-14.86411323377795,927,1218,70921.0,99073.0,-84882.0,-98938.0,-17.573457392320243
OXYGEN_SHAKE_GARLIC,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-72621.0,-100557.0,-18.5489420625944,-15.416478071313543,938,1230,72716.0,100692.0,-86589.0,-100557.0,-18.5489420625944
