product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
PANEL_1X4,ofi_lag1,A,2.5,0.5,-1.0,-1,fixed,0.0,-10618.0,-2362.0,-6.519505350844285,-3.905129804872557,288,105,10621.0,2422.0,-6490.0,-10618.0,-6.519505350844285
PANEL_1X4,ofi_lag1,A,2.5,0.25,-1.0,-1,fixed,0.0,-10427.0,-2572.0,-6.191804092646866,-3.6643829770526746,290,105,10430.0,2632.0,-6499.5,-10427.0,-6.191804092646866
PANEL_1X4,markov_20,A,2.5,0.25,-1.0,-1,fixed,0.0,-10938.0,-2118.0,-6.57248191958054,-3.546939466634198,304,97,10941.0,2178.0,-6528.0,-10938.0,-6.57248191958054
PANEL_1X4,ofi_lag1,A,2.5,0.1,-1.0,-1,fixed,0.0,-10867.0,-2427.0,-6.008164072254297,-3.75292698596511,285,103,10870.0,2487.0,-6647.0,-10867.0,-6.008164072254297
PANEL_1X4,markov_20,A,2.5,0.5,-1.0,-1,fixed,0.0,-11067.0,-2296.0,-6.5831924293658695,-3.744914192523693,300,96,11070.0,2356.0,-6681.5,-11067.0,-6.5831924293658695
PANEL_1X4,microprice_raw,A,2.5,0.5,-1.0,-1,fixed,0.0,-10802.0,-2632.0,-6.6542736654449985,-4.265740527067799,295,118,10805.0,2680.0,-6717.0,-10802.0,-6.6542736654449985
PANEL_1X4,microprice_raw,A,2.5,0.25,-1.0,-1,fixed,0.0,-10611.0,-2824.0,-6.325436431635509,-3.964420854737224,297,119,10614.0,2872.0,-6717.5,-10611.0,-6.325436431635509
PANEL_1X4,lattice_2,A,2.5,0.25,-1.0,-1,fixed,0.0,-10473.0,-2983.0,-5.7707406693262415,-4.043619447611421,294,120,10559.0,3043.0,-6728.0,-10473.0,-5.7707406693262415
PANEL_1X4,markov_20,A,2.5,0.1,-1.0,-1,fixed,0.0,-11592.0,-1875.0,-6.1229940207466536,-3.4605192271846756,302,96,11595.0,1935.0,-6733.5,-11592.0,-6.1229940207466536
PANEL_1X4,markov_20,A,2.5,0.0,-1.0,-1,fixed,0.0,-11653.0,-1875.0,-6.1277648061360885,-3.4605192271846756,302,96,11656.0,1935.0,-6764.0,-11653.0,-6.1277648061360885
PANEL_1X4,ofi_lag1,A,2.5,0.0,-1.0,-1,fixed,0.0,-11287.0,-2359.0,-5.8446306187878925,-3.6728419104681183,287,104,11290.0,2419.0,-6823.0,-11287.0,-5.8446306187878925
PANEL_1X4,lattice_2,A,2.5,0.0,-1.0,-1,fixed,0.0,-10837.0,-2865.0,-5.401105569498505,-3.834123191976709,295,121,10923.0,2925.0,-6851.0,-10837.0,-5.401105569498505
PANEL_1X4,microprice_raw,A,2.5,0.1,-1.0,-1,fixed,0.0,-11131.0,-2620.0,-6.206537686686915,-4.021515513255029,292,118,11134.0,2668.0,-6875.5,-11131.0,-6.206537686686915
PANEL_1X4,lattice_2,A,2.5,0.1,-1.0,-1,fixed,0.0,-10968.0,-2865.0,-5.554938892259937,-3.834123191976709,291,121,11054.0,2925.0,-6916.5,-10968.0,-5.554938892259937
PANEL_1X4,lattice_2,A,2.5,0.5,-1.0,-1,fixed,0.0,-10962.0,-2956.0,-6.010018693134938,-4.242915442671939,297,121,11048.0,3016.0,-6959.0,-10962.0,-6.010018693134938
PANEL_1X4,microprice_raw,A,2.5,0.0,-1.0,-1,fixed,0.0,-11421.0,-2620.0,-5.913253383217178,-4.021515513255029,294,118,11424.0,2668.0,-7020.5,-11421.0,-5.913253383217178
PANEL_1X4,ofi_lag1,A,2.0,0.0,-1.0,-1,fixed,0.0,-34704.0,-14300.0,-10.811688247117278,-7.086738270188372,967,545,34704.0,14300.0,-24502.0,-34704.0,-10.811688247117278
PANEL_1X4,ofi_lag1,A,2.0,0.1,-1.0,-1,fixed,0.0,-34087.0,-15105.0,-10.96705109475,-7.3458094866326915,964,549,34087.0,15105.0,-24596.0,-34087.0,-10.96705109475
PANEL_1X4,markov_20,A,2.0,0.0,-1.0,-1,fixed,0.0,-34036.0,-15240.0,-11.120331856013498,-7.437535398483258,976,539,34074.0,15240.0,-24638.0,-34036.0,-11.120331856013498
PANEL_1X4,markov_20,A,2.0,0.1,-1.0,-1,fixed,0.0,-33938.0,-15535.0,-11.026216896106906,-7.453079000658087,973,544,33946.0,15535.0,-24736.5,-33938.0,-11.026216896106906
