product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
PEBBLES_XL,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-11852.0,-24881.0,-2.739128608557332,-4.044102063244367,192,248,11882.0,25261.0,-18366.5,-24881.0,-4.044102063244367
PEBBLES_XL,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-13452.0,-25133.0,-2.9951095127262355,-4.006866081525995,230,269,13482.0,25513.0,-19292.5,-25133.0,-4.006866081525995
PEBBLES_XL,markov_50,A,2.5,0.0,-1.0,-1,fixed,0.0,-13477.0,-25181.0,-2.874920979465635,-4.025933787954342,249,266,13612.0,25766.0,-19329.0,-25181.0,-4.025933787954342
PEBBLES_XL,markov_20,A,2.5,0.0,-1.0,-1,fixed,0.0,-13157.0,-26395.0,-2.947058271380861,-4.169020075143337,243,263,13187.0,26980.0,-19776.0,-26395.0,-4.169020075143337
PEBBLES_XL,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-13602.0,-26227.0,-3.1831461388995788,-4.25336359724499,192,251,13632.0,26607.0,-19914.5,-26227.0,-4.25336359724499
PEBBLES_XL,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-12838.0,-27177.0,-3.451245966770034,-4.559196302168398,193,251,12868.0,27557.0,-20007.5,-27177.0,-4.559196302168398
PEBBLES_XL,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-14289.0,-25997.0,-3.8813711993524733,-5.913643539599083,193,253,14319.0,26377.0,-20143.0,-25997.0,-5.913643539599083
PEBBLES_XL,markov_50,A,2.5,0.1,-1.0,-1,fixed,0.0,-13537.0,-27211.0,-3.0985301841657784,-4.348127035324345,249,268,13567.0,27591.0,-20374.0,-27211.0,-4.348127035324345
PEBBLES_XL,markov_20,A,2.5,0.1,-1.0,-1,fixed,0.0,-13967.0,-29085.0,-3.2138604280702188,-4.64876524111836,243,267,13997.0,29465.0,-21526.0,-29085.0,-4.64876524111836
PEBBLES_XL,markov_20,A,2.5,0.25,-1.0,-1,fixed,0.0,-14267.0,-28891.0,-3.6468119674267268,-4.6346115674205866,243,268,14297.0,29271.0,-21579.0,-28891.0,-4.6346115674205866
PEBBLES_XL,markov_50,A,2.5,0.25,-1.0,-1,fixed,0.0,-15767.0,-27477.0,-3.593585373518196,-4.485773163730806,249,271,15797.0,27857.0,-21622.0,-27477.0,-4.485773163730806
PEBBLES_XL,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-15062.0,-28249.0,-3.4744888796476436,-4.51354618359903,230,274,15092.0,28629.0,-21655.5,-28249.0,-4.51354618359903
PEBBLES_XL,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-14868.0,-28899.0,-3.8169002901298255,-4.835530567032885,231,274,14898.0,29279.0,-21883.5,-28899.0,-4.835530567032885
PEBBLES_XL,markov_50,A,2.5,0.5,-1.0,-1,fixed,0.0,-16814.0,-27737.0,-4.227528769806173,-6.340859286925125,250,273,16844.0,28117.0,-22275.5,-27737.0,-6.340859286925125
PEBBLES_XL,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-16749.0,-27889.0,-4.279053486945,-6.2609931835605455,231,276,16779.0,28269.0,-22319.0,-27889.0,-6.2609931835605455
PEBBLES_XL,markov_20,A,2.5,0.5,-1.0,-1,fixed,0.0,-16684.0,-28361.0,-4.370485360623452,-6.386079987412344,244,270,16714.0,28741.0,-22522.5,-28361.0,-6.386079987412344
PEBBLES_XL,ar2_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-61183.0,-80483.0,-7.744263216115157,-8.311572194209065,760,836,61738.0,80553.0,-70833.0,-80483.0,-8.311572194209065
PEBBLES_XL,ar2_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-62108.0,-80593.0,-8.204574518207323,-10.776110356577233,770,859,62663.0,80663.0,-71350.5,-80593.0,-10.776110356577233
PEBBLES_XL,ar2_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-59937.0,-83933.0,-7.911729936407383,-8.936772608417058,768,842,60492.0,84003.0,-71935.0,-83933.0,-8.936772608417058
PEBBLES_XL,ar2_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-63109.0,-80907.0,-7.278204109173873,-7.999778534573819,761,831,63884.0,80977.0,-72008.0,-80907.0,-7.999778534573819
