product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
ROBOT_IRONING,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,93.0,-77.0,0.590531108540954,-0.39463259126938727,10,28,240.0,207.0,8.0,-77.0,-0.39463259126938727
ROBOT_IRONING,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,93.0,-176.0,0.590531108540954,-0.6196065028858055,10,28,240.0,339.0,-41.5,-176.0,-0.6196065028858055
ROBOT_IRONING,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-110.0,-75.0,-1.005089091390736,-0.3877629885714936,10,28,240.0,205.0,-92.5,-110.0,-1.005089091390736
ROBOT_IRONING,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-110.0,-174.0,-1.005089091390736,-0.8592390199785122,10,28,240.0,304.0,-142.0,-174.0,-1.005089091390736
ROBOT_IRONING,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-110.0,-177.0,-1.005089091390736,-0.710765736688161,10,28,240.0,307.0,-143.5,-177.0,-1.005089091390736
ROBOT_IRONING,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-110.0,-273.0,-1.005089091390736,-1.301089390912567,10,28,240.0,403.0,-191.5,-273.0,-1.301089390912567
ROBOT_IRONING,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-110.0,-374.0,-1.005089091390736,-1.7306820730513186,10,28,240.0,437.0,-242.0,-374.0,-1.7306820730513186
ROBOT_IRONING,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-110.0,-374.0,-1.005089091390736,-1.7306820730513186,10,28,240.0,437.0,-242.0,-374.0,-1.7306820730513186
ROBOT_IRONING,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-538.0,-993.0,-1.5329170596525878,-2.06962641234029,38,76,684.0,1094.0,-765.5,-993.0,-2.06962641234029
ROBOT_IRONING,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-610.0,-993.0,-1.7571342036931148,-2.06962641234029,30,76,684.0,1094.0,-801.5,-993.0,-2.06962641234029
ROBOT_IRONING,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-335.0,-1395.0,-0.9025898983712114,-1.8048728882353606,38,76,684.0,1496.0,-865.0,-1395.0,-1.8048728882353606
ROBOT_IRONING,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-407.0,-1400.0,-1.1061098602834776,-1.8093322388829594,30,76,684.0,1501.0,-903.5,-1400.0,-1.8093322388829594
ROBOT_IRONING,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-335.0,-1500.0,-0.9025898983712114,-1.9050253688029277,38,76,684.0,1601.0,-917.5,-1500.0,-1.9050253688029277
ROBOT_IRONING,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-407.0,-1597.0,-1.1061098602834776,-1.9398485137164054,30,76,684.0,1698.0,-1002.0,-1597.0,-1.9398485137164054
ROBOT_IRONING,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-657.0,-1494.0,-1.9489722848808695,-2.8810460789457872,37,76,757.0,1494.0,-1075.5,-1494.0,-2.8810460789457872
ROBOT_IRONING,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-729.0,-1494.0,-2.1900197299872355,-2.8810460789457872,29,76,777.0,1494.0,-1111.5,-1494.0,-2.8810460789457872
ROBOT_IRONING,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-4120.0,-1259.0,-3.884207450116512,-2.477962013670276,267,80,4383.0,1360.0,-2689.5,-4120.0,-3.884207450116512
ROBOT_IRONING,ar1_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-4027.0,-1356.0,-3.910573430476432,-2.6656222646150196,267,80,4290.0,1457.0,-2691.5,-4027.0,-3.910573430476432
ROBOT_IRONING,ar1_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-4318.0,-1365.0,-3.768257747193424,-2.490682898869349,267,80,4581.0,1466.0,-2841.5,-4318.0,-3.768257747193424
ROBOT_IRONING,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-4130.0,-1562.0,-3.9888531812669727,-2.945476250305389,267,80,4393.0,1562.0,-2846.0,-4130.0,-3.9888531812669727
