product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
ROBOT_VACUUMING,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-4665.0,-1628.0,-3.238242667739033,-2.1796015110792766,273,165,4678.0,1933.0,-3146.5,-4665.0,-3.238242667739033
ROBOT_VACUUMING,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-4589.0,-1748.0,-3.1799413639711274,-2.220483088247422,306,175,4602.0,2053.0,-3168.5,-4589.0,-3.1799413639711274
ROBOT_VACUUMING,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-4513.0,-1917.0,-3.1443836652309916,-2.784562921871257,274,166,4526.0,2045.0,-3215.0,-4513.0,-3.1443836652309916
ROBOT_VACUUMING,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-4417.0,-2053.0,-3.0727412366531057,-2.791426612636457,307,175,4430.0,2181.0,-3235.0,-4417.0,-3.0727412366531057
ROBOT_VACUUMING,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-5089.0,-1527.0,-3.3304479057905874,-1.9150492515355966,295,177,5102.0,1832.0,-3308.0,-5089.0,-3.3304479057905874
ROBOT_VACUUMING,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-4926.0,-1832.0,-3.206496994836947,-2.4657780661318522,296,177,4939.0,1960.0,-3379.0,-4926.0,-3.206496994836947
ROBOT_VACUUMING,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-4901.0,-2222.0,-3.3683173898961507,-3.324575068913987,273,162,4914.0,2350.0,-3561.5,-4901.0,-3.3683173898961507
ROBOT_VACUUMING,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-5161.0,-2272.0,-3.458141833111347,-3.229570315381218,305,172,5174.0,2400.0,-3716.5,-5161.0,-3.458141833111347
ROBOT_VACUUMING,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-5401.0,-2121.0,-3.47486931868762,-2.9553418013637893,296,174,5414.0,2249.0,-3761.0,-5401.0,-3.47486931868762
ROBOT_VACUUMING,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5032.0,-2634.0,-3.410063925786521,-4.195377134014579,278,162,5045.0,2634.0,-3833.0,-5032.0,-4.195377134014579
ROBOT_VACUUMING,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5001.0,-2684.0,-3.388913726699358,-4.043095807246724,310,172,5014.0,2684.0,-3842.5,-5001.0,-4.043095807246724
ROBOT_VACUUMING,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5387.0,-2533.0,-3.457886782236471,-3.7431648903980324,300,174,5400.0,2533.0,-3960.0,-5387.0,-3.7431648903980324
ROBOT_VACUUMING,kalman_mle,A,2.5,0.1,-1.0,-1,fixed,0.0,-5469.0,-2626.0,-3.4412411630005257,-3.0581158215231037,353,208,5482.0,2754.0,-4047.5,-5469.0,-3.4412411630005257
ROBOT_VACUUMING,kalman_mle,A,2.5,0.0,-1.0,-1,fixed,0.0,-5712.0,-2408.0,-3.480356002890675,-2.5848800695678027,348,208,5725.0,2713.0,-4060.0,-5712.0,-3.480356002890675
ROBOT_VACUUMING,kalman_mle,A,2.5,0.25,-1.0,-1,fixed,0.0,-5989.0,-3010.0,-3.731392107942843,-3.643436665258044,352,205,6002.0,3010.0,-4499.5,-5989.0,-3.731392107942843
ROBOT_VACUUMING,kalman_mle,A,2.5,0.5,-1.0,-1,fixed,0.0,-6178.0,-3273.0,-3.8157570234850735,-3.961949635230702,357,205,6191.0,3273.0,-4725.5,-6178.0,-3.961949635230702
ROBOT_VACUUMING,ar2_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-19370.0,-16276.0,-7.813272821745843,-7.922666882683278,1031,805,19370.0,16561.0,-17823.0,-19370.0,-7.922666882683278
ROBOT_VACUUMING,ar2_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-19077.0,-17207.0,-8.007491972178228,-7.935997668570347,1037,809,19077.0,17396.0,-18142.0,-19077.0,-8.007491972178228
ROBOT_VACUUMING,ar3_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-20249.0,-16055.0,-8.095999655247475,-7.74513913383902,1105,820,20249.0,16340.0,-18152.0,-20249.0,-8.095999655247475
ROBOT_VACUUMING,ar3_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-19662.0,-16808.0,-8.271621903309702,-7.683629955949394,1112,822,19662.0,16997.0,-18235.0,-19662.0,-8.271621903309702
