product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
SLEEP_POD_COTTON,ewma_10,A,2.5,0.0,-1.0,-1,fixed,0.0,-180.0,-6974.0,-0.0692080616176781,-1.3877992118045859,59,174,2898.0,9618.0,-3577.0,-6974.0,-1.3877992118045859
SLEEP_POD_COTTON,ewma_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-1534.0,-6052.0,-0.6024111215599767,-1.20127703550786,65,181,3080.0,8600.0,-3793.0,-6052.0,-1.20127703550786
SLEEP_POD_COTTON,ewma_10,A,2.5,0.1,-1.0,-1,fixed,0.0,-1000.0,-7051.0,-0.40174326662977344,-1.3738360431986492,62,175,3357.0,9745.0,-4025.5,-7051.0,-1.3738360431986492
SLEEP_POD_COTTON,ewma_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-1756.0,-7356.0,-0.6783524182461866,-1.5604818430089105,64,190,2899.0,9348.0,-4556.0,-7356.0,-1.5604818430089105
SLEEP_POD_COTTON,ewma_10,A,2.0,0.0,-1.0,-1,fixed,0.0,578.0,-14777.0,0.27426217777627215,-2.446444436211032,213,329,4038.0,16975.0,-7099.5,-14777.0,-2.446444436211032
SLEEP_POD_COTTON,ewma_10,A,2.0,0.1,-1.0,-1,fixed,0.0,-84.0,-15311.0,0.10789105220534558,-2.4614226278274183,220,334,4340.0,17401.0,-7697.5,-15311.0,-2.4614226278274183
SLEEP_POD_COTTON,ewma_10,A,2.0,0.25,-1.0,-1,fixed,0.0,-389.0,-15633.0,0.03488218308606408,-2.489392084599819,225,348,4202.0,17647.0,-8011.0,-15633.0,-2.489392084599819
SLEEP_POD_COTTON,ewma_10,A,2.0,0.5,-1.0,-1,fixed,0.0,-3076.0,-17909.0,-0.7042058066403794,-3.0718811880215324,226,375,6039.0,18990.0,-10492.5,-17909.0,-3.0718811880215324
SLEEP_POD_COTTON,ewma_10,A,1.75,0.0,-1.0,-1,fixed,0.0,-2856.0,-21212.0,-0.5278630869146992,-3.1297502655766833,294,432,6264.0,24551.0,-12034.0,-21212.0,-3.1297502655766833
SLEEP_POD_COTTON,ewma_10,A,1.75,0.25,-1.0,-1,fixed,0.0,-4538.0,-22172.0,-0.8551542999750926,-3.2095769593047825,317,470,7775.0,25118.0,-13355.0,-22172.0,-3.2095769593047825
SLEEP_POD_COTTON,ewma_10,A,1.75,0.1,-1.0,-1,fixed,0.0,-3772.0,-23027.0,-0.7218253149400959,-3.3486920533535574,308,441,7472.0,26119.0,-13399.5,-23027.0,-3.3486920533535574
SLEEP_POD_COTTON,ewma_10,A,1.75,0.5,-1.0,-1,fixed,0.0,-8402.0,-24642.0,-1.7599421383719016,-3.787515818618462,325,507,10474.0,26800.0,-16522.0,-24642.0,-3.787515818618462
SLEEP_POD_COTTON,ewma_10,A,1.5,0.0,-1.0,-1,fixed,0.0,-9043.0,-29583.0,-1.4247450521904463,-3.833476766204712,424,586,12140.0,32718.0,-19313.0,-29583.0,-3.833476766204712
SLEEP_POD_COTTON,ewma_10,A,1.5,0.25,-1.0,-1,fixed,0.0,-9278.0,-30338.0,-1.5085287317705516,-3.9602693803384557,489,648,12168.0,33875.0,-19808.0,-30338.0,-3.9602693803384557
SLEEP_POD_COTTON,ewma_10,A,1.5,0.1,-1.0,-1,fixed,0.0,-9181.0,-30805.0,-1.5388813073615017,-3.940599166601981,453,604,12093.0,33591.0,-19993.0,-30805.0,-3.940599166601981
SLEEP_POD_COTTON,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-9653.0,-31438.0,-5.559891008352338,-9.489266014980764,306,695,9921.0,31574.0,-20545.5,-31438.0,-9.489266014980764
SLEEP_POD_COTTON,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-9707.0,-31564.0,-5.686294135957177,-9.510209869078224,307,699,9896.0,31700.0,-20635.5,-31564.0,-9.510209869078224
SLEEP_POD_COTTON,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-10178.0,-31327.0,-6.876667013648891,-9.699878986924196,304,701,10367.0,31423.0,-20752.5,-31327.0,-9.699878986924196
SLEEP_POD_COTTON,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-10654.0,-31171.0,-5.652227675305565,-9.78317214782536,319,702,10843.0,31307.0,-20912.5,-31171.0,-9.78317214782536
SLEEP_POD_COTTON,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-10299.0,-31568.0,-6.240971313575465,-9.744430438654536,310,699,10488.0,31704.0,-20933.5,-31568.0,-9.744430438654536
