product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
SLEEP_POD_LAMB_WOOL,holt,A,2.5,0.1,-1.0,-1,fixed,0.0,371.0,568.0,0.14709646792740172,0.18289128273351593,63,95,2105.0,4198.0,469.5,371.0,0.14709646792740172
SLEEP_POD_LAMB_WOOL,holt,A,2.5,0.0,-1.0,-1,fixed,0.0,-1236.0,639.0,-0.4100070901061305,0.16276386845786642,67,91,3603.0,4006.0,-298.5,-1236.0,-0.4100070901061305
SLEEP_POD_LAMB_WOOL,holt,A,2.5,0.25,-1.0,-1,fixed,0.0,-682.0,-654.0,-0.27603989600239376,-0.2832079480440169,63,91,2322.0,4259.0,-668.0,-682.0,-0.2832079480440169
SLEEP_POD_LAMB_WOOL,holt,A,2.5,0.5,-1.0,-1,fixed,0.0,-1107.0,-785.0,-0.4872335214554136,-0.3465970226015955,63,93,2440.0,4257.0,-946.0,-1107.0,-0.4872335214554136
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.5,0.0,-1.0,-1,fixed,0.0,-66.0,-4876.0,-0.02658991330449815,-2.0079316825861593,58,89,2621.0,5723.0,-2471.0,-4876.0,-2.0079316825861593
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.5,0.1,-1.0,-1,fixed,0.0,-177.0,-5403.0,-0.07139667033212153,-2.130507072083795,59,90,2621.0,5906.0,-2790.0,-5403.0,-2.130507072083795
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-597.0,-5615.0,-0.2427845113087131,-2.206109194904565,59,91,2744.0,6076.0,-3106.0,-5615.0,-2.206109194904565
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-1298.0,-5902.0,-0.6156538128630242,-2.7158024190853927,63,97,2170.0,6855.0,-3600.0,-5902.0,-2.7158024190853927
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.0,0.0,-1.0,-1,fixed,0.0,-2028.0,-9878.0,-0.44173066327399746,-2.2455501247936036,216,226,5907.0,11682.0,-5953.0,-9878.0,-2.2455501247936036
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.0,0.25,-1.0,-1,fixed,0.0,-1549.0,-11568.0,-0.38068162018061585,-2.8112597110623136,225,228,4996.0,12856.0,-6558.5,-11568.0,-2.8112597110623136
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.0,0.1,-1.0,-1,fixed,0.0,-3184.0,-10031.0,-0.7012916749714599,-2.3519189882936655,219,225,6515.0,11668.0,-6607.5,-10031.0,-2.3519189882936655
SLEEP_POD_LAMB_WOOL,holt,A,2.0,0.1,-1.0,-1,fixed,0.0,-3370.0,-9907.0,-0.7892990308447014,-2.1839797210695515,179,215,6067.0,12788.0,-6638.5,-9907.0,-2.1839797210695515
SLEEP_POD_LAMB_WOOL,holt,A,2.0,0.25,-1.0,-1,fixed,0.0,-4629.0,-8741.0,-1.239274568017201,-2.1419950015366784,187,218,5532.0,12720.0,-6685.0,-8741.0,-2.1419950015366784
SLEEP_POD_LAMB_WOOL,holt,A,2.0,0.5,-1.0,-1,fixed,0.0,-5258.0,-8863.0,-1.546495975785356,-2.366548425712751,187,224,5575.0,12023.0,-7060.5,-8863.0,-2.366548425712751
SLEEP_POD_LAMB_WOOL,holt,A,2.0,0.0,-1.0,-1,fixed,0.0,-4962.0,-10975.0,-1.0757262901612228,-2.29463921872145,179,201,8326.0,14602.0,-7968.5,-10975.0,-2.29463921872145
SLEEP_POD_LAMB_WOOL,ewma_10,A,2.0,0.5,-1.0,-1,fixed,0.0,-5521.0,-12530.0,-1.5533766812178569,-3.232190911638834,224,238,5821.0,13691.0,-9025.5,-12530.0,-3.232190911638834
SLEEP_POD_LAMB_WOOL,lattice_1,A,2.5,0.25,-1.0,-1,fixed,0.0,-8848.0,-11489.0,-6.3783436566129845,-6.502250982316227,256,364,8848.0,11497.0,-10168.5,-11489.0,-6.502250982316227
SLEEP_POD_LAMB_WOOL,lattice_1,A,2.5,0.0,-1.0,-1,fixed,0.0,-8961.0,-11532.0,-6.2792564664223605,-6.346217534626062,256,361,8961.0,11540.0,-10246.5,-11532.0,-6.346217534626062
SLEEP_POD_LAMB_WOOL,lattice_1,A,2.5,0.1,-1.0,-1,fixed,0.0,-9110.0,-11537.0,-6.334382231615448,-6.390935402579186,257,361,9110.0,11545.0,-10323.5,-11537.0,-6.390935402579186
SLEEP_POD_LAMB_WOOL,lattice_2,A,2.5,0.0,-1.0,-1,fixed,0.0,-9334.0,-11614.0,-6.610547765672492,-6.436616636164194,262,354,9343.0,11622.0,-10474.0,-11614.0,-6.610547765672492
