product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
SLEEP_POD_SUEDE,linreg_500,A,2.0,0.0,-1.0,-1,fixed,0.0,-3652.0,12927.0,-0.6221370001781265,2.4699675676128767,73,66,10434.0,5306.0,4637.5,-3652.0,-0.6221370001781265
SLEEP_POD_SUEDE,linreg_500,A,2.0,0.1,-1.0,-1,fixed,0.0,-3760.0,12175.0,-0.6554381409226255,2.4511365940082186,69,65,9851.0,4386.0,4207.5,-3760.0,-0.6554381409226255
SLEEP_POD_SUEDE,linreg_500,A,2.0,0.25,-1.0,-1,fixed,0.0,-3299.0,10526.0,-0.6180396481381417,2.2281492348502776,76,63,9981.0,4668.0,3613.5,-3299.0,-0.6180396481381417
SLEEP_POD_SUEDE,linreg_500,A,1.75,0.1,-1.0,-1,fixed,0.0,-4567.0,11067.0,-0.6883519869984568,1.8488691020826074,86,77,10533.0,5298.0,3250.0,-4567.0,-0.6883519869984568
SLEEP_POD_SUEDE,linreg_500,A,1.75,0.0,-1.0,-1,fixed,0.0,-4319.0,10790.0,-0.6377313837771534,1.7727350244695468,90,75,11071.0,6218.0,3235.5,-4319.0,-0.6377313837771534
SLEEP_POD_SUEDE,linreg_500,A,1.75,0.25,-1.0,-1,fixed,0.0,-3684.0,8887.0,-0.6063173133610987,1.5238268454450978,95,75,9407.0,5591.0,2601.5,-3684.0,-0.6063173133610987
SLEEP_POD_SUEDE,linreg_500,A,1.25,0.0,-1.0,-1,fixed,0.0,-4541.0,9407.0,-0.5429981291345524,1.2949417744238496,134,136,9378.0,6404.0,2433.0,-4541.0,-0.5429981291345524
SLEEP_POD_SUEDE,linreg_500,A,1.25,0.1,-1.0,-1,fixed,0.0,-3469.0,8115.0,-0.425211235753811,1.17307315133125,136,140,9342.0,5751.0,2323.0,-3469.0,-0.425211235753811
SLEEP_POD_SUEDE,linreg_500,A,1.25,0.25,-1.0,-1,fixed,0.0,-2005.0,6617.0,-0.2668663001539106,0.9596025242111955,156,138,8408.0,6509.0,2306.0,-2005.0,-0.2668663001539106
SLEEP_POD_SUEDE,quad_2000,A,1.25,0.5,-1.0,-1,fixed,0.0,-9663.0,13387.0,-1.4383972145152073,1.7351110786517427,61,60,11890.0,4320.0,1862.0,-9663.0,-1.4383972145152073
SLEEP_POD_SUEDE,linreg_500,A,2.0,0.5,-1.0,-1,fixed,0.0,-3089.0,6611.0,-0.6294619518002177,1.5259180610692196,81,60,8558.0,5205.0,1761.0,-3089.0,-0.6294619518002177
SLEEP_POD_SUEDE,linreg_500,A,1.25,0.5,-1.0,-1,fixed,0.0,-2132.0,5489.0,-0.2999897953060329,0.7999244024028496,192,155,8401.0,7825.0,1678.5,-2132.0,-0.2999897953060329
SLEEP_POD_SUEDE,linreg_500,A,2.5,0.0,-1.0,-1,fixed,0.0,-1616.0,4572.0,-0.26911192415850455,1.2245944046893198,47,25,8284.0,4698.0,1478.0,-1616.0,-0.26911192415850455
SLEEP_POD_SUEDE,linreg_500,A,2.5,0.25,-1.0,-1,fixed,0.0,-1537.0,4336.0,-0.28065093968608795,1.2622592590457262,45,25,8481.0,3929.0,1399.5,-1537.0,-0.28065093968608795
SLEEP_POD_SUEDE,linreg_500,A,2.5,0.1,-1.0,-1,fixed,0.0,-1962.0,4706.0,-0.33248307026179674,1.3634519766056843,43,25,8358.0,3778.0,1372.0,-1962.0,-0.33248307026179674
SLEEP_POD_SUEDE,linreg_500,A,1.75,0.5,-1.0,-1,fixed,0.0,-4291.0,6957.0,-0.7127785356544853,1.1217485781203562,105,77,8221.0,6263.0,1333.0,-4291.0,-0.7127785356544853
SLEEP_POD_SUEDE,linreg_500,A,1.5,0.25,-1.0,-1,fixed,0.0,-4954.0,7276.0,-0.7311812119866171,1.156198014176785,115,95,10013.0,6710.0,1161.0,-4954.0,-0.7311812119866171
SLEEP_POD_SUEDE,quad_2000,A,2.0,0.25,-1.0,-1,fixed,0.0,-5635.0,7915.0,-1.0288203633855315,1.5015667202243927,28,11,10366.0,2550.0,1140.0,-5635.0,-1.0288203633855315
SLEEP_POD_SUEDE,quad_2000,A,1.0,0.5,-1.0,-1,fixed,0.0,-9354.0,11614.0,-1.213898981191347,1.3089036925634687,101,108,13042.0,8346.0,1130.0,-9354.0,-1.213898981191347
SLEEP_POD_SUEDE,quad_2000,A,2.0,0.5,-1.0,-1,fixed,0.0,-4090.0,6265.0,-0.872027133785328,1.339434600858991,27,11,7511.0,2550.0,1087.5,-4090.0,-0.872027133785328
