product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
SNACKPACK_PISTACHIO,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-7191.0,-10675.0,-6.277443800472285,-8.033464677535072,111,149,7191.0,10681.0,-8933.0,-10675.0,-8.033464677535072
SNACKPACK_PISTACHIO,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-7321.0,-10745.0,-6.348391929514476,-8.065736043692212,111,149,7321.0,10751.0,-9033.0,-10745.0,-8.065736043692212
SNACKPACK_PISTACHIO,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-7281.0,-10895.0,-6.798492559488068,-8.002302839958107,111,149,7281.0,10901.0,-9088.0,-10895.0,-8.002302839958107
SNACKPACK_PISTACHIO,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-7401.0,-10876.0,-6.8352603109033705,-8.31400377095863,111,148,7401.0,10876.0,-9138.5,-10876.0,-8.31400377095863
SNACKPACK_PISTACHIO,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-12287.0,-11892.0,-9.333463764681296,-8.747180053843548,180,165,12287.0,11898.0,-12089.5,-12287.0,-9.333463764681296
SNACKPACK_PISTACHIO,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-12571.0,-12162.0,-9.352853182579963,-8.71768478029458,182,165,12571.0,12168.0,-12366.5,-12571.0,-9.352853182579963
SNACKPACK_PISTACHIO,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-12631.0,-12233.0,-9.857949766685921,-8.962925557698544,182,164,12631.0,12233.0,-12432.0,-12631.0,-9.857949766685921
SNACKPACK_PISTACHIO,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-12771.0,-12132.0,-9.46836807235819,-8.759144827854309,182,165,12771.0,12138.0,-12451.5,-12771.0,-9.46836807235819
SNACKPACK_PISTACHIO,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-14009.0,-12643.0,-9.00400414178415,-8.745733815896426,202,177,14009.0,12649.0,-13326.0,-14009.0,-9.00400414178415
SNACKPACK_PISTACHIO,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-13699.0,-13018.0,-8.797016297682996,-9.029995526346362,198,178,13699.0,13024.0,-13358.5,-13699.0,-9.029995526346362
SNACKPACK_PISTACHIO,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-14213.0,-12884.0,-9.719981084482717,-9.02109041932319,204,176,14213.0,12884.0,-13548.5,-14213.0,-9.719981084482717
SNACKPACK_PISTACHIO,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-13983.0,-13168.0,-8.828527386290832,-9.07269654216459,200,178,13983.0,13174.0,-13575.5,-13983.0,-9.07269654216459
SNACKPACK_PISTACHIO,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-13923.0,-13239.0,-9.552265979587443,-9.28808388181771,200,177,13923.0,13239.0,-13581.0,-13923.0,-9.552265979587443
SNACKPACK_PISTACHIO,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-14073.0,-13098.0,-8.91920248108132,-9.11272001496753,200,178,14073.0,13104.0,-13585.5,-14073.0,-9.11272001496753
SNACKPACK_PISTACHIO,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-14363.0,-12813.0,-9.1235398233481,-8.871594081936452,204,177,14363.0,12819.0,-13588.0,-14363.0,-9.1235398233481
SNACKPACK_PISTACHIO,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-14273.0,-13003.0,-9.030853101042503,-8.781671104095535,204,177,14273.0,13009.0,-13638.0,-14273.0,-9.030853101042503
SNACKPACK_PISTACHIO,ar5_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-42752.0,-51846.0,-16.009800672307662,-18.56285960509971,565,684,42752.0,51852.0,-47299.0,-51846.0,-18.56285960509971
SNACKPACK_PISTACHIO,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-42866.0,-52485.0,-16.40774894906232,-18.426797894388177,572,691,42866.0,52491.0,-47675.5,-52485.0,-18.426797894388177
SNACKPACK_PISTACHIO,ar5_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-43496.0,-51912.0,-15.73482412427126,-18.44286465250219,570,687,43496.0,51918.0,-47704.0,-51912.0,-18.44286465250219
SNACKPACK_PISTACHIO,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-42496.0,-52936.0,-16.348327810986657,-18.852352413498537,572,692,42496.0,52936.0,-47716.0,-52936.0,-18.852352413498537
