product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
SNACKPACK_STRAWBERRY,mean_100,A,1.75,0.25,-1.0,-1,fixed,0.0,1156.0,-27.0,0.32222343301679346,-0.008573432670534209,65,82,3679.0,3200.0,564.5,-27.0,-0.008573432670534209
SNACKPACK_STRAWBERRY,mean_100,A,1.75,0.1,-1.0,-1,fixed,0.0,1592.0,-590.0,0.43595952898072543,-0.17611697182351152,67,80,3954.0,4075.0,501.0,-590.0,-0.17611697182351152
SNACKPACK_STRAWBERRY,mean_100,A,1.75,0.0,-1.0,-1,fixed,0.0,1176.0,-437.0,0.28453074896442376,-0.13059716194199275,69,80,4514.0,3892.0,369.5,-437.0,-0.13059716194199275
SNACKPACK_STRAWBERRY,microprice_ewma25,A,2.0,0.25,-1.0,-1,fixed,0.0,1825.0,-1947.0,0.6498967142564609,-0.7770701159579182,75,67,2570.0,4172.0,-61.0,-1947.0,-0.7770701159579182
SNACKPACK_STRAWBERRY,ewma_25,A,2.5,0.1,-1.0,-1,fixed,0.0,-20.0,-140.0,-0.02893553284445325,-0.10217611725571094,8,24,1030.0,1735.0,-80.0,-140.0,-0.10217611725571094
SNACKPACK_STRAWBERRY,microprice_ewma25,A,2.5,0.1,-1.0,-1,fixed,0.0,-20.0,-140.0,-0.02893553284445325,-0.10217611725571094,8,24,1030.0,1735.0,-80.0,-140.0,-0.10217611725571094
SNACKPACK_STRAWBERRY,ewma_25,A,2.0,0.25,-1.0,-1,fixed,0.0,1775.0,-1967.0,0.624571409344189,-0.7857279115326233,75,67,2620.0,4172.0,-96.0,-1967.0,-0.7857279115326233
SNACKPACK_STRAWBERRY,microprice_ewma25,A,2.0,0.0,-1.0,-1,fixed,0.0,765.0,-1007.0,0.07536135841128755,-0.3822978048528552,70,68,4325.0,3182.0,-121.0,-1007.0,-0.3822978048528552
SNACKPACK_STRAWBERRY,microprice_ewma25,A,2.5,0.0,-1.0,-1,fixed,0.0,-420.0,170.0,-0.3714098177367404,0.12822948589125147,8,25,1345.0,1695.0,-125.0,-420.0,-0.3714098177367404
SNACKPACK_STRAWBERRY,ewma_25,A,2.5,0.0,-1.0,-1,fixed,0.0,-420.0,120.0,-0.3714098177367404,0.09112233192799658,8,25,1345.0,1695.0,-150.0,-420.0,-0.3714098177367404
SNACKPACK_STRAWBERRY,ewma_25,A,2.0,0.0,-1.0,-1,fixed,0.0,605.0,-1077.0,0.019323128408516146,-0.4100971673749465,70,68,4375.0,3182.0,-236.0,-1077.0,-0.4100971673749465
SNACKPACK_STRAWBERRY,ewma_25,A,2.0,0.1,-1.0,-1,fixed,0.0,1085.0,-1807.0,0.2789465133301603,-0.6848482738788811,70,68,3560.0,3552.0,-361.0,-1807.0,-0.6848482738788811
SNACKPACK_STRAWBERRY,mean_100,A,1.5,0.1,-1.0,-1,fixed,0.0,2650.0,-3391.0,0.5732589114633605,-0.9098766147405364,110,111,4395.0,5091.0,-370.5,-3391.0,-0.9098766147405364
SNACKPACK_STRAWBERRY,microprice_ewma25,A,2.0,0.1,-1.0,-1,fixed,0.0,1025.0,-1787.0,0.25698487313478163,-0.6764368299081269,70,68,3510.0,3542.0,-381.0,-1787.0,-0.6764368299081269
SNACKPACK_STRAWBERRY,mean_100,A,2.5,0.25,-1.0,-1,fixed,0.0,-620.0,-495.0,-0.5556311408638428,-0.4685685132538285,10,18,1615.0,1865.0,-557.5,-620.0,-0.5556311408638428
SNACKPACK_STRAWBERRY,mean_100,A,2.5,0.5,-1.0,-1,fixed,0.0,-10.0,-1135.0,-0.010980733210131858,-1.1408547007127001,10,17,1220.0,2195.0,-572.5,-1135.0,-1.1408547007127001
SNACKPACK_STRAWBERRY,mean_100,A,2.5,0.1,-1.0,-1,fixed,0.0,-790.0,-395.0,-0.5922138884814693,-0.3726748463684551,10,17,1880.0,1870.0,-592.5,-790.0,-0.5922138884814693
SNACKPACK_STRAWBERRY,mean_100,A,2.5,0.0,-1.0,-1,fixed,0.0,-950.0,-255.0,-0.7144808633250211,-0.23785924819054774,10,17,2070.0,1790.0,-602.5,-950.0,-0.7144808633250211
SNACKPACK_STRAWBERRY,ewma_25,A,2.5,0.25,-1.0,-1,fixed,0.0,-190.0,-1030.0,-0.303355975578441,-0.7637630097216369,8,24,1090.0,2165.0,-610.0,-1030.0,-0.7637630097216369
SNACKPACK_STRAWBERRY,microprice_ewma25,A,2.5,0.25,-1.0,-1,fixed,0.0,-190.0,-1030.0,-0.303355975578441,-0.7637630097216369,8,24,1090.0,2165.0,-610.0,-1030.0,-0.7637630097216369
