product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
SNACKPACK_VANILLA,median_50,A,2.5,0.5,-1.0,-1,fixed,0.0,-3950.0,540.0,-2.1638398512248833,0.7055933232656779,46,30,4510.0,930.0,-1705.0,-3950.0,-2.1638398512248833
SNACKPACK_VANILLA,mean_50,A,2.5,0.5,-1.0,-1,fixed,0.0,-4542.0,260.0,-2.2831032631733046,0.36503420951489846,33,22,4882.0,890.0,-2141.0,-4542.0,-2.2831032631733046
SNACKPACK_VANILLA,median_50,A,2.5,0.0,-1.0,-1,fixed,0.0,-4862.0,500.0,-2.3650742134256912,0.5658394456893844,45,30,5392.0,875.0,-2181.0,-4862.0,-2.3650742134256912
SNACKPACK_VANILLA,median_50,A,2.5,0.1,-1.0,-1,fixed,0.0,-5242.0,810.0,-2.5398995765389563,0.9019939808153195,45,30,5722.0,770.0,-2216.0,-5242.0,-2.5398995765389563
SNACKPACK_VANILLA,mean_50,A,2.5,0.25,-1.0,-1,fixed,0.0,-4770.0,245.0,-2.402764210266522,0.3097499380428348,32,23,5150.0,810.0,-2262.5,-4770.0,-2.402764210266522
SNACKPACK_VANILLA,median_50,A,2.5,0.25,-1.0,-1,fixed,0.0,-5072.0,540.0,-2.4603295290353993,0.600406135899791,45,30,5632.0,930.0,-2266.0,-5072.0,-2.4603295290353993
SNACKPACK_VANILLA,mean_50,A,2.5,0.1,-1.0,-1,fixed,0.0,-5550.0,295.0,-2.5595303140335197,0.33503351645130003,32,23,5930.0,930.0,-2627.5,-5550.0,-2.5595303140335197
SNACKPACK_VANILLA,mean_50,A,2.5,0.0,-1.0,-1,fixed,0.0,-5794.0,380.0,-2.4439881831242394,0.4165045984614324,33,22,6174.0,865.0,-2707.0,-5794.0,-2.4439881831242394
SNACKPACK_VANILLA,holt,A,2.5,0.0,-1.0,-1,fixed,0.0,-6150.0,-844.0,-2.642369278992076,-0.8994052174921124,51,33,6680.0,1299.0,-3497.0,-6150.0,-2.642369278992076
SNACKPACK_VANILLA,holt,A,2.5,0.5,-1.0,-1,fixed,0.0,-5596.0,-1400.0,-2.6267232993395884,-1.602065555552822,52,35,5966.0,1755.0,-3498.0,-5596.0,-2.6267232993395884
SNACKPACK_VANILLA,ewma_10,A,2.5,0.1,-1.0,-1,fixed,0.0,-6356.0,-942.0,-2.8875455432442116,-1.2448944761015701,69,40,6901.0,1395.0,-3649.0,-6356.0,-2.8875455432442116
SNACKPACK_VANILLA,holt,A,2.5,0.1,-1.0,-1,fixed,0.0,-6430.0,-1040.0,-2.714125366162871,-1.347330280749963,51,35,6960.0,1525.0,-3735.0,-6430.0,-2.714125366162871
SNACKPACK_VANILLA,holt,A,2.5,0.25,-1.0,-1,fixed,0.0,-6120.0,-1350.0,-2.737378997838974,-1.6915474967306903,51,35,6490.0,1700.0,-3735.0,-6120.0,-2.737378997838974
SNACKPACK_VANILLA,ewma_10,A,2.5,0.0,-1.0,-1,fixed,0.0,-6276.0,-1210.0,-2.844791838775559,-1.4165267173000606,69,38,6871.0,1775.0,-3743.0,-6276.0,-2.844791838775559
SNACKPACK_VANILLA,ewma_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-6104.0,-1462.0,-2.8301770766705325,-1.733666865712741,68,40,6649.0,1765.0,-3783.0,-6104.0,-2.8301770766705325
SNACKPACK_VANILLA,ewma_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-6314.0,-1770.0,-2.941564374726289,-2.0317271456438957,68,39,6849.0,2110.0,-4042.0,-6314.0,-2.941564374726289
SNACKPACK_VANILLA,mean_50,A,2.0,0.5,-1.0,-1,fixed,0.0,-11108.0,-3416.0,-4.270190821539574,-2.244234689476779,108,75,11728.0,4401.0,-7262.0,-11108.0,-4.270190821539574
SNACKPACK_VANILLA,mean_50,A,2.0,0.25,-1.0,-1,fixed,0.0,-10866.0,-3680.0,-4.1162504185562465,-2.3116690302188374,107,76,11591.0,4435.0,-7273.0,-10866.0,-4.1162504185562465
SNACKPACK_VANILLA,median_50,A,2.0,0.5,-1.0,-1,fixed,0.0,-12066.0,-4026.0,-5.060645714022977,-2.5714118458554394,116,76,12431.0,5102.0,-8046.0,-12066.0,-5.060645714022977
SNACKPACK_VANILLA,median_50,A,2.0,0.25,-1.0,-1,fixed,0.0,-12400.0,-4142.0,-4.631936502293965,-2.3784301349915253,112,75,12875.0,5378.0,-8271.0,-12400.0,-4.631936502293965
