product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-1703.0,-8203.0,-2.649615566107187,-5.636924796461229,52,264,1943.0,8318.0,-4953.0,-8203.0,-5.636924796461229
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-2165.0,-7843.0,-3.122205889379646,-5.740861313413384,55,264,2295.0,7958.0,-5004.0,-7843.0,-5.740861313413384
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-1863.0,-8424.0,-2.8877969604451503,-5.748429656785014,52,264,2103.0,8539.0,-5143.5,-8424.0,-5.748429656785014
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-2203.0,-8256.0,-3.1273352407734927,-5.699238950277997,55,260,2333.0,8371.0,-5229.5,-8256.0,-5.699238950277997
TRANSLATOR_GRAPHITE_MIST,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-2429.0,-9017.0,-3.167450358541908,-5.853999361487959,66,294,2669.0,9132.0,-5723.0,-9017.0,-5.853999361487959
TRANSLATOR_GRAPHITE_MIST,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-2967.0,-8677.0,-3.664368132774748,-5.940785861408573,71,294,3097.0,8792.0,-5822.0,-8677.0,-5.940785861408573
TRANSLATOR_GRAPHITE_MIST,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-2602.0,-9157.0,-3.3048789245571704,-5.883064232231922,67,294,2842.0,9272.0,-5879.5,-9157.0,-5.883064232231922
TRANSLATOR_GRAPHITE_MIST,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-2985.0,-9333.0,-3.662461649188138,-5.990948061503939,71,288,3115.0,9448.0,-6159.0,-9333.0,-5.990948061503939
TRANSLATOR_GRAPHITE_MIST,kalman_mle,A,2.5,0.5,-1.0,-1,fixed,0.0,-11687.0,-16306.0,-7.577674083991572,-7.345860809555355,339,520,11687.0,16631.0,-13996.5,-16306.0,-7.577674083991572
TRANSLATOR_GRAPHITE_MIST,ofi_lag1,A,2.5,0.5,-1.0,-1,fixed,0.0,-11731.0,-16339.0,-7.608611430035297,-7.353885900779895,333,521,11731.0,16664.0,-14035.0,-16339.0,-7.608611430035297
TRANSLATOR_GRAPHITE_MIST,kalman_mle,A,2.5,0.0,-1.0,-1,fixed,0.0,-11544.0,-16964.0,-6.591307783843009,-7.0810669540674915,341,524,11544.0,17289.0,-14254.0,-16964.0,-7.0810669540674915
TRANSLATOR_GRAPHITE_MIST,kalman_mle,A,2.5,0.25,-1.0,-1,fixed,0.0,-12156.0,-16358.0,-7.414274852274119,-7.3399760136605,338,527,12156.0,16683.0,-14257.0,-16358.0,-7.414274852274119
TRANSLATOR_GRAPHITE_MIST,ofi_lag1,A,2.5,0.25,-1.0,-1,fixed,0.0,-12222.0,-16358.0,-7.456187604449896,-7.3399760136605,332,527,12222.0,16683.0,-14290.0,-16358.0,-7.456187604449896
TRANSLATOR_GRAPHITE_MIST,kalman_mle,A,2.5,0.1,-1.0,-1,fixed,0.0,-12085.0,-17321.0,-6.995486906604135,-7.357343969064533,336,528,12085.0,17646.0,-14703.0,-17321.0,-7.357343969064533
TRANSLATOR_GRAPHITE_MIST,ofi_lag1,A,2.5,0.0,-1.0,-1,fixed,0.0,-12119.0,-17303.0,-6.937122614669941,-7.350892639463292,334,529,12119.0,17628.0,-14711.0,-17303.0,-7.350892639463292
TRANSLATOR_GRAPHITE_MIST,ofi_lag1,A,2.5,0.1,-1.0,-1,fixed,0.0,-12129.0,-17321.0,-7.046609303756727,-7.357343969064533,330,528,12129.0,17646.0,-14725.0,-17321.0,-7.357343969064533
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-15334.0,-29882.0,-8.312679239395829,-8.946958859518453,406,1005,15334.0,29882.0,-22608.0,-29882.0,-8.946958859518453
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-14128.0,-31493.0,-7.522917950318552,-8.646338931982198,406,991,14128.0,31597.0,-22810.5,-31493.0,-8.646338931982198
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-14534.0,-31495.0,-8.228616370896564,-9.13088440726655,405,1000,14534.0,31495.0,-23014.5,-31495.0,-9.13088440726655
TRANSLATOR_GRAPHITE_MIST,ar5_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-14964.0,-32509.0,-8.088949723319686,-8.801953896541347,399,997,14964.0,32509.0,-23736.5,-32509.0,-8.801953896541347
