product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
TRANSLATOR_SPACE_GRAY,lattice_2,A,2.5,0.0,-1.0,-1,fixed,0.0,-10422.0,-6572.0,-5.734406821852837,-4.991693495725912,296,186,10527.0,6605.0,-8497.0,-10422.0,-5.734406821852837
TRANSLATOR_SPACE_GRAY,lattice_2,A,2.5,0.1,-1.0,-1,fixed,0.0,-10626.0,-6592.0,-5.817681391422723,-4.980399016664912,294,186,10731.0,6625.0,-8609.0,-10626.0,-5.817681391422723
TRANSLATOR_SPACE_GRAY,lattice_2,A,2.5,0.25,-1.0,-1,fixed,0.0,-10835.0,-6422.0,-5.931709103548364,-5.183999810981724,297,186,10940.0,6422.0,-8628.5,-10835.0,-5.931709103548364
TRANSLATOR_SPACE_GRAY,markov_20,A,2.5,0.1,-1.0,-1,fixed,0.0,-10221.0,-7155.0,-5.511231850718992,-5.556276868299556,307,205,10326.0,7173.0,-8688.0,-10221.0,-5.556276868299556
TRANSLATOR_SPACE_GRAY,markov_20,A,2.5,0.0,-1.0,-1,fixed,0.0,-10053.0,-7812.0,-5.319022466071075,-5.42165537658011,312,204,10158.0,7830.0,-8932.5,-10053.0,-5.42165537658011
TRANSLATOR_SPACE_GRAY,lattice_2,A,2.5,0.5,-1.0,-1,fixed,0.0,-11371.0,-6507.0,-6.047242788215316,-5.208654099482996,293,184,11476.0,6507.0,-8939.0,-11371.0,-6.047242788215316
TRANSLATOR_SPACE_GRAY,markov_20,A,2.5,0.5,-1.0,-1,fixed,0.0,-10967.0,-6955.0,-5.866160186966003,-5.655602255752798,308,205,11072.0,6973.0,-8961.0,-10967.0,-5.866160186966003
TRANSLATOR_SPACE_GRAY,markov_20,A,2.5,0.25,-1.0,-1,fixed,0.0,-10987.0,-7049.0,-5.859581618329796,-5.645256469183552,308,205,11092.0,7067.0,-9018.0,-10987.0,-5.859581618329796
TRANSLATOR_SPACE_GRAY,markov_50,A,2.5,0.5,-1.0,-1,fixed,0.0,-11116.0,-6984.0,-6.096443116310044,-5.599360436984769,305,207,11221.0,7002.0,-9050.0,-11116.0,-6.096443116310044
TRANSLATOR_SPACE_GRAY,markov_50,A,2.5,0.25,-1.0,-1,fixed,0.0,-11323.0,-6944.0,-5.97301008941152,-5.446692305105513,304,206,11428.0,6962.0,-9133.5,-11323.0,-5.97301008941152
TRANSLATOR_SPACE_GRAY,markov_50,A,2.5,0.0,-1.0,-1,fixed,0.0,-10615.0,-7721.0,-5.591766025023665,-5.275098892029238,310,206,10720.0,7739.0,-9168.0,-10615.0,-5.591766025023665
TRANSLATOR_SPACE_GRAY,markov_50,A,2.5,0.1,-1.0,-1,fixed,0.0,-11176.0,-7354.0,-5.838311278893935,-5.496743358079764,309,207,11281.0,7372.0,-9265.0,-11176.0,-5.838311278893935
TRANSLATOR_SPACE_GRAY,lattice_5,A,2.5,0.0,-1.0,-1,fixed,0.0,-9452.0,-9429.0,-5.309139260145801,-5.709731493376724,303,220,9554.0,9447.0,-9440.5,-9452.0,-5.709731493376724
TRANSLATOR_SPACE_GRAY,lattice_5,A,2.5,0.1,-1.0,-1,fixed,0.0,-9620.0,-9560.0,-5.459739136057453,-5.697185786848207,299,220,9722.0,9578.0,-9590.0,-9620.0,-5.697185786848207
TRANSLATOR_SPACE_GRAY,lattice_5,A,2.5,0.5,-1.0,-1,fixed,0.0,-10195.0,-8997.0,-5.674767879000415,-5.946860030071645,296,218,10260.0,9015.0,-9596.0,-10195.0,-5.946860030071645
TRANSLATOR_SPACE_GRAY,lattice_5,A,2.5,0.25,-1.0,-1,fixed,0.0,-10095.0,-9480.0,-5.679576017888172,-6.090867267738496,297,220,10160.0,9498.0,-9787.5,-10095.0,-6.090867267738496
TRANSLATOR_SPACE_GRAY,markov_20,A,2.0,0.0,-1.0,-1,fixed,0.0,-32108.0,-30805.0,-9.51893219512599,-10.622945727658163,1053,835,32113.0,30805.0,-31456.5,-32108.0,-10.622945727658163
TRANSLATOR_SPACE_GRAY,lattice_5,A,2.0,0.1,-1.0,-1,fixed,0.0,-31910.0,-31380.0,-10.262769110749657,-10.191917489395303,1008,854,31915.0,31380.0,-31645.0,-31910.0,-10.262769110749657
TRANSLATOR_SPACE_GRAY,lattice_5,A,2.0,0.0,-1.0,-1,fixed,0.0,-31683.0,-31625.0,-10.27546491712044,-10.091068376032124,1008,852,31688.0,31625.0,-31654.0,-31683.0,-10.27546491712044
TRANSLATOR_SPACE_GRAY,lattice_5,A,2.0,0.25,-1.0,-1,fixed,0.0,-32982.0,-30591.0,-10.506354208076157,-10.31372472404537,1014,854,32987.0,30591.0,-31786.5,-32982.0,-10.506354208076157
