product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
UV_VISOR_ORANGE,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-4446.0,-8872.0,-4.286810982082655,-5.304234485260099,83,129,4686.0,8872.0,-6659.0,-8872.0,-5.304234485260099
UV_VISOR_ORANGE,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-5046.0,-8912.0,-4.643172041151159,-5.325851226210899,83,129,5231.0,8912.0,-6979.0,-8912.0,-5.325851226210899
UV_VISOR_ORANGE,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-5246.0,-9202.0,-4.652053075150906,-5.382583758064133,83,129,5431.0,9202.0,-7224.0,-9202.0,-5.382583758064133
UV_VISOR_ORANGE,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5576.0,-8892.0,-4.6053468902244346,-5.657925743697924,83,129,5761.0,8892.0,-7234.0,-8892.0,-5.657925743697924
UV_VISOR_ORANGE,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-9335.0,-14895.0,-6.379226311578791,-7.281347189068581,203,235,9335.0,14895.0,-12115.0,-14895.0,-7.281347189068581
UV_VISOR_ORANGE,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-10085.0,-14875.0,-6.823607692167581,-7.343151203612568,203,235,10085.0,14875.0,-12480.0,-14875.0,-7.343151203612568
UV_VISOR_ORANGE,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-10805.0,-14765.0,-6.918423554450047,-7.3171909901996885,203,235,10805.0,14765.0,-12785.0,-14765.0,-7.3171909901996885
UV_VISOR_ORANGE,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-11247.0,-15275.0,-6.898203953162032,-7.526045604852575,202,235,11247.0,15275.0,-13261.0,-15275.0,-7.526045604852575
UV_VISOR_ORANGE,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-12893.0,-17361.0,-7.328751232002589,-7.563946291713407,256,266,12893.0,17361.0,-15127.0,-17361.0,-7.563946291713407
UV_VISOR_ORANGE,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-13593.0,-17501.0,-7.718851437947468,-7.605620933325132,256,266,13593.0,17501.0,-15547.0,-17501.0,-7.718851437947468
UV_VISOR_ORANGE,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-14503.0,-17441.0,-7.850795153961814,-7.587275690150832,256,266,14503.0,17441.0,-15972.0,-17441.0,-7.850795153961814
UV_VISOR_ORANGE,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-15175.0,-17785.0,-7.681383946665018,-7.903146775239014,255,265,15175.0,17785.0,-16480.0,-17785.0,-7.903146775239014
UV_VISOR_ORANGE,lattice_5,A,2.5,0.0,-1.0,-1,fixed,0.0,-20551.0,-22439.0,-9.926684104854807,-8.394821304662042,363,337,20551.0,22439.0,-21495.0,-22439.0,-9.926684104854807
UV_VISOR_ORANGE,lattice_5,A,2.5,0.1,-1.0,-1,fixed,0.0,-20981.0,-22979.0,-10.025157050227541,-8.737404899760666,365,339,20981.0,22979.0,-21980.0,-22979.0,-10.025157050227541
UV_VISOR_ORANGE,lattice_5,A,2.5,0.5,-1.0,-1,fixed,0.0,-22623.0,-21615.0,-10.589967758178114,-8.480408063315283,366,339,22623.0,21615.0,-22119.0,-22623.0,-10.589967758178114
UV_VISOR_ORANGE,lattice_5,A,2.5,0.25,-1.0,-1,fixed,0.0,-21791.0,-22813.0,-10.721702864384772,-8.747075142196397,367,338,21791.0,22813.0,-22302.0,-22813.0,-10.721702864384772
UV_VISOR_ORANGE,ar5_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-21715.0,-43876.0,-10.545835392970393,-12.315285610338345,388,618,21715.0,43876.0,-32795.5,-43876.0,-12.315285610338345
UV_VISOR_ORANGE,ar5_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-22555.0,-43803.0,-10.912975304307084,-12.212129245390745,388,616,22555.0,43803.0,-33179.0,-43803.0,-12.212129245390745
UV_VISOR_ORANGE,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-24061.0,-43060.0,-11.381247388274051,-12.862872303393766,388,616,24061.0,43060.0,-33560.5,-43060.0,-12.862872303393766
UV_VISOR_ORANGE,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-23471.0,-43790.0,-11.603974664371433,-12.204546830063993,388,616,23471.0,43790.0,-33630.5,-43790.0,-12.204546830063993
