product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
UV_VISOR_YELLOW,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-10925.0,-7404.0,-5.984776337896806,-4.839064220648536,146,109,10935.0,7404.0,-9164.5,-10925.0,-5.984776337896806
UV_VISOR_YELLOW,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-11085.0,-7664.0,-6.208169100727148,-5.007680882284076,146,109,11085.0,7664.0,-9374.5,-11085.0,-6.208169100727148
UV_VISOR_YELLOW,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-11085.0,-7684.0,-6.01385165386947,-5.075986619840951,146,109,11085.0,7684.0,-9384.5,-11085.0,-6.01385165386947
UV_VISOR_YELLOW,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-11155.0,-8448.0,-6.1081573821033,-5.278480593602803,146,110,11155.0,8448.0,-9801.5,-11155.0,-6.1081573821033
UV_VISOR_YELLOW,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-24699.0,-12600.0,-10.981135658329347,-6.004326009903826,350,167,24699.0,12600.0,-18649.5,-24699.0,-10.981135658329347
UV_VISOR_YELLOW,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-25019.0,-12426.0,-10.295719063586994,-5.942667102335116,346,168,25019.0,12426.0,-18722.5,-25019.0,-10.295719063586994
UV_VISOR_YELLOW,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-25269.0,-12226.0,-9.44888078132343,-5.787621304354884,346,168,25279.0,12226.0,-18747.5,-25269.0,-9.44888078132343
UV_VISOR_YELLOW,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-25797.0,-12020.0,-11.244347929581364,-6.0713064101186704,351,167,25797.0,12020.0,-18908.5,-25797.0,-11.244347929581364
UV_VISOR_YELLOW,lattice_2,A,2.5,0.25,-1.0,-1,fixed,0.0,-26733.0,-13456.0,-11.28901490640966,-6.385207818079905,387,184,26733.0,13456.0,-20094.5,-26733.0,-11.28901490640966
UV_VISOR_YELLOW,lattice_2,A,2.5,0.1,-1.0,-1,fixed,0.0,-26853.0,-14026.0,-10.903865293062859,-6.368588554994362,385,184,26853.0,14026.0,-20439.5,-26853.0,-10.903865293062859
UV_VISOR_YELLOW,lattice_2,A,2.5,0.0,-1.0,-1,fixed,0.0,-27263.0,-13646.0,-10.12971214626041,-6.2464653620206345,383,184,27273.0,13646.0,-20454.5,-27263.0,-10.12971214626041
UV_VISOR_YELLOW,lattice_2,A,2.5,0.5,-1.0,-1,fixed,0.0,-27731.0,-13430.0,-11.364577470476489,-6.498276631313464,388,183,27731.0,13430.0,-20580.5,-27731.0,-11.364577470476489
UV_VISOR_YELLOW,kalman_mle,A,2.5,0.1,-1.0,-1,fixed,0.0,-27283.0,-14046.0,-11.07684393829436,-6.3550312241502365,395,186,27283.0,14046.0,-20664.5,-27283.0,-11.07684393829436
UV_VISOR_YELLOW,kalman_mle,A,2.5,0.25,-1.0,-1,fixed,0.0,-27053.0,-14490.0,-11.428470195794569,-6.402751121531968,397,185,27053.0,14490.0,-20771.5,-27053.0,-11.428470195794569
UV_VISOR_YELLOW,kalman_mle,A,2.5,0.0,-1.0,-1,fixed,0.0,-27453.0,-14306.0,-9.603940256547181,-6.1661497637715,393,186,27463.0,14306.0,-20879.5,-27453.0,-9.603940256547181
UV_VISOR_YELLOW,kalman_mle,A,2.5,0.5,-1.0,-1,fixed,0.0,-28551.0,-13830.0,-11.532463194731667,-6.460702067869409,400,185,28551.0,13830.0,-21190.5,-28551.0,-11.532463194731667
UV_VISOR_YELLOW,ar2_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-36784.0,-32191.0,-11.912487739934795,-8.881150996859112,552,441,36794.0,32346.0,-34487.5,-36784.0,-11.912487739934795
UV_VISOR_YELLOW,ar2_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-37036.0,-32431.0,-12.725639333531737,-9.051679005287674,553,441,37036.0,32586.0,-34733.5,-37036.0,-12.725639333531737
UV_VISOR_YELLOW,ar2_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-37546.0,-32801.0,-13.64881550861311,-9.011342067402094,559,443,37546.0,32956.0,-35173.5,-37546.0,-13.64881550861311
UV_VISOR_YELLOW,ar2_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-39174.0,-32575.0,-14.208692065176274,-9.623703266086721,564,448,39174.0,32730.0,-35874.5,-39174.0,-14.208692065176274
