product,mode,fv_family,fv_params,z_in,z_out,sizing,alpha_skew,beta_inv
GALAXY_SOUNDS_BLACK_HOLES,MM,,,,,,0.0,0.2
GALAXY_SOUNDS_DARK_MATTER,MM,,,,,,0.0,0.2
GALAXY_SOUNDS_PLANETARY_RINGS,IDLE,,,,,,,
GALAXY_SOUNDS_SOLAR_FLAMES,IDLE,,,,,,,
GALAXY_SOUNDS_SOLAR_WINDS,MM,,,,,,0.0,0.2
MICROCHIP_CIRCLE,MM,,,,,,0.0,0.2
MICROCHIP_OVAL,MM,,,,,,0.0,0.2
MICROCHIP_RECTANGLE,IDLE,,,,,,,
MICROCHIP_SQUARE,MM,,,,,,0.0,0.2
MICROCHIP_TRIANGLE,MM,,,,,,0.0,0.2
OXYGEN_SHAKE_CHOCOLATE,TAKER,rolling_linreg,{'w': 500},1.0,0.0,fixed,,
OXYGEN_SHAKE_EVENING_BREATH,MM,ar_diff,{'p': 1},,,,1.5,0.5
OXYGEN_SHAKE_GARLIC,MM,,,,,,0.0,0.2
OXYGEN_SHAKE_MINT,MM,,,,,,0.0,0.2
OXYGEN_SHAKE_MORNING_BREATH,MM,,,,,,0.0,0.2
PANEL_1X2,MM,,,,,,0.0,0.2
PANEL_1X4,MM,,,,,,0.0,0.2
PANEL_2X2,MM,,,,,,0.0,0.2
PANEL_2X4,MM,,,,,,0.0,0.2
PANEL_4X4,MM,,,,,,0.0,0.2
PEBBLES_L,TAKER,rolling_median,{'w': 100},1.5,0.1,fixed,,
PEBBLES_M,TAKER,rolling_quadratic,{'w': 2000},1.0,0.1,fixed,,
PEBBLES_S,MM,,,,,,0.0,0.2
PEBBLES_XL,MM,,,,,,0.0,0.2
PEBBLES_XS,TAKER,rolling_quadratic,{'w': 500},1.25,0.1,fixed,,
ROBOT_DISHES,TAKER,rolling_mean,{'w': 50},2.5,0.5,fixed,,
ROBOT_IRONING,IDLE,,,,,,,
ROBOT_LAUNDRY,MM,,,,,,0.0,0.2
ROBOT_MOPPING,TAKER,rolling_quadratic,{'w': 500},1.25,0.0,fixed,,
ROBOT_VACUUMING,MM,,,,,,0.0,0.2
SLEEP_POD_COTTON,MM,,,,,,0.0,0.2
SLEEP_POD_LAMB_WOOL,IDLE,,,,,,,
SLEEP_POD_NYLON,MM,,,,,,0.0,0.2
SLEEP_POD_POLYESTER,TAKER,range_mid,{'w': 500},1.75,0.1,fixed,,
SLEEP_POD_SUEDE,IDLE,,,,,,,
SNACKPACK_CHOCOLATE,MM,ar_diff,{'p': 1},,,,1.0,0.3
SNACKPACK_PISTACHIO,MM,,,,,,0.0,0.2
SNACKPACK_RASPBERRY,MM,,,,,,0.0,0.2
SNACKPACK_STRAWBERRY,MM,,,,,,0.0,0.2
SNACKPACK_VANILLA,MM,,,,,,0.0,0.2
TRANSLATOR_ASTRO_BLACK,MM,,,,,,0.0,0.2
TRANSLATOR_ECLIPSE_CHARCOAL,MM,,,,,,0.0,0.2
TRANSLATOR_GRAPHITE_MIST,MM,,,,,,0.0,0.2
TRANSLATOR_SPACE_GRAY,IDLE,,,,,,,
TRANSLATOR_VOID_BLUE,MM,,,,,,0.0,0.2
UV_VISOR_AMBER,MM,,,,,,0.0,0.2
UV_VISOR_MAGENTA,IDLE,,,,,,,
UV_VISOR_ORANGE,MM,,,,,,0.0,0.2
UV_VISOR_RED,MM,,,,,,0.0,0.2
UV_VISOR_YELLOW,MM,,,,,,0.0,0.2
