i,j,group_i,group_j,peak_lag_returns,peak_rho_returns,peak_lag_prices,peak_rho_prices,peak_lag_ofi,peak_rho_ofi
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,galaxy_sounds,galaxy_sounds,125,-0.012437265681509926,0,0.22504343597603618,105,-0.01301937701339273
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,galaxy_sounds,galaxy_sounds,70,0.012308109401870222,0,-0.06861016993830026,50,-0.012036184326175514
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,galaxy_sounds,galaxy_sounds,45,0.014523463828025052,7,0.11057670297240337,38,-0.01488292032497035
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,galaxy_sounds,36,0.020937924146423207,0,-0.3230605702539162,50,-0.013994825668585629
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_CIRCLE,galaxy_sounds,microchip,28,-0.01569736036939721,200,0.10140285523073696,4,-0.015106654412091275
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_OVAL,galaxy_sounds,microchip,42,0.01490032800035892,0,-0.2568398450089639,17,-0.020627015032651203
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_RECTANGLE,galaxy_sounds,microchip,8,0.012225770010549536,0,0.03399227528127554,50,0.015664059696118778
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_SQUARE,galaxy_sounds,microchip,23,-0.016424538966087286,200,0.06316858425645355,18,-0.012956806823790898
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,galaxy_sounds,microchip,17,0.017173412325470247,0,-0.31246975351435125,5,0.013703535962896515
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_CHOCOLATE,galaxy_sounds,oxygen_shake,49,0.025001884708303338,200,0.23711021916916938,140,-0.01894629321242876
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_EVENING_BREATH,galaxy_sounds,oxygen_shake,0,0.022215418269675654,0,-0.3013161169075848,0,0.023375917128340817
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,galaxy_sounds,oxygen_shake,0,0.01613428155213625,0,0.6436612838000222,15,-0.0160941369037259
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_MINT,galaxy_sounds,oxygen_shake,11,0.0132408710947224,200,-0.07570479030397907,37,0.012960243764213794
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_MORNING_BREATH,galaxy_sounds,oxygen_shake,30,0.012897504593151227,20,0.2085361432633804,90,0.017429835962345517
GALAXY_SOUNDS_BLACK_HOLES,PANEL_1X2,galaxy_sounds,panel,38,-0.014168866882047194,200,0.050512893463170394,70,-0.013752518965871678
GALAXY_SOUNDS_BLACK_HOLES,PANEL_1X4,galaxy_sounds,panel,9,0.01634534443378227,0,0.32213649817620393,47,-0.01766262747617622
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X2,galaxy_sounds,panel,75,0.012904265555190086,200,-0.05804867671796404,75,0.02064023431154373
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,galaxy_sounds,panel,25,-0.01763813594566457,200,0.42844005578393646,145,-0.018278564122924168
GALAXY_SOUNDS_BLACK_HOLES,PANEL_4X4,galaxy_sounds,panel,11,0.011625512269536273,0,-0.06769840969089351,200,-0.012764491236705894
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_L,galaxy_sounds,pebbles,95,-0.01384275138640898,200,-0.20392802172147964,115,-0.014188557854338776
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_M,galaxy_sounds,pebbles,175,0.014695320455330877,0,-0.23773867702420806,10,-0.015997016320936978
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,galaxy_sounds,pebbles,30,-0.012659573254252966,200,-0.5586631748163439,48,0.011963902710263125
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_XL,galaxy_sounds,pebbles,5,-0.012794288050970068,200,0.4162025387233255,50,0.011961622272218767
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_XS,galaxy_sounds,pebbles,50,-0.016705852185541836,200,-0.3157864476668919,50,-0.014282786280783158
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,galaxy_sounds,robot,165,-0.015457507532623998,0,0.2714295436164449,5,-0.01715894068760142
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_IRONING,galaxy_sounds,robot,45,0.013508642783124402,0,-0.2805379916703495,41,-0.011871044246658158
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_LAUNDRY,galaxy_sounds,robot,11,-0.015391008945706566,0,0.08589853877579141,36,0.01472492068570884
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_MOPPING,galaxy_sounds,robot,4,-0.013411048808849404,0,-0.0674727449550826,38,-0.0157736214465529
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_VACUUMING,galaxy_sounds,robot,170,-0.02261804329871171,0,-0.093102387652377,170,-0.017306206957405274
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_COTTON,galaxy_sounds,sleep_pod,60,-0.013889506651503134,200,0.09704099133984005,60,-0.022277719771603272
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_LAMB_WOOL,galaxy_sounds,sleep_pod,47,0.01181532762129852,200,0.13179937293088215,120,0.015579253314177553
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_NYLON,galaxy_sounds,sleep_pod,30,-0.014327547861276843,0,-0.14322273440109787,185,-0.014522948401604915
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_POLYESTER,galaxy_sounds,sleep_pod,170,-0.013391548999283201,65,0.21016196495329434,24,0.013094360048198953
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_SUEDE,galaxy_sounds,sleep_pod,42,-0.015836705527690374,200,0.06347901385790637,60,0.016650293487598337
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_CHOCOLATE,galaxy_sounds,snackpack,0,0.018805325967203877,200,-0.3151754291977405,20,-0.011975673310363649
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_PISTACHIO,galaxy_sounds,snackpack,0,0.01659789572030473,60,-0.309049086844216,15,-0.014431850557972867
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_RASPBERRY,galaxy_sounds,snackpack,32,-0.012179581078798027,200,0.014664045039142573,110,0.01367605630114705
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_STRAWBERRY,galaxy_sounds,snackpack,30,0.012464081532955515,0,0.2942435970352015,30,0.014288321499165889
GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_VANILLA,galaxy_sounds,snackpack,26,0.015064591035817908,200,0.3258615200673715,150,0.014412025913724272
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_ASTRO_BLACK,galaxy_sounds,translator,1,-0.015046935287409217,200,-0.20410388048950678,150,0.01562822155357502
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_ECLIPSE_CHARCOAL,galaxy_sounds,translator,26,0.017103913671193363,0,0.03935649927737175,47,-0.014141911225537505
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_GRAPHITE_MIST,galaxy_sounds,translator,1,-0.019016175286888138,0,-0.34377240386514046,17,0.011087140657801446
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_SPACE_GRAY,galaxy_sounds,translator,10,0.011818498703000136,0,-0.4097309249315644,80,-0.01487640733643431
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_VOID_BLUE,galaxy_sounds,translator,65,-0.01675270323671493,0,0.39964105807773925,30,-0.01001203764344757
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_AMBER,galaxy_sounds,uv_visor,70,-0.013200505744098465,200,-0.24230069955985578,22,-0.01300368316522916
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_MAGENTA,galaxy_sounds,uv_visor,6,-0.01775824130109636,200,0.3330007909390187,23,-0.01538067095680172
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_ORANGE,galaxy_sounds,uv_visor,115,0.014796069490452415,0,-0.39531857463774095,4,0.017926002016671327
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_RED,galaxy_sounds,uv_visor,38,0.016293561468502686,95,0.1397921423848262,26,0.013900683286331787
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_YELLOW,galaxy_sounds,uv_visor,25,-0.016449557653135143,0,0.3199013054272022,140,0.015560563670941356
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,galaxy_sounds,galaxy_sounds,37,0.015440846536742103,0,0.22504343597603618,37,0.017083767037904513
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,galaxy_sounds,galaxy_sounds,33,-0.01585135125427399,0,0.23638625614599426,140,-0.01355218108031283
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,galaxy_sounds,galaxy_sounds,6,-0.01512656542619621,0,-0.1552395937419564,45,-0.017835653306848828
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,galaxy_sounds,1,-0.01654830704669818,0,-0.08183208501956986,26,0.014393082296402009
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,galaxy_sounds,microchip,185,-0.014674385898137092,0,-0.5309832180775166,200,-0.01779402128003711
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_OVAL,galaxy_sounds,microchip,70,-0.016794024581655773,0,0.07584765315255138,100,-0.015463941772403858
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_RECTANGLE,galaxy_sounds,microchip,175,0.013395120207555991,105,-0.49685660041208135,180,0.015085026028221852
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_SQUARE,galaxy_sounds,microchip,85,0.017757571833985283,0,0.523275722299623,135,0.014622030494039753
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_TRIANGLE,galaxy_sounds,microchip,5,0.014319303307606857,165,0.19735106643776631,170,-0.01983460313845441
GALAXY_SOUNDS_DARK_MATTER,OXYGEN_SHAKE_CHOCOLATE,galaxy_sounds,oxygen_shake,105,-0.016356696757547796,2,-0.1641823079499949,70,0.011700792637710023
GALAXY_SOUNDS_DARK_MATTER,OXYGEN_SHAKE_EVENING_BREATH,galaxy_sounds,oxygen_shake,50,-0.012997166155789925,11,-0.10297007159210535,21,-0.012751558304925116
GALAXY_SOUNDS_DARK_MATTER,OXYGEN_SHAKE_GARLIC,galaxy_sounds,oxygen_shake,0,0.013945707193217508,200,0.17344526105136635,135,-0.018777439541096442
