i,j,group_i,group_j,peak_lag_returns,peak_rho_returns,peak_lag_prices,peak_rho_prices,peak_lag_ofi,peak_rho_ofi,abs_rho_returns
MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,microchip,microchip,150,0.06057980576636618,0,0.45644633716339805,150,0.036249429593057145,0.06057980576636618
MICROCHIP_SQUARE,MICROCHIP_CIRCLE,microchip,microchip,100,0.06024442534234739,0,-0.5224910450550123,100,0.04345498552148817,0.06024442534234739
MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,microchip,microchip,200,0.05246648333746586,0,-0.28696643601115707,200,0.03482756874440029,0.05246648333746586
MICROCHIP_OVAL,MICROCHIP_CIRCLE,microchip,microchip,50,0.050535055051800865,0,0.09836553727630777,50,0.03098193855498006,0.050535055051800865
GALAXY_SOUNDS_SOLAR_FLAMES,UV_VISOR_MAGENTA,galaxy_sounds,uv_visor,2,0.02644360649287446,200,-0.2908941701344015,2,0.014774053882428013,0.02644360649287446
MICROCHIP_RECTANGLE,PANEL_1X2,microchip,panel,47,0.02596708859790765,0,0.10202373155560206,7,0.015139796981877502,0.02596708859790765
PANEL_1X2,GALAXY_SOUNDS_BLACK_HOLES,panel,galaxy_sounds,90,0.02525109507532551,0,0.03547372137141521,90,0.01838813789012467,0.02525109507532551
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_CHOCOLATE,galaxy_sounds,oxygen_shake,49,0.025001884708303338,200,0.23711021916916938,140,-0.01894629321242876,0.025001884708303338
SLEEP_POD_NYLON,OXYGEN_SHAKE_MORNING_BREATH,sleep_pod,oxygen_shake,26,-0.024886889219073328,19,-0.5023404166909976,18,0.014853082781817253,0.024886889219073328
ROBOT_LAUNDRY,SNACKPACK_RASPBERRY,robot,snackpack,95,0.02468979639764743,4,0.022413588949954228,8,0.012816080097553695,0.02468979639764743
SLEEP_POD_COTTON,OXYGEN_SHAKE_CHOCOLATE,sleep_pod,oxygen_shake,26,0.024483182969220224,200,-0.2558073399509308,26,0.017185071677831704,0.024483182969220224
MICROCHIP_RECTANGLE,PANEL_1X4,microchip,panel,60,-0.024331867427794168,0,0.1165435812134809,42,0.0146623424650773,0.024331867427794168
UV_VISOR_RED,OXYGEN_SHAKE_GARLIC,uv_visor,oxygen_shake,130,-0.0238674942548404,0,0.25583204638614215,125,0.015406174399250813,0.0238674942548404
TRANSLATOR_ASTRO_BLACK,UV_VISOR_MAGENTA,translator,uv_visor,17,-0.02381536694364969,38,-0.2646813760827991,26,-0.013664889563839716,0.02381536694364969
ROBOT_DISHES,PANEL_2X4,robot,panel,21,0.023703557527180442,0,0.32402046281829305,190,-0.016843938751158104,0.023703557527180442
PANEL_1X2,PANEL_2X4,panel,panel,10,0.0234737810159243,10,0.24127408985891288,10,0.02129228529938373,0.0234737810159243
MICROCHIP_SQUARE,UV_VISOR_RED,microchip,uv_visor,42,-0.02332525581110219,200,-0.13932878297962834,31,0.018561989799315975,0.02332525581110219
SLEEP_POD_NYLON,PANEL_4X4,sleep_pod,panel,1,-0.023260229225873928,200,-0.17013579914217228,28,-0.01979618858002038,0.023260229225873928
MICROCHIP_RECTANGLE,PEBBLES_M,microchip,pebbles,55,0.02311650539097727,200,-0.39268463328740255,38,-0.01611873561152488,0.02311650539097727
PEBBLES_M,SNACKPACK_PISTACHIO,pebbles,snackpack,13,-0.023043395409444774,0,-0.4077637265966179,14,0.012177723495733588,0.023043395409444774
PANEL_2X4,ROBOT_MOPPING,panel,robot,6,0.02289025174632259,200,0.31822144958838683,0,0.017388080505557724,0.02289025174632259
MICROCHIP_SQUARE,UV_VISOR_ORANGE,microchip,uv_visor,1,-0.02272337699161417,160,0.06772497226810913,29,0.014721581109277196,0.02272337699161417
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_VACUUMING,galaxy_sounds,robot,170,-0.02261804329871171,0,-0.093102387652377,170,-0.017306206957405274,0.02261804329871171
PANEL_4X4,UV_VISOR_AMBER,panel,uv_visor,38,0.022596340778556833,200,0.014932467906506597,38,0.022381908086081842,0.022596340778556833
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,oxygen_shake,oxygen_shake,18,0.022564141949095885,0,-0.19679797291244602,18,0.01840396348505276,0.022564141949095885
UV_VISOR_ORANGE,SLEEP_POD_LAMB_WOOL,uv_visor,sleep_pod,10,0.022561805703085015,0,0.11433819655277794,55,-0.016505062695249057,0.022561805703085015
SLEEP_POD_SUEDE,MICROCHIP_RECTANGLE,sleep_pod,microchip,1,0.02255534705474924,0,-0.2343026352842099,130,0.015603644829682501,0.02255534705474924
MICROCHIP_SQUARE,PANEL_1X4,microchip,panel,36,-0.022474997272951866,0,-0.34737593824946517,135,0.01595364248807699,0.022474997272951866
PANEL_1X2,MICROCHIP_TRIANGLE,panel,microchip,17,-0.022348197113028698,0,-0.38396618137999955,17,-0.015045510039409744,0.022348197113028698
MICROCHIP_TRIANGLE,TRANSLATOR_SPACE_GRAY,microchip,translator,55,-0.02225809577947376,200,0.2025458432502719,55,-0.01688384785404552,0.02225809577947376
SNACKPACK_PISTACHIO,GALAXY_SOUNDS_DARK_MATTER,snackpack,galaxy_sounds,1,-0.02225344654115619,0,-0.1776731081232434,42,0.015411761600783726,0.02225344654115619
GALAXY_SOUNDS_SOLAR_WINDS,TRANSLATOR_ASTRO_BLACK,galaxy_sounds,translator,30,-0.022246609795657412,0,-0.13172177674665067,30,-0.012708734415767692,0.022246609795657412
UV_VISOR_RED,GALAXY_SOUNDS_DARK_MATTER,uv_visor,galaxy_sounds,180,-0.02213051316665644,0,-0.23540881289585222,35,-0.017962039146766442,0.02213051316665644
PEBBLES_XL,MICROCHIP_CIRCLE,pebbles,microchip,120,0.022082848219163047,0,0.4845272884729055,28,0.016988065960332744,0.022082848219163047
TRANSLATOR_SPACE_GRAY,TRANSLATOR_ECLIPSE_CHARCOAL,translator,translator,1,-0.021902769329067054,0,-0.2043688068762315,1,-0.017112182501776877,0.021902769329067054
OXYGEN_SHAKE_CHOCOLATE,PEBBLES_XS,oxygen_shake,pebbles,39,0.021883381744996506,200,-0.14793909848488696,29,0.01243726706352169,0.021883381744996506
MICROCHIP_SQUARE,GALAXY_SOUNDS_SOLAR_WINDS,microchip,galaxy_sounds,30,-0.02180164860793296,200,0.05816221186827336,30,-0.016641690019702185,0.02180164860793296
ROBOT_DISHES,SNACKPACK_CHOCOLATE,robot,snackpack,40,-0.021750541811236517,140,0.09350532271642299,40,-0.016431300880719674,0.021750541811236517
UV_VISOR_RED,TRANSLATOR_VOID_BLUE,uv_visor,translator,26,0.02173165588066181,200,-0.19553490521737613,185,0.013797692749542928,0.02173165588066181
UV_VISOR_MAGENTA,SNACKPACK_VANILLA,uv_visor,snackpack,24,0.021714479071708245,0,0.2780297555437175,24,0.018190676080613574,0.021714479071708245
ROBOT_IRONING,PANEL_2X4,robot,panel,11,0.021654515051319958,200,-0.44321234706979734,11,0.017090151123021834,0.021654515051319958
PANEL_2X2,PANEL_4X4,panel,panel,85,0.021612194959900115,0,-0.47827318024753634,85,0.018211877227714793,0.021612194959900115
SLEEP_POD_NYLON,ROBOT_MOPPING,sleep_pod,robot,33,-0.021607356299114103,200,-0.09393498747855138,33,-0.024754713645176313,0.021607356299114103
UV_VISOR_AMBER,TRANSLATOR_ASTRO_BLACK,uv_visor,translator,11,0.02144839299232214,0,0.2245825812920068,11,0.016981766379088433,0.02144839299232214
OXYGEN_SHAKE_EVENING_BREATH,UV_VISOR_ORANGE,oxygen_shake,uv_visor,1,-0.021373273895013353,0,0.3534988342710992,70,-0.019046156396435008,0.021373273895013353
PANEL_2X2,PANEL_1X2,panel,panel,39,0.021341897448210547,0,-0.15872119686472297,39,0.0158395211688742,0.021341897448210547
PANEL_1X4,PANEL_1X2,panel,panel,33,0.021286587730623214,0,-0.25235202997929984,25,0.014247785874087517,0.021286587730623214
UV_VISOR_MAGENTA,ROBOT_IRONING,uv_visor,robot,9,0.021276216366243484,180,0.03919472958560988,9,0.018516491649902243,0.021276216366243484
UV_VISOR_RED,PANEL_2X4,uv_visor,panel,31,0.021262542483809183,0,0.07711688241387309,7,0.016142152436326374,0.021262542483809183
ROBOT_IRONING,TRANSLATOR_SPACE_GRAY,robot,translator,175,0.021194147447033778,200,0.09076322492520579,5,0.013885701156465346,0.021194147447033778
OXYGEN_SHAKE_MORNING_BREATH,SNACKPACK_STRAWBERRY,oxygen_shake,snackpack,19,-0.02117499777217778,110,0.026765242793870794,19,-0.024104558297870917,0.02117499777217778
MICROCHIP_RECTANGLE,SLEEP_POD_NYLON,microchip,sleep_pod,25,0.021126907009582075,200,-0.043080120712643694,22,0.014912331838233121,0.021126907009582075
PANEL_2X2,TRANSLATOR_ASTRO_BLACK,panel,translator,195,0.02111187668366515,35,-0.4035668329773488,7,0.014467292594480161,0.02111187668366515
ROBOT_DISHES,PANEL_1X4,robot,panel,100,0.02110757590679127,0,0.5787167581835978,16,-0.016924921170516458,0.02110757590679127
MICROCHIP_TRIANGLE,PEBBLES_L,microchip,pebbles,70,-0.02110303965857308,0,0.2973141309467892,70,-0.01629507278380724,0.02110303965857308
PEBBLES_S,SNACKPACK_STRAWBERRY,pebbles,snackpack,5,0.021102622019006784,105,-0.1496989982120749,14,-0.020881214483306737,0.021102622019006784
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,sleep_pod,sleep_pod,24,-0.02109644037803675,0,0.7403788394461154,120,0.013172051239319775,0.02109644037803675
SLEEP_POD_COTTON,GALAXY_SOUNDS_DARK_MATTER,sleep_pod,galaxy_sounds,90,-0.02109537566285989,200,0.5279954251873508,41,0.01623791619441478,0.02109537566285989
PANEL_4X4,SNACKPACK_RASPBERRY,panel,snackpack,1,-0.021075588852847438,0,-0.03176499403838121,1,-0.019936911011433484,0.021075588852847438
TRANSLATOR_ASTRO_BLACK,SNACKPACK_CHOCOLATE,translator,snackpack,65,-0.021030483160736232,200,0.0321079130160364,1,-0.015186992156907738,0.021030483160736232
OXYGEN_SHAKE_GARLIC,PANEL_1X2,oxygen_shake,panel,30,0.021004808546959384,55,0.10148935282239258,165,-0.013221089627667272,0.021004808546959384
OXYGEN_SHAKE_MORNING_BREATH,SNACKPACK_RASPBERRY,oxygen_shake,snackpack,19,0.02099343972417675,200,-0.05566592582671782,19,0.02210648196432147,0.02099343972417675
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,galaxy_sounds,galaxy_sounds,36,0.020937924146423207,0,-0.3230605702539162,50,-0.013994825668585629,0.020937924146423207
TRANSLATOR_SPACE_GRAY,OXYGEN_SHAKE_MORNING_BREATH,translator,oxygen_shake,155,0.020929716278673103,65,-0.2257024221414401,155,0.019578459684998578,0.020929716278673103
PEBBLES_M,UV_VISOR_AMBER,pebbles,uv_visor,125,-0.02089767850346046,200,-0.11448629497730152,24,-0.01931076414252083,0.02089767850346046
PEBBLES_M,GALAXY_SOUNDS_BLACK_HOLES,pebbles,galaxy_sounds,185,-0.020892178877528974,200,-0.25769698601565144,90,-0.012505058582593084,0.020892178877528974
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_RECTANGLE,galaxy_sounds,microchip,18,0.020855951926039323,0,-0.0656812908281061,175,-0.01760843409067969,0.020855951926039323
SNACKPACK_CHOCOLATE,TRANSLATOR_SPACE_GRAY,snackpack,translator,2,-0.020854126366582165,160,-0.016220901553857914,37,-0.012834778599153563,0.020854126366582165
OXYGEN_SHAKE_GARLIC,PEBBLES_XS,oxygen_shake,pebbles,46,-0.02083577553251695,75,-0.5511147437041296,50,-0.014445172039950117,0.02083577553251695
PEBBLES_L,MICROCHIP_OVAL,pebbles,microchip,26,-0.02076422172213199,0,-0.06740412195495438,26,-0.011465429098385377,0.02076422172213199
PEBBLES_XS,GALAXY_SOUNDS_DARK_MATTER,pebbles,galaxy_sounds,42,0.02076401770667728,0,-0.17579894051245404,145,-0.018611133443100458,0.02076401770667728
SNACKPACK_RASPBERRY,MICROCHIP_SQUARE,snackpack,microchip,26,-0.02075126243471241,38,-0.04911326255308224,1,0.016782236778319973,0.02075126243471241
OXYGEN_SHAKE_MORNING_BREATH,ROBOT_LAUNDRY,oxygen_shake,robot,145,-0.0207150339544365,180,0.20493309596168285,145,-0.020722793166953395,0.0207150339544365
