cfg_id,label,PAIR_TILT_DIVISOR,PAIR_TILT_CLIP,INV_SKEW_BETA,QUOTE_BASE_SIZE_CAP,fair_quote_gate,fold_mean,fold_median,fold_min,fold_max,fold_pos,total_3day,sharpe,max_dd,cache_key,error
0,baseline,3.0,7.0,0.2,8,0.25,362034.4,363578.0,354448,364990,5,1083016,63.081,24692,3fc46508846a6766,
17,lhs_017,2.75,9.59,0.212,6,0.76,368510.6,362930.0,362930,377683,5,1116694,45.9856,30445,4793b028fd723a5c,
11,lhs_011,1.81,10.56,0.135,6,0.126,370642.0,362839.0,362839,386798,5,1127532,31.0341,29853,ec724ed888babcee,
50,lhs_050,2.54,8.83,0.068,10,0.091,368514.2,360786.0,360786,382685,5,1121000,32.6387,30896,3c0f2b934d44c29b,
34,lhs_034,1.95,8.97,0.058,6,0.321,368068.4,359571.0,359571,382444,5,1121200,30.2067,30073,0cdc8c30abc4a069,
29,lhs_029,3.46,9.21,0.302,4,0.171,364752.6,359469.0,359469,375014,5,1104824,46.1734,28572,ed89e0338fb071af,
9,lhs_009,3.64,8.07,0.129,8,0.223,367163.2,359065.0,359065,383545,5,1117686,29.9676,30026,417d7174a6112aae,
23,lhs_023,6.01,8.54,0.335,4,0.496,361503.6,358212.0,358212,367778,5,1091094,73.6832,24825,bb8fb01dd20f4ee1,
30,lhs_030,3.15,9.96,0.375,6,0.2,365156.8,358132.0,358132,382687,5,1109520,30.0266,28856,b3f0c41baa1ec9c4,
10,lhs_010,4.76,8.33,0.279,10,0.857,359296.6,357725.0,357436,365872,5,1081033,75.2467,24587,d08c4e38771f767b,
3,lhs_003,4.16,10.75,0.101,4,0.051,366386.2,357618.0,357618,381728,5,1116694,28.9808,30640,77d529d4dc38a23e,
4,lhs_004,2.31,7.4,0.393,4,0.767,347721.4,356352.0,331039,356352,5,1025902,26.2946,20040,8683024180cc82f3,
46,lhs_046,2.87,10.38,0.396,10,0.218,363196.0,356336.0,356336,380566,5,1103309,30.2133,28958,ca966d25e50cce2c,
43,lhs_043,5.12,9.38,0.245,4,0.426,362987.6,355690.0,355690,375011,5,1103558,34.7431,29153,7fd9d187f86afd28,
25,lhs_025,4.63,7.02,0.175,6,0.319,357781.6,355634.0,355634,362542,5,1077640,103.8016,23896,18837fb281fdfc55,
31,lhs_031,6.63,10.58,0.238,8,0.918,361466.4,353746.0,353746,373118,5,1099840,32.8997,29051,7de2945e6b839d95,
16,lhs_016,6.38,11.23,0.157,10,0.604,363339.6,353184.0,353184,383334,5,1110330,24.0145,31138,42bab3cd29df18a8,
28,lhs_028,2.18,6.25,0.292,10,0.718,339323.2,353010.0,311837,353010,5,990596,15.7657,17980,c2759d676738cdd3,
44,lhs_044,7.15,10.18,0.182,6,0.072,361863.8,352630.0,352630,379604,5,1104058,26.5075,30446,c201c8d83914c207,
32,lhs_032,3.77,5.65,0.199,8,0.025,342113.2,352572.0,312972,352572,5,1005422,16.5747,18142,2e424210bf6e09f3,
47,lhs_047,6.24,7.78,0.246,6,0.001,361371.0,352554.0,352554,375211,5,1101747,28.825,27352,4e8bc94548df6c2c,
42,lhs_042,2.48,6.04,0.087,6,0.47,342817.6,351050.0,307598,353340,5,1011989,13.0881,19428,07994177e9a99a1c,
5,lhs_005,8.85,8.7,0.141,8,0.864,358482.8,350860.0,350860,370958,5,1090694,32.8974,27266,9782349cba215ca1,
45,lhs_045,4.0,7.59,0.269,8,0.814,349672.0,349987.0,346717,351682,5,1048386,138.455,23566,d48c28fced04ecf8,
27,lhs_027,7.59,7.15,0.207,4,0.248,352379.8,349902.0,349902,356687,5,1062096,97.6739,23576,fd719db8d5b339ff,
39,lhs_039,4.4,6.2,0.224,4,0.357,340661.6,349660.0,317552,349660,5,1003988,20.7115,19671,a164aaf709fafaf8,
24,lhs_024,6.79,10.96,0.185,10,0.367,360053.2,349436.0,349436,380024,5,1101394,23.1634,31464,6de9d9335fb035ec,
6,lhs_006,9.8,9.76,0.351,6,0.286,358808.2,348556.0,348556,376435,5,1096928,24.4291,25068,95fa356a8082e493,
18,lhs_018,9.98,11.69,0.264,6,0.97,358865.6,347954.0,347954,376552,5,1098420,23.1666,29335,e513888cf4a51fde,
19,lhs_019,7.93,11.33,0.327,8,0.554,357886.0,347716.0,347716,373529,5,1093998,24.8343,29630,45ea647b8942c64e,
12,lhs_012,6.47,7.96,0.151,10,0.598,356275.0,346377.0,346377,375030,5,1088621,24.4998,28362,b3df4b1fc42755ff,
26,lhs_026,8.39,11.94,0.231,4,0.828,355763.2,345304.0,345304,376552,5,1088208,22.7639,28746,c790e149c3308283,
