trial,PAIR_TILT_DIVISOR,PAIR_TILT_CLIP,INV_SKEW_BETA,QUOTE_BASE_SIZE_CAP,fair_quote_gate,fold_median,fold_mean,fold_min,fold_max,fold_pos,total_3day,sharpe,max_dd
39,1.6954539758647382,11.580589313026014,0.11941156188118197,6,0.5917180894406724,363619.0,371004.4,363619,383694,5,1127784,34.8688,30546
0,3.0,7.0,0.2,8,0.25,363578.0,362034.4,354448,364990,5,1083016,63.081,24692
1,2.75,9.59,0.212,6,0.76,362930.0,368510.6,362930,377683,5,1116694,45.9856,30445
2,1.81,10.56,0.135,6,0.126,362839.0,370642.0,362839,386798,5,1127532,31.0341,29853
32,1.5037789987033505,7.803329150633257,0.2945573324338665,10,0.5930139337637381,362836.0,362779.2,358784,366604,5,1088224,92.7641,24441
37,2.4504390405455805,10.224107929608229,0.08148788365542244,4,0.17929158956775396,361676.0,367158.8,361676,380464,5,1112442,39.4286,30062
16,1.8040333693152486,8.662665002310005,0.2475884555186659,10,0.542170552740099,361490.0,367656.0,361490,381318,5,1115299,37.4251,29099
21,1.9622156931539345,10.423993637930504,0.17367270156659037,6,0.1163509658198926,360978.0,368661.0,360978,382406,5,1121350,33.0496,30890
31,2.3198982773838592,9.059933740440504,0.2065318537676222,10,0.3836595132440892,360960.0,368242.2,360960,380225,5,1119290,35.3174,30188
3,2.54,8.83,0.068,10,0.091,360786.0,368514.2,360786,382685,5,1121000,32.6387,30896
34,2.5193464312510403,8.98452973391202,0.24464390718130105,6,0.7057350252877682,360645.0,366763.0,360645,376534,5,1112525,41.9007,29454
27,3.302628970617355,9.018462086385647,0.24413778398375965,8,0.3839297979775209,360162.0,367304.4,360162,382284,5,1116198,33.347,29116
33,1.6883676953602924,7.8623675208002375,0.3529697092999804,10,0.6784554442363646,359776.0,357598.0,351620,359776,5,1068439,85.7988,22938
4,1.95,8.97,0.058,6,0.321,359571.0,368068.4,359571,382444,5,1121200,30.2067,30073
5,3.46,9.21,0.302,4,0.171,359469.0,364752.6,359469,375014,5,1104824,46.1734,28572
6,3.64,8.07,0.129,8,0.223,359065.0,367163.2,359065,383545,5,1117686,29.9676,30026
7,6.01,8.54,0.335,4,0.496,358212.0,361503.6,358212,367778,5,1091094,73.6832,24825
8,3.15,9.96,0.375,6,0.2,358132.0,365156.8,358132,382687,5,1109520,30.0266,28856
28,2.588076893999148,11.112893135895973,0.11347763546549357,8,0.18932942662871788,357896.0,366124.0,357896,379860,5,1114828,31.0772,31542
15,3.9583762797869966,11.639636965167755,0.2970751046691506,6,0.9403272076904118,357748.0,365983.8,357748,382006,5,1114424,29.8607,29784
9,4.76,8.33,0.279,10,0.857,357725.0,359296.6,357436,365872,5,1081033,75.2467,24587
35,2.1319757099955328,7.685540923016936,0.28855157539189347,4,0.6955684823979789,357250.0,357162.4,356950,357250,5,1071312,2.0,22870
11,4.681750886956434,10.321719383488881,0.09788272161032628,6,0.8663671241495094,356663.0,364877.6,356663,378827,5,1111062,30.9455,29354
26,2.7587334305049764,10.39143598178409,0.1762453099362129,4,0.8297456812447641,356594.0,363863.2,356594,376351,5,1106128,34.7485,30317
29,1.9903183646940368,8.340849323170533,0.27804649403560017,8,0.06045493674990435,356500.0,363922.2,356500,379544,5,1106612,31.758,29572
19,2.790706615405985,10.64823950185529,0.25610833298088603,6,0.5267672900688538,355832.0,363954.0,355832,378178,5,1108106,31.0416,30146
22,5.163750557202146,10.28435428637927,0.10564373095909292,6,0.08583387549324431,353837.0,364236.2,353837,384104,5,1113507,23.7849,29220
20,4.621458635478323,8.712595719523335,0.187225978234842,8,0.780726556304884,353648.0,361728.4,353648,378030,5,1101345,29.631,29418
23,2.702340055183745,6.0876801182814155,0.13079149800952602,4,0.3120911621576563,353125.0,344507.8,313276,353125,5,1016289,15.307,19474
24,4.043682154320359,6.314602656956536,0.26048807856829026,6,0.4457152514910915,351578.0,342859.2,320882,351578,5,1011139,21.8676,19444
13,1.5139951371764553,5.354019671100424,0.3079001753081074,8,0.301073488802039,347202.0,330802.4,297086,347202,5,959608,12.61,17238
12,1.9809688263393885,6.8451223068075375,0.21105322718584107,6,0.8293072475957406,346986.0,341272.6,324904,346986,5,1012391,29.7325,19773
38,9.091546590531475,11.456651845093036,0.053699329098313264,8,0.6190071334455215,345518.0,357338.8,345518,380077,5,1095658,20.5398,30798
18,4.912058050021257,6.539871470307259,0.08347230776801193,10,0.7883850888534543,344752.0,340459.8,319927,348116,5,1012796,21.9275,19543
17,7.771659285159158,7.922995131257015,0.2435743361962338,8,0.25450367862854106,343075.0,351836.8,343075,366419,5,1073034,28.1014,26442
25,3.07824878272698,4.5237468415196265,0.1588218877753863,8,0.29220797710711655,333444.0,313727.8,273528,333444,5,901751,9.8953,18830
14,3.2547125674256776,4.0281233372241765,0.14690366611033556,6,0.06554834901279052,322788.0,304436.2,266732,322788,5,876604,10.2975,19271
30,7.299719524756082,4.11361837401832,0.278861163324412,4,0.06281354645344145,318673.0,300168.4,259530,318673,5,863496,9.7067,17731
10,6.423164565355304,4.1622300721136645,0.109026368415805,8,0.40252312610844054,312866.0,295191.0,261179,312866,5,850224,10.6579,20248
36,9.16360946667826,4.463987488686255,0.23158040649913117,6,0.8383476313932117,310988.0,291091.2,251992,310988,5,833479,9.2078,17882
