PEBBLES_SKEW_DIVISOR,PEBBLES_SKEW_CLIP,PEBBLES_BIG_SKEW,fold_mean,fold_median,fold_min,fold_pos,total_3day,sharpe,max_dd
8,5,3.5,369354.0,373616.0,359364,5,1099538,51.4306,25601
8,3,3.5,369354.0,373616.0,359364,5,1099538,51.4306,25601
8,5,2.5,369354.0,373616.0,359364,5,1099538,51.4306,25601
8,2,2.5,369354.0,373616.0,359364,5,1099538,51.4306,25601
8,2,3.5,369354.0,373616.0,359364,5,1099538,51.4306,25601
8,3,2.5,369354.0,373616.0,359364,5,1099538,51.4306,25601
5,3,3.5,369089.4,372471.0,357820,5,1100504,46.5022,25601
5,2,3.5,369089.4,372471.0,357820,5,1100504,46.5022,25601
5,2,2.5,369089.4,372471.0,357820,5,1100504,46.5022,25601
3,2,2.5,368140.0,371403.0,357820,5,1097894,50.9357,25601
3,2,3.5,368140.0,371403.0,357820,5,1097894,50.9357,25601
3,3,3.5,368140.0,371403.0,357820,5,1097894,50.9357,25601
3,5,3.5,361683.6,365108.0,353964,5,1078202,64.4386,22752
3,5,2.5,361683.6,365108.0,353964,5,1078202,64.4386,22752
3,5,1.8,361683.6,365108.0,353964,5,1078202,64.4386,22752
3,5,1.0,361683.6,365108.0,353964,5,1078202,64.4386,22752
8,2,1.0,361508.4,364406.0,352652,5,1078728,58.4604,24692
8,3,1.0,361538.8,364406.0,352804,5,1078882,59.2987,24692
8,5,1.0,361538.8,364406.0,352804,5,1078882,59.2987,24692
8,3,1.8,360873.2,363584.0,355032,5,1077196,83.5717,26023
8,5,1.8,360873.2,363584.0,355032,5,1077196,83.5717,26023
8,2,1.8,360842.4,363584.0,354878,5,1077044,82.1802,26023
5,3,2.5,362034.4,363578.0,354448,5,1083016,63.081,24692
5,5,2.5,362172.0,363578.0,354526,5,1083704,61.2516,24692
5,5,1.8,362172.0,363578.0,354526,5,1083704,61.2516,24692
5,5,1.0,362172.0,363578.0,354526,5,1083704,61.2516,24692
5,3,1.8,362034.4,363578.0,354448,5,1083016,63.081,24692
5,3,1.0,362034.4,363578.0,354448,5,1083016,63.081,24692
5,2,1.8,361762.4,363578.0,354294,5,1081656,66.5226,24692
5,2,1.0,361762.4,363578.0,354294,5,1081656,66.5226,24692
3,2,1.0,360451.6,363568.0,352594,5,1075122,65.0364,24692
3,3,2.5,360723.6,363568.0,352748,5,1076482,64.8479,24692
3,3,1.0,360723.6,363568.0,352748,5,1076482,64.8479,24692
3,3,1.8,360723.6,363568.0,352748,5,1076482,64.8479,24692
3,2,1.8,360451.6,363568.0,352594,5,1075122,65.0364,24692
5,5,3.5,353155.6,357050.0,342354,5,1051678,46.7645,24031
