i,j,lag,group_i,group_j,slope,intercept,adf_p,ou_hl,fA_sharpe,fA_pnl,fB_sharpe,fB_pnl,min_fold_sharpe,combined_pnl,combined_sharpe,sharpe_x_sqrt_pnl
PEBBLES_XL,PANEL_2X4,5,pebbles,panel,2.482227230783029,-14736.627433039512,0.0007638721509628,600.6601610798477,1.7454708040478666,5163.668461174093,2.3286690928454057,5912.130770392856,1.7454708040478666,11075.799231566949,2.037069948446636,214.38454773157426
PEBBLES_XL,PANEL_2X4,1,pebbles,panel,2.4820760435062317,-14735.725533064964,0.0007395910078968,602.718075416015,1.7469537977052807,5142.848404015553,2.332624668226833,5840.566929998837,1.7469537977052807,10983.41533401439,2.039789232966057,213.7735642662765
PEBBLES_XL,PANEL_2X4,100,pebbles,panel,2.4836375314050287,-14734.160489337815,0.0005179794217657,576.7824762327642,1.5016367100138694,4709.979896102588,2.401478634094641,5889.062473883929,1.5016367100138694,10599.042369986517,1.9515576720542551,200.91608366174677
PEBBLES_XL,PANEL_2X4,20,pebbles,panel,2.4826780489833116,-14738.740593613664,0.0006841778950667,596.6324216084749,1.706298117421372,5118.559490614967,1.9455700505244349,4863.64147329202,1.706298117421372,9982.200963906987,1.8259340839729035,182.43083669125983
PEBBLES_XL,ROBOT_DISHES,20,pebbles,robot,2.564397695004785,-12461.145043672,0.0018115927422866,460.61105396693296,1.4115902331263843,2864.293708952686,0.8242741200729921,3847.877455403217,0.8242741200729921,6712.171164355903,1.1179321765996881,91.58976984135634
PEBBLES_XL,ROBOT_DISHES,100,pebbles,robot,2.580310373321849,-12603.173905101849,0.001034793382837,440.7503797684629,0.8589540479642582,1419.3186713737523,1.101498656160148,5093.652665515834,0.8589540479642582,6512.971336889586,0.9802263520622032,79.10718984801026
UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,1,uv_visor,snackpack,-2.450106587117227,34143.94273172769,0.0007982285398981,602.6107554293357,1.6655958301298257,2878.322148836345,2.4103239481499963,3576.8126572619003,1.6655958301298257,6455.1348060982455,2.037959889139911,163.73755090977917
UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,100,uv_visor,snackpack,-2.4305786726880605,33927.276302152575,0.0013479252773879,628.6200934918518,1.9168048573654295,3371.053532517257,1.8442064614951816,2659.0989165345127,1.8442064614951816,6030.1524490517695,1.8805056594303056,146.0288922192
MICROCHIP_SQUARE,SLEEP_POD_SUEDE,100,microchip,sleep_pod,1.8491788283254749,-7466.61592831549,0.0067075768366941,845.2215638318196,2.437415738002815,2479.774358656159,2.3844793031980305,3503.2219824580025,2.3844793031980305,5982.996341114162,2.4109475206004225,186.4863830405507
UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,5,uv_visor,snackpack,-2.4491955648629253,34133.843718037206,0.0008350560448555,602.366399216538,1.6847965077090927,2918.697888504521,2.0309829256445826,2981.371681851815,1.6847965077090927,5900.069570356336,1.8578897166768376,142.70805834232877
UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,20,uv_visor,snackpack,-2.445794297399974,34096.17794022894,0.0008931402692966,608.7698375805129,1.678959159010807,2885.886339158671,1.8957493410152189,2801.921395162168,1.678959159010807,5687.807734320839,1.787354250013013,134.7978890206959
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,5,pebbles,oxygen_shake,-0.9038574030984422,19302.333841766544,0.0008275709083778,551.9518004068559,2.1035719541787556,2697.7952927331353,2.23749993317554,2974.3585730206796,2.1035719541787556,5672.153865753815,2.170535943677148,163.47109950200218
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,20,pebbles,oxygen_shake,-0.9045190182030806,19309.28714080616,0.0004615247387324,548.9504554163493,2.4186931168494614,3117.700043645371,1.8977921831873703,2523.549621909495,1.8977921831873703,5641.249665554866,2.158242650018416,162.10183494761324
PEBBLES_XL,ROBOT_DISHES,1,pebbles,robot,2.56069672636587,-12428.06846030326,0.0031182947484585,468.2106078677808,0.825954678035594,1433.6439950600834,0.9041420692153764,4016.2599382339617,0.825954678035594,5449.903933294045,0.8650483736254853,63.86086803301507
PEBBLES_XL,ROBOT_DISHES,5,pebbles,robot,2.5614599343393354,-12434.873479647302,0.0021225779829493,464.7459054902153,0.8749365972666204,1485.2627606698588,0.8790033821206433,3903.838973644168,0.8749365972666204,5389.1017343140265,0.8769699896936318,64.37880676675123
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,100,pebbles,oxygen_shake,-0.9071032460880762,19337.10366530879,0.0002847209173172,539.3480685039403,1.8218882283142792,2345.494772349977,2.291384745254563,2914.220832891797,1.8218882283142792,5259.715605241774,2.056636486784421,149.15529229692905
OXYGEN_SHAKE_GARLIC,PEBBLES_S,100,oxygen_shake,pebbles,-1.010483289589149,20961.44090806879,0.0018471963679302,703.9294066808683,2.32134333998419,2797.996970779017,2.04083863776631,2406.989685389708,2.04083863776631,5204.986656168725,2.18109098887525,157.35610378981497
UV_VISOR_YELLOW,GALAXY_SOUNDS_DARK_MATTER,5,uv_visor,galaxy_sounds,1.5845185234667698,-5246.704444535159,0.0036825642088672,721.6958095766402,2.7035137241332063,3917.709821779478,1.0245432785729258,1274.932036579321,1.0245432785729258,5192.641858358798,1.864028501353066,134.32187128134933
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,1,pebbles,oxygen_shake,-0.9036874531311152,19300.54973077501,0.0004068047842413,554.5727947989164,2.077121035777911,2652.6805078739726,1.8650520530485537,2507.030867091047,1.8650520530485537,5159.71137496502,1.9710865444132324,141.58537570486138
