stress,mode,fold_median,fold_mean,fold_min,total_3day,max_dd,sharpe,lagged,limit,day,pnl,sample,d_PAIR_TILT_DIVISOR,d_PAIR_TILT_CLIP,d_INV_SKEW_BETA,d_QUOTE_BASE_SIZE_CAP,d_QUOTE_AGGRESSIVE_SIZE,d_PEBBLES_SKEW_DIVISOR,d_PEBBLES_SKEW_CLIP,d_PEBBLES_BIG_SKEW,d_SNACKPACK_SKEW_DIVISOR,d_SNACKPACK_SKEW_CLIP,d_SNACKPACK_BIG_SKEW,fair_quote_gate
match_mode,worse,465320.0,473332.8,450479.0,1436024.0,27243.0,13.0284,,,,,,,,,,,,,,,,,
match_mode,all,465320.0,473332.8,450479.0,1436024.0,27243.0,13.0284,,,,,,,,,,,,,,,,,
latency,,465320.0,473332.8,450479.0,1436024.0,27243.0,13.0284,False,,,,,,,,,,,,,,,,
latency,,400222.0,420019.4,400222.0,1299652.0,28345.0,12.2703,True,,,,,,,,,,,,,,,,
limit,,465320.0,473332.8,450479.0,1436024.0,27243.0,13.0284,,10.0,,,,,,,,,,,,,,,
limit,,114069.0,113730.4,90058.0,340514.0,12106.0,4.8988,,8.0,,,,,,,,,,,,,,,
day_only,,,,,,,,,,2.0,520225.0,,,,,,,,,,,,,
day_only,,,,,,,,,,3.0,465320.0,,,,,,,,,,,,,
day_only,,,,,,,,,,4.0,450479.0,,,,,,,,,,,,,
perturbation,,471030.0,475838.8,447514.0,1437134.0,22806.0,,,,,,0.0,2.9090430650142842,6.296306480097411,0.22378147453900699,7.0,2.0,8.765278810180753,4.452448563231043,3.478580320974827,4.460850001137944,3.445194206096979,3.8438536682819904,0.2533150766655324
perturbation,,465539.0,472633.0,449740.0,1432088.0,25277.0,,,,,,2.0,2.4307691910814997,6.461713523204448,0.19201488034245756,7.0,2.0,7.754568687729533,5.108207102590542,3.1370340004286175,4.248653799330345,2.4222809327844734,3.9643002632355993,0.2645983874962736
perturbation,,410052.0,420176.8,408352.0,1280779.0,31152.0,,,,,,1.0,3.5314076578729945,8.393730692609648,0.23077517095237365,7.0,2.0,7.991154939680194,5.6933717479283485,2.947215859354885,5.596224043847272,3.430057337880035,2.9240750546285947,0.209018736589505
perturbation,,460881.0,470111.6,448483.0,1428796.0,26061.0,,,,,,3.0,2.681133171293457,6.55396227092152,0.1870184345815667,10.0,2.0,9.531334529903798,4.187426662640041,4.168461618952668,4.347784133262912,2.888778051839617,3.3387986246035513,0.23584541903542638
perturbation,,462220.0,471671.8,443759.0,1433920.0,27366.0,,,,,,5.0,2.607635852814278,8.17627756502494,0.2021826504233647,9.0,2.0,6.896641092702644,5.973397940804238,4.018736109686061,5.817985310900689,2.551560377634382,3.3946165725229607,0.29381896964621423
perturbation,,465280.0,473868.6,449994.0,1438782.0,26832.0,,,,,,4.0,3.5132787725134094,7.6845730924380335,0.20380214236006036,8.0,2.0,6.814172152574892,4.621851058593912,3.812640583089815,4.739954751113428,2.576294058377017,3.245140060493917,0.2796531913262373
perturbation,,465045.0,472583.2,445732.0,1432826.0,28147.0,,,,,,6.0,3.0047698276227375,7.28847644117773,0.18400055566033258,9.0,2.0,7.254379412216465,4.806807510008299,3.3170624536644846,4.965636153958895,3.0802061843609905,3.777264198381635,0.2880947619952413
perturbation,,462708.0,472180.0,446676.0,1435485.0,28094.0,,,,,,8.0,3.1080988790214,7.845109288086383,0.1659203437028239,7.0,2.0,8.483760443810283,5.493082589504226,3.3671371850868765,5.697849297027695,2.7568852473902252,3.038676402629044,0.24045988456012565
perturbation,,411462.0,420673.0,407148.0,1280440.0,30739.0,,,,,,7.0,3.2468275320515465,7.516229733266105,0.20954057131738804,7.0,2.0,7.097810108357054,5.3430101428500585,2.9896602222736997,5.998039159337951,2.970908792780354,2.801755129593808,0.22028526546926025
perturbation,,463507.0,471206.8,444173.0,1429020.0,28101.0,,,,,,9.0,2.796759143104925,7.143358843477442,0.1727233426829387,9.0,2.0,8.743255097701638,4.965606533019144,2.8454758524955395,4.8094527705604,2.874713400262074,3.468143720569511,0.2595553999415527
perturbation,,465264.0,473421.8,449759.0,1436581.0,26840.0,,,,,,11.0,3.3752231379269775,6.802044488958846,0.1637950868563669,8.0,2.0,9.253011954683787,5.205456314307008,3.2321889216314434,5.2596517985971625,3.5524860638709463,3.5608261538943276,0.2190301764120898
perturbation,,469937.0,475409.8,447280.0,1437175.0,22846.0,,,,,,10.0,2.53245520169567,6.079677570036405,0.23484766890248499,7.0,2.0,8.26844251432654,5.748250890578777,3.71225218668105,5.18339270588863,3.256933539439394,4.145295180617478,0.20297272998551155
perturbation,,469132.0,474014.8,442080.0,1431810.0,21178.0,,,,,,12.0,3.3274791730601496,5.803474327156372,0.18110364326096962,8.0,2.0,7.502975149807338,4.398672725225695,3.8859290252758947,4.656182661711249,3.147790833893069,4.081107417464041,0.22864898619560145
perturbation,,470182.0,473143.6,439194.0,1425354.0,20708.0,,,,,,14.0,3.129495426180985,5.691334785631852,0.21683042276820094,9.0,2.0,9.134354692495668,4.682653583826124,3.5641820295096167,4.044281412590487,2.6433269094577643,3.6469333061266545,0.28167834331132163
perturbation,,411890.0,420512.4,406582.0,1278782.0,31382.0,,,,,,13.0,2.804495885844633,7.069660807577901,0.2247211824245292,8.0,2.0,6.521648200281904,4.068153393755538,3.9221968499526363,5.363241174919757,3.3352914109824594,3.1481485666865923,0.2675791986387379
