product,baseline_d2,baseline_d3,baseline_d4,tuned_d2,tuned_d3,tuned_d4,baseline_xday_std,tuned_xday_std,delta_xday_std,baseline_xfold_std,tuned_xfold_std,delta_xfold_std,baseline_3day,tuned_3day
OXYGEN_SHAKE_CHOCOLATE,8866.0,9843.0,4864.0,9410.0,3942.0,-13891.0,2154.09104316002,9949.045258493677,7794.954215333657,1931.3302565848235,7966.633768411851,6035.303511827027,23573.0,-539.0
PEBBLES_XL,40420.0,27646.0,36663.0,35099.0,19441.0,51052.0,5360.311081354224,12905.324026239025,7545.0129448848,5468.3055657122895,12629.779196803085,7161.473631090796,104729.0,105592.0
UV_VISOR_AMBER,14319.0,752.0,8957.0,20425.0,-4156.0,3697.0,5579.093494665797,10250.859877211386,4671.766382545588,5596.097161415266,9544.656083903705,3948.558922488439,24028.0,19966.0
PANEL_1X4,14003.0,4866.0,-2550.0,21185.0,9779.0,-4962.0,6769.897701508413,10703.37187785025,3933.474176341837,5251.465639228728,8308.663815560238,3057.19817633151,16319.0,26002.0
OXYGEN_SHAKE_GARLIC,22970.0,17994.0,19641.0,24630.0,13645.0,19383.0,2069.7671903434507,4486.100484335539,2416.333293992088,1933.926534282003,4419.572902442045,2485.646368160042,60605.0,57658.0
OXYGEN_SHAKE_MORNING_BREATH,7756.0,238.0,9305.0,13303.0,-899.0,11090.0,3959.941273414151,6239.0374435662925,2279.0961701521414,4091.9034201701293,6453.514217850612,2361.610797680483,17299.0,23494.0
PANEL_1X2,-434.0,-632.0,-23.0,1194.0,494.0,-4363.0,253.64147925763245,2471.1827577543154,2217.541278496683,236.57354036324517,2030.976080607549,1794.4025402443037,-1089.0,-2675.0
SLEEP_POD_LAMB_WOOL,-16.0,3114.0,2205.0,9193.0,14118.0,7460.0,1314.704106971941,2820.3206673473615,1505.6165603754205,1213.2993694880088,2889.685491537098,1676.3861220490894,5303.0,30771.0
GALAXY_SOUNDS_SOLAR_WINDS,-387.0,20165.0,30243.0,1180.0,24157.0,35244.0,12746.013267772092,14186.144233801595,1440.1309660295028,10020.078370950998,11158.760486720736,1138.6821157697377,50021.0,60581.0
ROBOT_IRONING,20096.0,14628.0,3500.0,23102.0,14746.0,3298.0,6905.381347583605,8117.729950888706,1212.3486033051013,5428.154161406988,6308.20651532589,880.0523539189016,38224.0,41146.0
UV_VISOR_YELLOW,8810.0,21541.0,18784.0,7156.0,22557.0,18874.0,5468.699682943124,6566.4705046843,1097.7708217411764,4933.635195269306,5965.156809338712,1031.5216140694065,49135.0,48587.0
SLEEP_POD_SUEDE,19203.0,13961.0,28159.0,20574.0,11151.0,27856.0,5862.040827789129,6838.432877657148,976.3920498680191,5540.379914771189,6801.697982121817,1261.3180673506286,61323.0,59581.0
PEBBLES_L,743.0,5275.0,-7530.0,1706.0,8311.0,-6414.0,5301.462879872561,6022.052529384534,720.5896495119732,4987.839917238724,5821.647017812055,833.8071005733309,-1512.0,3603.0
ROBOT_MOPPING,-1710.0,-2343.0,994.0,5474.0,1072.0,2973.0,1447.1379416704622,1802.6648791904352,355.526937519973,1294.919148055198,1734.695546774707,439.77639871950896,-3059.0,9519.0
PEBBLES_S,26569.0,1542.0,8582.0,32058.0,5824.0,18315.0,10537.997374580555,10714.050411596085,176.0530370155302,9697.977430371757,10433.817249693422,735.8398193216653,36693.0,56197.0
ROBOT_DISHES,7505.0,10218.0,-2982.0,16701.0,3121.0,6379.0,5691.880552350183,5788.634918719803,96.75436636961967,5117.72713614159,5259.796862997658,142.06972685606797,14741.0,26201.0
TRANSLATOR_ASTRO_BLACK,584.0,226.0,8030.0,80.0,2574.0,8856.0,3597.4295761773515,3692.3605217018317,94.9309455244802,3088.9134400303287,2926.2184197356146,-162.69502029471414,8840.0,11510.0
OXYGEN_SHAKE_MINT,-2326.0,-684.0,2452.0,-2326.0,-684.0,2452.0,1982.1409300719934,1982.1409300719934,0.0,1554.6223206940006,1554.6223206940006,0.0,-558.0,-558.0
TRANSLATOR_GRAPHITE_MIST,-4774.0,-805.0,4278.0,-4774.0,-805.0,4278.0,3704.7800054644117,3704.7800054644117,0.0,2875.4704241219383,2875.4704241219383,0.0,-1301.0,-1301.0
PANEL_2X2,6713.0,188.0,-87.0,6713.0,188.0,-87.0,3142.73854393832,3142.73854393832,0.0,2639.649597958032,2639.649597958032,0.0,6814.0,6814.0
SLEEP_POD_NYLON,1923.0,6102.0,4830.0,1923.0,6102.0,4830.0,1749.0528865646115,1749.0528865646115,0.0,1621.070313095641,1621.070313095641,0.0,12855.0,12855.0
SLEEP_POD_COTTON,20032.0,6995.0,12653.0,20032.0,6995.0,12653.0,5337.76871819011,5337.76871819011,0.0,5139.56667434133,5139.56667434133,0.0,39680.0,39680.0
ROBOT_VACUUMING,-5116.0,3076.0,3664.0,-5116.0,3076.0,3664.0,4007.5346813498973,4007.5346813498973,0.0,3343.3649157697396,3343.3649157697396,0.0,1624.0,1624.0
ROBOT_LAUNDRY,15356.0,11875.0,-1720.0,15356.0,11875.0,-1720.0,7367.580350577945,7367.580350577945,0.0,5941.09058675257,5941.09058675257,0.0,25511.0,25511.0
MICROCHIP_RECTANGLE,21434.0,22468.0,20169.0,21434.0,22468.0,20169.0,940.1407696013755,940.1407696013755,0.0,909.1511645485585,909.1511645485585,0.0,64071.0,64071.0
TRANSLATOR_SPACE_GRAY,6622.0,3206.0,-5039.0,6622.0,3206.0,-5039.0,4894.759124705615,4894.759124705615,0.0,3872.602039972607,3872.602039972607,0.0,4789.0,4789.0
GALAXY_SOUNDS_PLANETARY_RINGS,23252.0,1824.0,-6912.0,23252.0,1824.0,-6912.0,12672.559050518916,12672.559050518916,0.0,10032.542122513118,10032.542122513118,0.0,18164.0,18164.0
UV_VISOR_MAGENTA,444.0,4516.0,489.0,444.0,4516.0,489.0,1909.0410041577304,1909.0410041577304,0.0,1983.89277936082,1983.89277936082,0.0,5449.0,5449.0
MICROCHIP_TRIANGLE,4961.0,-938.0,8286.0,4961.0,-938.0,8286.0,3814.2423450361234,3814.2423450361234,0.0,3850.6973706070435,3850.6973706070435,0.0,12309.0,12309.0
UV_VISOR_ORANGE,3877.0,1926.0,9194.0,3877.0,1926.0,9194.0,3071.3861148782103,3071.3861148782103,0.0,2815.3945655982216,2815.3945655982216,0.0,14997.0,14997.0
OXYGEN_SHAKE_EVENING_BREATH,1669.0,7291.0,11905.0,1669.0,7291.0,11905.0,4185.578096272963,4185.578096272963,0.0,3246.310742981947,3246.310742981947,0.0,20865.0,20865.0
PANEL_4X4,-4426.0,954.0,3116.0,-4426.0,954.0,3116.0,3171.056746399989,3171.056746399989,0.0,2511.8733726045984,2511.8733726045984,0.0,-356.0,-356.0
UV_VISOR_RED,1233.0,8456.0,110.0,1233.0,8456.0,110.0,3698.1763373617296,3698.1763373617296,0.0,3830.109471020378,3830.109471020378,0.0,9799.0,9799.0
