label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a1.5_c7_b0.6,1b,1.5,7,0.6,True,True,44.7,461732,456092,461732,494423,461732,456092,461732,467142.2,1412246,22.7463,25488,21301,8595,16271,46167,True,True,True,True,True,True,True,9892,5474.0,6182.799999999988,19966,4600,1.029152870871356,22.7463
1b_a0.5_c10_b0.6,1b,0.5,10,0.6,True,True,64.4,461294,456062,461294,494429,461294,456062,461294,466874.6,1411785,22.6182,25604,21307,8158,16241,45706,True,True,True,True,True,True,True,9862,5036.0,5915.199999999953,19505,4606,1.0338367116207705,22.6182
1b_a0.5_c7_b0.6,1b,0.5,7,0.6,True,True,77.9,461446,456048,461446,494536,461446,456048,461446,466984.4,1412029,22.5868,25404,21414,8309,16227,45950,True,True,True,True,True,True,True,9848,5188.0,6025.0,19749,4713,1.0257611241217799,22.5868
1b_a1.5_c5_b0.6,1b,1.5,5,0.6,True,True,52.8,461468,455960,461468,494331,461468,455960,461468,466939.0,1411758,22.6817,25592,21209,8331,16139,45679,True,True,True,True,True,True,True,9760,5210.0,5979.599999999977,19478,4508,1.0333521763708309,22.6817
1b_a2.0_c7_b0.6,1b,2.0,7,0.6,True,True,52.1,462662,455892,462662,494112,462662,455892,462662,467598.0,1412665,23.0882,25488,20990,9525,16071,46586,True,True,True,True,True,True,True,9692,6404.0,6638.599999999977,20385,4289,1.029152870871356,23.0882
1b_a2.5_c10_b0.6,1b,2.5,10,0.6,True,True,48.7,462558,455872,462558,493639,462558,455872,462558,467437.0,1412068,23.3544,25592,20517,9421,16051,45989,True,True,True,True,True,True,True,9672,6300.0,6477.599999999977,19788,3816,1.0333521763708309,23.3544
1b_a2.0_c10_b0.6,1b,2.0,10,0.6,True,True,52.1,461840,455872,461840,493994,461840,455872,461840,467077.2,1411706,22.9486,25592,20872,8704,16051,45627,True,True,True,True,True,True,True,9672,5582.0,6117.799999999988,19426,4171,1.0333521763708309,22.9486
1b_a0.5_c5_b0.6,1b,0.5,5,0.6,True,True,199.0,462164,455848,462164,494193,462164,455848,462164,467306.6,1412205,22.8965,25604,21071,9028,16027,46126,True,True,True,True,True,True,True,9648,5906.0,6347.199999999953,19925,4370,1.0338367116207705,22.8965
1b_a1.0_c7_b0.6,1b,1.0,7,0.6,True,True,49.3,461568,455688,461568,494433,461568,455688,461568,466965.0,1411688,22.5362,25488,21311,8431,15867,45609,True,True,True,True,True,True,True,9488,5310.0,6005.599999999977,19408,4610,1.029152870871356,22.5362
1b_a1.0_c10_b0.6,1b,1.0,10,0.6,True,True,55.9,461416,455672,461416,494452,461416,455672,461416,466874.4,1411540,22.4808,25592,21330,8280,15851,45461,True,True,True,True,True,True,True,9472,5158.0,5915.0,19260,4629,1.0333521763708309,22.4808
1b_a1.5_c10_b0.6,1b,1.5,10,0.6,True,True,45.1,461416,455668,461416,494305,461416,455668,461416,466844.2,1411389,22.5675,25592,21183,8280,15847,45310,True,True,True,True,True,True,True,9468,5158.0,5884.799999999988,19109,4482,1.0333521763708309,22.5675
