check,kind,claim,n,mean,std,min,max,target,deviation_mean,a,b,slope,intercept,adf_stat,adf_p,half_life,resid_std,claimed_p,product,ar1,n_distinct_mids,lattice_ratio
PEBBLES,basket,PEBBLES sum invariant,30000,49999.93958333333,2.7984881414050706,49981.5,50016.5,50000.0,-0.06041666666715173,,,,,,,,,,,,,
SNACKPACK,basket,SNACKPACK sum invariant,30000,50220.9386,189.5794050217488,49706.0,50625.5,50221.0,-0.06139999999868451,,,,,,,,,,,,,
WITHIN:MICROCHIP_RECTANGLE|MICROCHIP_SQUARE,coint,,30000,,,,,,,MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,-0.401,14119.0,-3.7359983461069795,0.003634372996969075,741.3229202476332,360.9004412167727,0.004,,,,
WITHIN:ROBOT_LAUNDRY|ROBOT_VACUUMING,coint,,30000,,,,,,,ROBOT_LAUNDRY,ROBOT_VACUUMING,0.334,7072.0,-1.8043339340614244,0.3783121484756608,3150.637196509662,486.19623289769396,0.026,,,,
WITHIN:SLEEP_POD_COTTON|SLEEP_POD_POLYESTER,coint,,30000,,,,,,,SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,0.519,5144.0,-2.383560736753294,0.1464301265579636,1923.4362566232733,506.9863804054898,0.033,,,,
WITHIN:GALAXY_SOUNDS_DARK_MATTER|GALAXY_SOUNDS_PLANETARY_RINGS,coint,,30000,,,,,,,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.183,8285.0,-2.967725479027223,0.038020346876362826,1150.3830016128065,297.91362330958805,0.037,,,,
WITHIN:SNACKPACK_RASPBERRY|SNACKPACK_VANILLA,coint,,30000,,,,,,,SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,0.013,9962.0,-4.000056369475371,0.0014102161146966779,623.8723078393529,169.775943130911,0.001,,,,
WITHIN:SNACKPACK_CHOCOLATE|SNACKPACK_STRAWBERRY,coint,,30000,,,,,,,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,-0.106,11051.0,-2.999460254504071,0.03494483646728356,1063.8994443811812,182.77601819777834,0.009,,,,
WITHIN:UV_VISOR_AMBER|UV_VISOR_MAGENTA,coint,,30000,,,,,,,UV_VISOR_AMBER,UV_VISOR_MAGENTA,-1.238,21897.0,-2.894565310002846,0.04598363777692112,1309.6024330326265,507.2747803426129,0.023,,,,
WITHIN:OXYGEN_SHAKE_CHOCOLATE|OXYGEN_SHAKE_GARLIC,coint,,30000,,,,,,,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,-0.155,11066.0,-0.35150510446609257,0.9178862720444039,11837.867649826694,665.6509046473377,0.03,,,,
WITHIN:TRANSLATOR_ECLIPSE_CHARCOAL|TRANSLATOR_VOID_BLUE,coint,,30000,,,,,,,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,0.456,4954.0,-3.0013227422520985,0.034771057301604555,1179.3433782699872,329.3189373632553,0.041,,,,
WITHIN:SLEEP_POD_POLYESTER|SLEEP_POD_SUEDE,coint,,30000,,,,,,,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,0.756,2977.0,-2.6097087520047366,0.09100722235688985,1623.2984603883087,524.4412670284581,0.052,,,,
CROSS:PEBBLES_XL|PANEL_2X4,cross_coint,,30000,,,,,,,PEBBLES_XL,PANEL_2X4,2.4821,-14735.73,-4.1987757040394325,0.0006620514942342126,592.8504022956488,856.0065047959325,,,,,
