product,primary,secondary,expected_avg_daily_low,expected_avg_daily_mid,expected_avg_daily_high,n_supporting_findings,rationale,v3_3day_pnl,mr_v6_3day_pnl
GALAXY_SOUNDS_BLACK_HOLES,cointegration_leg,cross_pair_skew(n=2); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),4942,4997,5052,1,Leg in 2 cross-group cointegration pair(s) (round-3 Phase C),15158,14828
GALAXY_SOUNDS_DARK_MATTER,cointegration_leg,cross_pair_skew(n=2); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),1868,2177,2485,2,Leg in 2 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1),7456,5606
GALAXY_SOUNDS_PLANETARY_RINGS,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),-2304,-1152,0,2,Leg in within-group cointegration pair (round-1); mr_v6 chose IDLE — chronic MM loser; Phase H may apply,-6912,0
GALAXY_SOUNDS_SOLAR_FLAMES,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=4,0,343,686,2,PROD_CAP=4 from round-2 Phase B bleeder analysis; mr_v6 chose IDLE — chronic MM loser; Phase H may apply,2060,0
GALAXY_SOUNDS_SOLAR_WINDS,cointegration_leg,cross_pair_skew(n=1); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),3106,3265,3423,1,Leg in 1 cross-group cointegration pair(s) (round-3 Phase C),10270,9320
MICROCHIP_CIRCLE,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),3452,3620,3789,0,Default MM with inv_skew,11367,10358
MICROCHIP_OVAL,cointegration_leg,cross_pair_skew(n=1); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),349,1082,1815,1,Leg in 1 cross-group cointegration pair(s) (round-3 Phase C),1048,5446
MICROCHIP_RECTANGLE,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),0,130,261,2,Leg in within-group cointegration pair (round-1); mr_v6 chose IDLE — chronic MM loser; Phase H may apply,784,0
MICROCHIP_SQUARE,cointegration_leg,cross_pair_skew(n=2); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2060,2361,2661,2,Leg in 2 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1),6182,7985
MICROCHIP_TRIANGLE,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2762,2886,3011,0,Default MM with inv_skew,8286,9033
OXYGEN_SHAKE_CHOCOLATE,cointegration_leg,within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); EXCLUDE within-pair OXYGEN_SHAKE_CHOCOLATE/GARLIC (failed reverify ADF=0.918),1622,2288,2954,2,"Leg in within-group cointegration pair (round-1); mr_v6 TAKER outperforms v3 by +3,997 — Phase H ablation candidate; Drop within-pair OXYGEN_SHAKE_CHOCOLATE/GARLIC (ADF=0.918 reverify failure)",4867,8864
OXYGEN_SHAKE_EVENING_BREATH,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2556,3262,3968,0,Default MM with inv_skew,11905,7669
OXYGEN_SHAKE_GARLIC,cointegration_leg,cross_pair_skew(n=4); within_pair_skew; inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2581,2636,2691,2,Leg in 4 cross-group cointegration pair(s) (round-3 Phase C); Leg in within-group cointegration pair (round-1),8073,7743
OXYGEN_SHAKE_MINT,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),707,762,817,0,Default MM with inv_skew,2452,2122
OXYGEN_SHAKE_MORNING_BREATH,cointegration_leg,cross_pair_skew(n=1); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2514,2630,2746,1,Leg in 1 cross-group cointegration pair(s) (round-3 Phase C),8240,7544
PANEL_1X2,cointegration_leg,cross_pair_skew(n=1); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1); prod_cap=3,-152,8,169,2,Leg in 1 cross-group cointegration pair(s) (round-3 Phase C); PROD_CAP=3 from round-2 Phase B bleeder analysis,509,-456
PANEL_1X4,cointegration_leg,cross_pair_skew(n=1); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),1514,2135,2756,1,Leg in 1 cross-group cointegration pair(s) (round-3 Phase C),8268,4542
PANEL_2X2,inside_spread_mm,inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),-29,407,843,0,Default MM with inv_skew,-87,2530
PANEL_2X4,cointegration_leg,cross_pair_skew(n=7); inv_skew(-pos*0.2); inside_spread_mm(bb+1/ba-1),2043,2148,2254,1,Leg in 7 cross-group cointegration pair(s) (round-3 Phase C),6762,6130
