name,total_pnl,sharpe,max_dd,delta_vs_prev
v01_mm_only,401540,3.4838,37326,
v02_mm_invskew,403384,3.5316,37326,1844
v03_mm_invskew_caps,471570,5.8399,29006,68186
v04_mm_caps_pebbles,472909,5.8542,29008,1339
v05_mm_caps_pebbles_snack,437122,4.4714,27371,-35787
v06_v2_minus_OG,494356,6.1479,25012,57234
v07_v3_minus_OG,732052,8.8333,23990,237696
v08_pebL_cap5,732144,10.5125,22009,92
v09_pebL_cap4,733058,10.8013,21786,914
v10_pebL_cap6,730736,10.2252,22168,-2322
v11_ar1_evb,731978,8.8345,23956,1242
v12_v3_full_with_OG,733320,8.3436,23990,1342
