fv_id,ic_abs,half_life,mean_abs_res,res_to_spread,adf_p,z_ic,z_hl,z_res,score,product
ar5_dx,0.02089042726587536,0.09567839360154085,11.983807724988967,1.4145236548507598,0.0,1.3902280582159674,1.222606419662398,0.8548352083768077,3.4676696862551735,PEBBLES_XS
quad_500,0.016785208031492287,47.70931241228834,71.27664088121855,8.391775177677921,6.134530464434863e-14,0.46667664847220847,0.7131509844409312,0.2569739427717689,1.4368015756849086,PEBBLES_XS
ewma_25,0.012738591072474499,22.448588647605284,49.436753933660995,5.818380126965046,1.4771938338165465e-21,-0.44369100397681166,0.8113043098338073,0.47748100302140906,0.8450943088784046,PEBBLES_XS
microprice_ewma25,0.012710125694025555,22.450284372334092,49.43721629049294,5.818467812316299,1.4736927688732292e-21,-0.4500948618208039,0.8112946008230243,0.4774734895076847,0.8386732285099051,PEBBLES_XS
ofi_lag1,0.02131419681113212,,12.025595790218846,1.4191617926016624,0.0,1.485563517440758,-1.5474658470648148,0.8544377792606674,0.7925354496366106,PEBBLES_XS
markov_20,0.021248513902833513,,11.988260079327828,1.4150254076695852,0.0,1.4707868297435014,-1.5474658470648148,0.8547922145741187,0.7781131972528053,PEBBLES_XS
lattice_1,0.021177426184666788,,11.985447607260728,1.4147174092409243,0.0,1.4547942216561012,-1.5474658470648148,0.8548186061023244,0.7621469806936108,PEBBLES_XS
markov_50,0.021170177654636545,,12.013358446314438,1.417902225914783,0.0,1.4531635194339316,-1.5474658470648148,0.854545708024747,0.7602433803938639,PEBBLES_XS
mid_anchor,0.0211502963768025,,11.982322387238725,1.414339603960396,0.0,1.4486908272041592,-1.5474658470648148,0.8548509791853973,0.7560759593247417,PEBBLES_XS
markov_10,0.02110941852871094,,11.983415668846996,1.4144741279407156,0.0,1.4394945353432873,-1.5474658470648148,0.8548394521998981,0.7468681404783706,PEBBLES_XS
kalman_mle,0.02105624552414488,,11.981501239608164,1.4142389834625657,0.0,1.427532201415785,-1.5474658470648148,0.854859601075834,0.7349259554268042,PEBBLES_XS
ar3_dx,0.021041902783778287,,11.981597095688134,1.4142489398127214,0.0,1.4243055142819496,-1.5474658470648148,0.8548587479438973,0.7316984151610321,PEBBLES_XS
ar2_dx,0.021022269924339983,,11.981292083443966,1.4142097460487617,0.0,1.419888708753104,-1.5474658470648148,0.8548621063484564,0.7272849680367456,PEBBLES_XS
ar1_dx,0.020997559439551436,,11.982497520915443,1.4143645216075182,0.0,1.414329589554116,-1.5474658470648148,0.8548488440615601,0.7217125865508612,PEBBLES_XS
ewma_10,0.010928165415540383,9.451015938401628,32.362982052140126,3.8141212394003894,1.3200042939214425e-30,-0.8509825692344812,0.919802656643996,0.6492203693319442,0.7180404567414589,PEBBLES_XS
microprice_raw,0.02097924524407114,,11.993220463366626,1.4156708768602928,0.0,1.4102094439325403,-1.5474658470648148,0.8547369061154795,0.717480502983205,PEBBLES_XS
