product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5611.0,-24712.0,-5.1996618990062995,-8.16506792764876,82,294,5651.0,24712.0,-15161.5,-24712.0,-8.16506792764876
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-5759.0,-24572.0,-4.9993530872638985,-7.7133391712841695,83,294,5799.0,24572.0,-15165.5,-24572.0,-7.7133391712841695
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-5809.0,-24964.0,-4.890459075813939,-7.513140465272736,83,296,5849.0,24964.0,-15386.5,-24964.0,-7.513140465272736
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-5869.0,-25366.0,-4.925372003205931,-7.628942203504053,83,295,5909.0,25366.0,-15617.5,-25366.0,-7.628942203504053
GALAXY_SOUNDS_BLACK_HOLES,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-18225.0,-44652.0,-8.484551329098712,-11.225617058785993,265,563,18265.0,44652.0,-31438.5,-44652.0,-11.225617058785993
GALAXY_SOUNDS_BLACK_HOLES,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-18592.0,-45092.0,-8.325212349897484,-10.23690104936261,265,561,18632.0,45092.0,-31842.0,-45092.0,-10.23690104936261
GALAXY_SOUNDS_BLACK_HOLES,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-17642.0,-47095.0,-7.9014182696570145,-9.763246555069033,263,557,17682.0,47120.0,-32368.5,-47095.0,-9.763246555069033
GALAXY_SOUNDS_BLACK_HOLES,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-18632.0,-46532.0,-8.172304446934465,-10.145689135864457,263,557,18672.0,46557.0,-32582.0,-46532.0,-10.145689135864457
GALAXY_SOUNDS_BLACK_HOLES,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-22445.0,-47692.0,-9.032981907211134,-10.863723724906512,327,603,22485.0,47692.0,-35068.5,-47692.0,-10.863723724906512
GALAXY_SOUNDS_BLACK_HOLES,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-22492.0,-48598.0,-8.991342883368869,-10.445500795288265,329,601,22532.0,48598.0,-35545.0,-48598.0,-10.445500795288265
GALAXY_SOUNDS_BLACK_HOLES,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-21752.0,-50372.0,-8.520599468639118,-10.035216098356866,327,595,21792.0,50397.0,-36062.0,-50372.0,-10.035216098356866
GALAXY_SOUNDS_BLACK_HOLES,kalman_mle,A,2.5,0.25,-1.0,-1,fixed,0.0,-24762.0,-47782.0,-9.03612985801995,-10.528603803390078,355,609,24762.0,47782.0,-36272.0,-47782.0,-10.528603803390078
GALAXY_SOUNDS_BLACK_HOLES,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-22252.0,-50304.0,-8.786741621598908,-10.245709815146645,327,596,22292.0,50304.0,-36278.0,-50304.0,-10.245709815146645
GALAXY_SOUNDS_BLACK_HOLES,kalman_mle,A,2.5,0.5,-1.0,-1,fixed,0.0,-24975.0,-47592.0,-9.167086012430499,-11.372764319114788,353,611,24975.0,47592.0,-36283.5,-47592.0,-11.372764319114788
GALAXY_SOUNDS_BLACK_HOLES,kalman_mle,A,2.5,0.0,-1.0,-1,fixed,0.0,-23812.0,-49455.0,-8.497815235799147,-9.959373018852435,353,605,23812.0,49480.0,-36633.5,-49455.0,-9.959373018852435
GALAXY_SOUNDS_BLACK_HOLES,kalman_mle,A,2.5,0.1,-1.0,-1,fixed,0.0,-24612.0,-50006.0,-8.893258009915753,-10.39167323563727,353,606,24612.0,50006.0,-37309.0,-50006.0,-10.39167323563727
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-24142.0,-79112.0,-8.830860326887503,-12.650910867241606,345,961,24182.0,79112.0,-51627.0,-79112.0,-12.650910867241606
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-24065.0,-80268.0,-9.553305578989036,-14.970898847653366,347,991,24105.0,80268.0,-52166.5,-80268.0,-14.970898847653366
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-25052.0,-79796.0,-9.375503006969867,-13.841398532804002,347,982,25092.0,79796.0,-52424.0,-79796.0,-13.841398532804002
GALAXY_SOUNDS_BLACK_HOLES,ar3_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-24632.0,-80266.0,-9.095606209868095,-13.35410754541017,345,967,24672.0,80266.0,-52449.0,-80266.0,-13.35410754541017
