product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
GALAXY_SOUNDS_DARK_MATTER,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-9830.0,-11717.0,-6.243884899840267,-6.519861827850568,172,160,9890.0,11757.0,-10773.5,-11717.0,-6.519861827850568
GALAXY_SOUNDS_DARK_MATTER,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-10070.0,-11817.0,-6.698303975178889,-6.837551263756413,174,160,10130.0,11857.0,-10943.5,-11817.0,-6.837551263756413
GALAXY_SOUNDS_DARK_MATTER,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-9860.0,-12027.0,-5.981846969964954,-6.44974443208753,172,160,9920.0,12067.0,-10943.5,-12027.0,-6.44974443208753
GALAXY_SOUNDS_DARK_MATTER,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-10070.0,-11867.0,-6.590348905945464,-6.620639870161943,174,160,10130.0,11907.0,-10968.5,-11867.0,-6.620639870161943
GALAXY_SOUNDS_DARK_MATTER,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-10050.0,-12347.0,-6.523466113675673,-6.898955290747488,188,168,10110.0,12347.0,-11198.5,-12347.0,-6.898955290747488
GALAXY_SOUNDS_DARK_MATTER,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-10450.0,-11957.0,-6.572060056948574,-6.652578347379697,188,168,10510.0,11957.0,-11203.5,-11957.0,-6.652578347379697
GALAXY_SOUNDS_DARK_MATTER,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-10670.0,-12136.0,-6.350016968966701,-6.582675126032608,188,169,10730.0,12136.0,-11403.0,-12136.0,-6.582675126032608
GALAXY_SOUNDS_DARK_MATTER,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-11100.0,-12257.0,-7.262230208477061,-7.116928068378175,190,168,11160.0,12257.0,-11678.5,-12257.0,-7.262230208477061
GALAXY_SOUNDS_DARK_MATTER,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-10300.0,-13466.0,-6.707013866333152,-6.862107886860274,184,181,10360.0,13466.0,-11883.0,-13466.0,-6.862107886860274
GALAXY_SOUNDS_DARK_MATTER,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-10590.0,-13387.0,-6.770292376197228,-6.95839516220231,184,180,10650.0,13387.0,-11988.5,-13387.0,-6.95839516220231
GALAXY_SOUNDS_DARK_MATTER,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-10990.0,-13147.0,-7.36650685843436,-7.4154171569978065,186,180,11050.0,13147.0,-12068.5,-13147.0,-7.4154171569978065
GALAXY_SOUNDS_DARK_MATTER,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-10800.0,-13647.0,-7.161985720895138,-7.005308695790736,186,180,10860.0,13647.0,-12223.5,-13647.0,-7.161985720895138
GALAXY_SOUNDS_DARK_MATTER,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-13589.0,-13987.0,-7.4328308856853065,-7.206788916895919,225,202,13589.0,13987.0,-13788.0,-13987.0,-7.4328308856853065
GALAXY_SOUNDS_DARK_MATTER,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-14219.0,-13887.0,-7.704606634305697,-7.7566048185277126,227,202,14219.0,13887.0,-14053.0,-14219.0,-7.7566048185277126
GALAXY_SOUNDS_DARK_MATTER,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-14049.0,-14266.0,-6.9275269914231625,-7.146928638732295,225,203,14049.0,14266.0,-14157.5,-14266.0,-7.146928638732295
GALAXY_SOUNDS_DARK_MATTER,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-13699.0,-14687.0,-7.273857693487609,-7.437830813530697,225,202,13699.0,14687.0,-14193.0,-14687.0,-7.437830813530697
GALAXY_SOUNDS_DARK_MATTER,ar3_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-35681.0,-41299.0,-12.499247874883977,-12.901657130484814,580,652,35681.0,41374.0,-38490.0,-41299.0,-12.901657130484814
GALAXY_SOUNDS_DARK_MATTER,ar3_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-36211.0,-41167.0,-12.1510206716056,-12.866623431062193,578,649,36211.0,41242.0,-38689.0,-41167.0,-12.866623431062193
GALAXY_SOUNDS_DARK_MATTER,ar3_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-35511.0,-42469.0,-12.512884548605498,-12.09061595621217,582,659,35511.0,42544.0,-38990.0,-42469.0,-12.512884548605498
GALAXY_SOUNDS_DARK_MATTER,ar1_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-35701.0,-42636.0,-12.182403451411272,-13.313911228047811,590,666,35701.0,42711.0,-39168.5,-42636.0,-13.313911228047811
