product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.0,0.5,-1.0,-1,fixed,0.0,8360.0,-2025.0,2.71929319418517,-0.3391650321158842,14,23,1545.0,5685.0,3167.5,-2025.0,-0.3391650321158842
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.0,0.0,-1.0,-1,fixed,0.0,11210.0,-4965.0,2.9624932637887276,-0.7162029040944917,14,21,1545.0,8135.0,3122.5,-4965.0,-0.7162029040944917
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.0,0.1,-1.0,-1,fixed,0.0,10960.0,-4895.0,3.0514630517537866,-0.7245744190772256,14,21,1545.0,8065.0,3032.5,-4895.0,-0.7245744190772256
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.5,0.0,-1.0,-1,fixed,0.0,2500.0,2875.0,1.2690079539988117,0.6606283686473866,2,11,835.0,2625.0,2687.5,2500.0,0.6606283686473866
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.5,0.1,-1.0,-1,fixed,0.0,2250.0,2895.0,1.2967570336541112,0.7113254392528118,2,11,835.0,2610.0,2572.5,2250.0,0.7113254392528118
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.5,0.25,-1.0,-1,fixed,0.0,2150.0,2601.0,1.3091738925966552,0.6354028260419065,2,12,835.0,2750.0,2375.5,2150.0,0.6354028260419065
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.0,0.25,-1.0,-1,fixed,0.0,10430.0,-5809.0,3.023161403039709,-0.8665522604000054,14,22,1545.0,8469.0,2310.5,-5809.0,-0.8665522604000054
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,2.5,0.5,-1.0,-1,fixed,0.0,2080.0,1455.0,1.3183320292682614,0.377789044806838,2,11,835.0,2990.0,1767.5,1455.0,0.377789044806838
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.75,0.5,-1.0,-1,fixed,0.0,5060.0,-3985.0,1.5488513863085664,-0.6297704438577196,16,29,2230.0,6170.0,537.5,-3985.0,-0.6297704438577196
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.75,0.0,-1.0,-1,fixed,0.0,8180.0,-8615.0,2.071578786727348,-1.2200592006582118,16,23,2230.0,9445.0,-217.5,-8615.0,-1.2200592006582118
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.75,0.1,-1.0,-1,fixed,0.0,8040.0,-8605.0,2.082621701489839,-1.2501743981471911,16,23,2230.0,9435.0,-282.5,-8605.0,-1.2501743981471911
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.75,0.25,-1.0,-1,fixed,0.0,7270.0,-9469.0,1.98649211614673,-1.3861455408703802,16,24,2230.0,10299.0,-1099.5,-9469.0,-1.3861455408703802
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.25,0.1,-1.0,-1,fixed,0.0,8510.0,-12993.0,1.4458560233323619,-1.5855654677015214,30,37,3460.0,15513.0,-2241.5,-12993.0,-1.5855654677015214
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.25,0.0,-1.0,-1,fixed,0.0,9600.0,-14633.0,1.5766524782078184,-1.7329231710695907,30,35,3460.0,17358.0,-2516.5,-14633.0,-1.7329231710695907
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.25,0.25,-1.0,-1,fixed,0.0,7530.0,-14637.0,1.3455353074556629,-1.8138131810912275,30,38,3460.0,16477.0,-3553.5,-14637.0,-1.8138131810912275
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.5,0.0,-1.0,-1,fixed,0.0,4940.0,-12087.0,1.0475557448965622,-1.613514891414624,18,28,3460.0,12692.0,-3573.5,-12087.0,-1.613514891414624
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.5,0.5,-1.0,-1,fixed,0.0,1450.0,-9237.0,0.35958443598240336,-1.387705392337673,18,34,3460.0,9932.0,-3893.5,-9237.0,-1.387705392337673
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.5,0.1,-1.0,-1,fixed,0.0,4600.0,-12427.0,0.9896807968681747,-1.7056482864031746,18,28,3460.0,13032.0,-3913.5,-12427.0,-1.7056482864031746
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.25,0.5,-1.0,-1,fixed,0.0,3250.0,-12118.0,0.6551040398492259,-1.6472184734952804,30,48,3480.0,14125.0,-4434.0,-12118.0,-1.6472184734952804
GALAXY_SOUNDS_SOLAR_WINDS,median_500,A,1.5,0.25,-1.0,-1,fixed,0.0,3900.0,-13541.0,0.8800761492650101,-1.8779975363041876,18,29,3460.0,14146.0,-4820.5,-13541.0,-1.8779975363041876
