product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
MICROCHIP_CIRCLE,lattice_2,A,2.5,0.0,-1.0,-1,fixed,0.0,-6106.0,-15755.0,-5.411954802908108,-7.139705900617374,347,685,6162.0,15858.0,-10930.5,-15755.0,-7.139705900617374
MICROCHIP_CIRCLE,lattice_2,A,2.5,0.25,-1.0,-1,fixed,0.0,-6243.0,-16118.0,-5.712657172707425,-7.3765395729544245,347,686,6243.0,16221.0,-11180.5,-16118.0,-7.3765395729544245
MICROCHIP_CIRCLE,lattice_2,A,2.5,0.1,-1.0,-1,fixed,0.0,-6106.0,-16335.0,-5.411954802908108,-7.362462744593087,347,686,6162.0,16438.0,-11220.5,-16335.0,-7.362462744593087
MICROCHIP_CIRCLE,markov_10,A,2.5,0.0,-1.0,-1,fixed,0.0,-8303.0,-15047.0,-5.868283326785307,-7.641251351264922,402,734,8359.0,15150.0,-11675.0,-15047.0,-7.641251351264922
MICROCHIP_CIRCLE,lattice_2,A,2.5,0.5,-1.0,-1,fixed,0.0,-6300.0,-17345.0,-5.8330354023621656,-7.626359129155576,347,698,6300.0,17448.0,-11822.5,-17345.0,-7.626359129155576
MICROCHIP_CIRCLE,markov_10,A,2.5,0.1,-1.0,-1,fixed,0.0,-8494.0,-15831.0,-6.020179309714009,-7.823492821408921,403,734,8550.0,15934.0,-12162.5,-15831.0,-7.823492821408921
MICROCHIP_CIRCLE,markov_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-8018.0,-16736.0,-6.1290388167551875,-8.232833029946438,407,734,8018.0,16839.0,-12377.0,-16736.0,-8.232833029946438
MICROCHIP_CIRCLE,markov_20,A,2.5,0.0,-1.0,-1,fixed,0.0,-8471.0,-16587.0,-5.503456820683216,-7.386360083579777,391,750,8527.0,16690.0,-12529.0,-16587.0,-7.386360083579777
MICROCHIP_CIRCLE,markov_50,A,2.5,0.0,-1.0,-1,fixed,0.0,-8813.0,-16269.0,-5.179308020057513,-8.115427548067276,418,775,8869.0,16372.0,-12541.0,-16269.0,-8.115427548067276
MICROCHIP_CIRCLE,markov_50,A,2.5,0.1,-1.0,-1,fixed,0.0,-8917.0,-16625.0,-5.423455382548823,-8.358175431417585,423,776,8973.0,16728.0,-12771.0,-16625.0,-8.358175431417585
MICROCHIP_CIRCLE,markov_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-8051.0,-17651.0,-6.3497710162390835,-8.012883306893382,405,746,8051.0,17754.0,-12851.0,-17651.0,-8.012883306893382
MICROCHIP_CIRCLE,markov_50,A,2.5,0.25,-1.0,-1,fixed,0.0,-8767.0,-16990.0,-5.720912590352365,-8.473328533861443,426,775,8767.0,17093.0,-12878.5,-16990.0,-8.473328533861443
MICROCHIP_CIRCLE,markov_20,A,2.5,0.1,-1.0,-1,fixed,0.0,-8853.0,-17119.0,-5.684695303930571,-7.678423439872735,396,754,8909.0,17222.0,-12986.0,-17119.0,-7.678423439872735
MICROCHIP_CIRCLE,markov_20,A,2.5,0.25,-1.0,-1,fixed,0.0,-8488.0,-17784.0,-5.948671983524248,-7.9757428558481465,399,753,8488.0,17887.0,-13136.0,-17784.0,-7.9757428558481465
MICROCHIP_CIRCLE,markov_50,A,2.5,0.5,-1.0,-1,fixed,0.0,-8430.0,-18033.0,-6.0707017275960835,-8.413219320092692,426,786,8430.0,18136.0,-13231.5,-18033.0,-8.413219320092692
MICROCHIP_CIRCLE,markov_20,A,2.5,0.5,-1.0,-1,fixed,0.0,-8088.0,-18645.0,-6.293941276751371,-7.9734070594129305,399,765,8088.0,18748.0,-13366.5,-18645.0,-7.9734070594129305
MICROCHIP_CIRCLE,lattice_2,A,2.0,0.0,-1.0,-1,fixed,0.0,-30835.0,-50499.0,-11.192340161824776,-12.517236767281931,1366,1995,30835.0,50602.0,-40667.0,-50499.0,-12.517236767281931
MICROCHIP_CIRCLE,lattice_2,A,2.0,0.1,-1.0,-1,fixed,0.0,-30581.0,-52050.0,-11.00571437243292,-12.704280830697467,1364,2017,30581.0,52153.0,-41315.5,-52050.0,-12.704280830697467
MICROCHIP_CIRCLE,markov_10,A,2.0,0.0,-1.0,-1,fixed,0.0,-30708.0,-52088.0,-11.093830936345984,-13.422703491419881,1367,2081,30764.0,52191.0,-41398.0,-52088.0,-13.422703491419881
MICROCHIP_CIRCLE,lattice_2,A,2.0,0.25,-1.0,-1,fixed,0.0,-32185.0,-51459.0,-11.702659729529532,-13.123236442836266,1383,2041,32185.0,51562.0,-41822.0,-51459.0,-13.123236442836266
