product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
MICROCHIP_OVAL,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-940.0,-261.0,-0.994192704381429,-0.6869922011699117,73,10,1529.0,437.0,-600.5,-940.0,-0.994192704381429
MICROCHIP_OVAL,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-1069.0,-269.0,-1.0920690129712285,-0.9911292398251429,72,10,1584.0,340.0,-669.0,-1069.0,-1.0920690129712285
MICROCHIP_OVAL,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-1218.0,-261.0,-1.1909573385701921,-0.6869922011699117,73,10,1827.0,437.0,-739.5,-1218.0,-1.1909573385701921
MICROCHIP_OVAL,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-1238.0,-261.0,-1.2087902906409305,-0.6869922011699117,73,10,1827.0,437.0,-749.5,-1238.0,-1.2087902906409305
MICROCHIP_OVAL,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-2801.0,-282.0,-2.43916405047383,-0.7391760486480348,130,17,3073.0,424.0,-1541.5,-2801.0,-2.43916405047383
MICROCHIP_OVAL,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-2867.0,-242.0,-2.470144276525788,-0.6304169068977278,147,19,3236.0,399.0,-1554.5,-2867.0,-2.470144276525788
MICROCHIP_OVAL,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-2933.0,-282.0,-2.5446946035496785,-0.7391760486480348,133,17,3205.0,424.0,-1607.5,-2933.0,-2.5446946035496785
MICROCHIP_OVAL,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-2935.0,-290.0,-2.492088807816988,-1.0598597935109078,129,17,3179.0,327.0,-1612.5,-2935.0,-2.492088807816988
MICROCHIP_OVAL,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-3001.0,-250.0,-2.522560225571291,-0.9027760334988604,146,19,3342.0,287.0,-1625.5,-3001.0,-2.522560225571291
MICROCHIP_OVAL,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-3067.0,-290.0,-2.5953696462047966,-1.0598597935109078,132,17,3311.0,327.0,-1678.5,-3067.0,-2.5953696462047966
MICROCHIP_OVAL,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-3232.0,-282.0,-2.610280353873058,-0.7391760486480348,130,17,3504.0,424.0,-1757.0,-3232.0,-2.610280353873058
MICROCHIP_OVAL,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-3298.0,-242.0,-2.6397034543539237,-0.6304169068977278,147,19,3667.0,399.0,-1770.0,-3298.0,-2.6397034543539237
MICROCHIP_OVAL,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-3429.0,-172.0,-2.599778997391373,-0.6226362272560172,130,17,3721.0,336.0,-1800.5,-3429.0,-2.599778997391373
MICROCHIP_OVAL,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-3364.0,-282.0,-2.709274179137986,-0.7391760486480348,133,17,3636.0,424.0,-1823.0,-3364.0,-2.709274179137986
MICROCHIP_OVAL,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-3597.0,-132.0,-2.660818856990842,-0.47253284015992136,147,19,3986.0,336.0,-1864.5,-3597.0,-2.660818856990842
MICROCHIP_OVAL,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-3663.0,-172.0,-2.7243155134869896,-0.6226362272560172,133,17,3955.0,336.0,-1917.5,-3663.0,-2.7243155134869896
MICROCHIP_OVAL,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-9372.0,-852.0,-4.538072185389661,-1.534063156167172,483,92,9495.0,931.0,-5112.0,-9372.0,-4.538072185389661
MICROCHIP_OVAL,ar5_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-9734.0,-895.0,-4.274816636308853,-1.588258507314934,484,93,9857.0,974.0,-5314.5,-9734.0,-4.274816636308853
MICROCHIP_OVAL,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-9878.0,-1115.0,-4.768471866340126,-2.197697531639906,484,93,9918.0,1147.0,-5496.5,-9878.0,-4.768471866340126
MICROCHIP_OVAL,ar5_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-10253.0,-778.0,-4.214474157968766,-1.3847450042065717,480,94,10415.0,902.0,-5515.5,-10253.0,-4.214474157968766
