product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
MICROCHIP_TRIANGLE,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-330.0,-349.0,-0.6110566297525803,-0.6004557680710283,80,51,477.0,715.0,-339.5,-349.0,-0.6110566297525803
MICROCHIP_TRIANGLE,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-540.0,-157.0,-1.0016388873320092,-0.3091413686563043,80,53,599.0,523.0,-348.5,-540.0,-1.0016388873320092
MICROCHIP_TRIANGLE,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-551.0,-211.0,-1.0170894391805763,-0.37449317321782055,80,54,610.0,510.0,-381.0,-551.0,-1.0170894391805763
MICROCHIP_TRIANGLE,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-692.0,-292.0,-1.2373706342039559,-0.5145546226916177,80,54,751.0,582.0,-492.0,-692.0,-1.2373706342039559
MICROCHIP_TRIANGLE,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-4198.0,-295.0,-3.0191874498066076,-0.8037494792421249,248,87,4205.0,805.0,-2246.5,-4198.0,-3.0191874498066076
MICROCHIP_TRIANGLE,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-4404.0,-420.0,-3.243902073857582,-0.8966495740015749,248,88,4411.0,930.0,-2412.0,-4404.0,-3.243902073857582
MICROCHIP_TRIANGLE,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-4252.0,-984.0,-2.845789897404696,-1.3493961717873282,248,85,4259.0,1409.0,-2618.0,-4252.0,-2.845789897404696
MICROCHIP_TRIANGLE,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-4112.0,-1244.0,-2.2218177742430227,-1.496211469442081,356,100,4495.0,1575.0,-2678.0,-4112.0,-2.2218177742430227
MICROCHIP_TRIANGLE,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5022.0,-501.0,-3.561195792584321,-1.0134259922206876,248,88,5029.0,1011.0,-2761.5,-5022.0,-3.561195792584321
MICROCHIP_TRIANGLE,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-4552.0,-1023.0,-2.65702224028298,-1.2923508414923741,356,102,4799.0,1354.0,-2787.5,-4552.0,-2.65702224028298
MICROCHIP_TRIANGLE,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-4822.0,-1203.0,-2.803408729164045,-1.5307436444444285,343,106,5202.0,1534.0,-3012.5,-4822.0,-2.803408729164045
MICROCHIP_TRIANGLE,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-4746.0,-1424.0,-2.4269373830086853,-1.712608610121124,343,104,5126.0,1755.0,-3085.0,-4746.0,-2.4269373830086853
MICROCHIP_TRIANGLE,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-5126.0,-1148.0,-3.001975867837687,-1.3328481329939632,356,103,5369.0,1479.0,-3137.0,-5126.0,-3.001975867837687
MICROCHIP_TRIANGLE,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-5375.0,-1328.0,-3.158386706134995,-1.550575918803576,343,107,5618.0,1659.0,-3351.5,-5375.0,-3.158386706134995
MICROCHIP_TRIANGLE,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5904.0,-1229.0,-3.3020201533559,-1.4454703270134999,356,103,6147.0,1560.0,-3566.5,-5904.0,-3.3020201533559
MICROCHIP_TRIANGLE,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-6212.0,-1409.0,-3.50487205962938,-1.6089360703419766,343,107,6455.0,1740.0,-3810.5,-6212.0,-3.50487205962938
MICROCHIP_TRIANGLE,ar5_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-8374.0,-7720.0,-3.1232300710244205,-3.958142464115112,545,316,8381.0,7877.0,-8047.0,-8374.0,-3.958142464115112
MICROCHIP_TRIANGLE,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-9489.0,-7188.0,-3.8752637453263308,-4.318570899523386,547,318,9592.0,7345.0,-8338.5,-9489.0,-4.318570899523386
MICROCHIP_TRIANGLE,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-10025.0,-6691.0,-3.9206632273566706,-4.143186807364099,547,318,10032.0,6848.0,-8358.0,-10025.0,-4.143186807364099
MICROCHIP_TRIANGLE,ar5_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-9057.0,-7754.0,-3.5129960830046976,-3.9559816413667277,546,319,9064.0,7911.0,-8405.5,-9057.0,-3.9559816413667277
