product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-120.0,-60.0,-1.0050890913907342,-1.7589059099337851,2,6,120.0,100.0,-90.0,-120.0,-1.7589059099337851
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-120.0,-60.0,-1.0050890913907342,-1.7589059099337851,2,6,120.0,100.0,-90.0,-120.0,-1.7589059099337851
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-420.0,-60.0,-1.3890983665948125,-1.7589059099337851,2,6,460.0,100.0,-240.0,-420.0,-1.7589059099337851
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-420.0,-60.0,-1.3890983665948125,-1.7589059099337851,2,6,420.0,100.0,-240.0,-420.0,-1.7589059099337851
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-370.0,-10338.0,-1.1752419186933782,-5.384043714529461,11,266,480.0,10478.0,-5354.0,-10338.0,-5.384043714529461
OXYGEN_SHAKE_EVENING_BREATH,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-350.0,-10498.0,-0.953064379007122,-5.501068789309004,29,262,520.0,10638.0,-5424.0,-10498.0,-5.501068789309004
OXYGEN_SHAKE_EVENING_BREATH,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-466.0,-10598.0,-1.0269138477820683,-5.415828795619509,24,262,520.0,10738.0,-5532.0,-10598.0,-5.415828795619509
OXYGEN_SHAKE_EVENING_BREATH,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-290.0,-11574.0,-0.7920703758951811,-6.540083076068408,23,265,520.0,11714.0,-5932.0,-11574.0,-6.540083076068408
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-370.0,-11514.0,-1.1752419186933782,-6.581970561985151,11,269,480.0,11654.0,-5942.0,-11514.0,-6.581970561985151
OXYGEN_SHAKE_EVENING_BREATH,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-490.0,-11394.0,-1.2682442659657955,-5.873486267524694,33,267,540.0,11534.0,-5942.0,-11394.0,-5.873486267524694
OXYGEN_SHAKE_EVENING_BREATH,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-490.0,-11514.0,-1.2682442659657955,-6.581970561985151,33,269,540.0,11654.0,-6002.0,-11514.0,-6.581970561985151
OXYGEN_SHAKE_EVENING_BREATH,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-350.0,-11774.0,-0.953064379007122,-6.530032722559162,29,265,520.0,11914.0,-6062.0,-11774.0,-6.530032722559162
OXYGEN_SHAKE_EVENING_BREATH,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,10.0,-12304.0,0.04222041319077351,-7.763679826093594,23,264,220.0,12444.0,-6147.0,-12304.0,-7.763679826093594
OXYGEN_SHAKE_EVENING_BREATH,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,10.0,-12304.0,0.04222041319077351,-7.763679826093594,23,264,220.0,12444.0,-6147.0,-12304.0,-7.763679826093594
OXYGEN_SHAKE_EVENING_BREATH,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-50.0,-12304.0,-0.2089240388145127,-7.763679826093594,29,264,220.0,12444.0,-6177.0,-12304.0,-7.763679826093594
OXYGEN_SHAKE_EVENING_BREATH,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-50.0,-12304.0,-0.2089240388145127,-7.763679826093594,29,264,220.0,12444.0,-6177.0,-12304.0,-7.763679826093594
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-70.0,-12444.0,-0.47573381730216047,-7.894676085271313,11,268,180.0,12584.0,-6257.0,-12444.0,-7.894676085271313
OXYGEN_SHAKE_EVENING_BREATH,ar5_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-70.0,-12544.0,-0.47573381730216047,-7.913381902520262,11,268,180.0,12684.0,-6307.0,-12544.0,-7.913381902520262
OXYGEN_SHAKE_EVENING_BREATH,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-190.0,-12544.0,-0.705470300042283,-7.913381902520262,33,268,330.0,12684.0,-6367.0,-12544.0,-7.913381902520262
OXYGEN_SHAKE_EVENING_BREATH,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-490.0,-12544.0,-1.2682442659657955,-7.913381902520262,33,268,540.0,12684.0,-6517.0,-12544.0,-7.913381902520262
