product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
OXYGEN_SHAKE_MORNING_BREATH,mean_50,A,2.5,0.0,-1.0,-1,fixed,0.0,1522.0,-730.0,0.8771894412483535,-0.6291777592766395,40,18,1830.0,2070.0,396.0,-730.0,-0.6291777592766395
OXYGEN_SHAKE_MORNING_BREATH,mean_50,A,2.5,0.1,-1.0,-1,fixed,0.0,1352.0,-880.0,0.8206676134648199,-0.7876544856409258,40,18,1830.0,2250.0,236.0,-880.0,-0.7876544856409258
OXYGEN_SHAKE_MORNING_BREATH,mean_50,A,2.5,0.25,-1.0,-1,fixed,0.0,942.0,-1359.0,0.616934458773526,-1.124186913469802,40,19,1845.0,2250.0,-208.5,-1359.0,-1.124186913469802
OXYGEN_SHAKE_MORNING_BREATH,mean_50,A,2.5,0.5,-1.0,-1,fixed,0.0,642.0,-1200.0,0.47808830978240024,-1.0089719025763952,40,18,1955.0,2250.0,-279.0,-1200.0,-1.0089719025763952
OXYGEN_SHAKE_MORNING_BREATH,ewma_10,A,2.5,0.0,-1.0,-1,fixed,0.0,-1098.0,-684.0,-0.368771610175105,-0.5860749652603785,52,23,2245.0,1390.0,-891.0,-1098.0,-0.5860749652603785
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,2.5,0.0,-1.0,-1,fixed,0.0,-2460.0,0.0,-1.056819136646926,0.0,2,0,4325.0,0.0,-1230.0,-2460.0,-1.056819136646926
OXYGEN_SHAKE_MORNING_BREATH,ewma_10,A,2.5,0.1,-1.0,-1,fixed,0.0,-1448.0,-1034.0,-0.5518210112776522,-0.8825956049964757,52,23,2245.0,1464.0,-1241.0,-1448.0,-0.8825956049964757
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,2.5,0.1,-1.0,-1,fixed,0.0,-2520.0,0.0,-1.0875458822038462,0.0,2,0,4325.0,0.0,-1260.0,-2520.0,-1.0875458822038462
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,2.5,0.25,-1.0,-1,fixed,0.0,-2630.0,0.0,-1.142675826544075,0.0,2,0,4325.0,0.0,-1315.0,-2630.0,-1.142675826544075
OXYGEN_SHAKE_MORNING_BREATH,ewma_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-1448.0,-1436.0,-0.6423487273789656,-1.1487975195283566,53,24,2855.0,1806.0,-1442.0,-1448.0,-1.1487975195283566
OXYGEN_SHAKE_MORNING_BREATH,holt,A,2.5,0.25,-1.0,-1,fixed,0.0,-2185.0,-948.0,-1.0252277220530273,-0.549911727584847,41,34,3830.0,3389.0,-1566.5,-2185.0,-1.0252277220530273
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,2.5,0.5,-1.0,-1,fixed,0.0,-3140.0,0.0,-1.37160961240481,0.0,2,0,4325.0,0.0,-1570.0,-3140.0,-1.37160961240481
OXYGEN_SHAKE_MORNING_BREATH,holt,A,2.5,0.5,-1.0,-1,fixed,0.0,-1667.0,-1530.0,-0.739466641734756,-0.926247779783337,42,34,3792.0,3261.0,-1598.5,-1667.0,-0.926247779783337
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,1.25,0.5,-1.0,-1,fixed,0.0,-7750.0,4368.0,-1.2004938742239315,1.4921322247964728,41,23,10775.0,1830.0,-1691.0,-7750.0,-1.2004938742239315
OXYGEN_SHAKE_MORNING_BREATH,mean_50,A,2.0,0.5,-1.0,-1,fixed,0.0,-3011.0,-500.0,-0.9080520679727525,-0.19652131497116818,87,66,4065.0,2895.0,-1755.5,-3011.0,-0.9080520679727525
OXYGEN_SHAKE_MORNING_BREATH,ewma_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-2304.0,-1500.0,-1.006109065600134,-1.1862720874984884,53,23,2661.0,1840.0,-1902.0,-2304.0,-1.1862720874984884
OXYGEN_SHAKE_MORNING_BREATH,holt,A,2.0,0.25,-1.0,-1,fixed,0.0,-2542.0,-1705.0,-0.5693516860350051,-0.5732537598774055,107,104,3389.0,4409.0,-2123.5,-2542.0,-0.5732537598774055
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,1.25,0.25,-1.0,-1,fixed,0.0,-9100.0,4820.0,-1.2500544231976742,1.3627708924039594,31,18,12965.0,2510.0,-2140.0,-9100.0,-1.2500544231976742
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,2.0,0.0,-1.0,-1,fixed,0.0,-4280.0,0.0,-1.1093066484001057,0.0,6,0,6360.0,0.0,-2140.0,-4280.0,-1.1093066484001057
OXYGEN_SHAKE_MORNING_BREATH,rangemid_500,A,2.0,0.1,-1.0,-1,fixed,0.0,-4420.0,0.0,-1.1476334400640527,0.0,6,0,6360.0,0.0,-2210.0,-4420.0,-1.1476334400640527
