product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
PANEL_2X2,ar2_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-2948.0,-1780.0,-3.8866453284170994,-2.717212228249052,133,58,2951.0,1780.0,-2364.0,-2948.0,-3.8866453284170994
PANEL_2X2,ar2_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-2976.0,-1911.0,-3.813128203820122,-2.7761887716891067,132,59,2979.0,1911.0,-2443.5,-2976.0,-3.813128203820122
PANEL_2X2,ar2_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-3261.0,-1699.0,-3.4256401678361894,-2.6008728704763766,136,58,3263.0,1706.0,-2480.0,-3261.0,-3.4256401678361894
PANEL_2X2,ar2_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-3512.0,-1800.0,-3.6139934495059807,-2.7341647573263654,135,59,3514.0,1807.0,-2656.0,-3512.0,-3.6139934495059807
PANEL_2X2,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-5882.0,-1774.0,-4.229870131523479,-2.636632722525494,202,66,5884.0,1774.0,-3828.0,-5882.0,-4.229870131523479
PANEL_2X2,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-6232.0,-1905.0,-4.36435871774816,-2.7010812274191998,200,67,6234.0,1905.0,-4068.5,-6232.0,-4.36435871774816
PANEL_2X2,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-6669.0,-1621.0,-4.319524640344717,-2.4310057825608897,202,65,6671.0,1628.0,-4145.0,-6669.0,-4.319524640344717
PANEL_2X2,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-6635.0,-1794.0,-4.327883831722441,-2.653856184880766,202,67,6637.0,1801.0,-4214.5,-6635.0,-4.327883831722441
PANEL_2X2,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-6728.0,-1874.0,-4.752612934372099,-2.8315636714652204,226,70,6730.0,1874.0,-4301.0,-6728.0,-4.752612934372099
PANEL_2X2,ar3_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-6761.0,-2068.0,-4.81806458638669,-2.8807431922216438,225,72,6763.0,2068.0,-4414.5,-6761.0,-4.81806458638669
PANEL_2X2,ar3_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-7617.0,-1741.0,-4.771862348193464,-2.6475297756575418,226,69,7619.0,1748.0,-4679.0,-7617.0,-4.771862348193464
PANEL_2X2,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-7574.0,-1894.0,-4.844525764183854,-2.848048515411798,227,71,7576.0,1901.0,-4734.0,-7574.0,-4.844525764183854
PANEL_2X2,markov_20,A,2.5,0.5,-1.0,-1,fixed,0.0,-12009.0,-3309.0,-6.0776100044924775,-4.194020164521108,387,124,12011.0,3309.0,-7659.0,-12009.0,-6.0776100044924775
PANEL_2X2,markov_20,A,2.5,0.1,-1.0,-1,fixed,0.0,-12434.0,-3393.0,-6.23436551197952,-3.996825106395862,386,123,12436.0,3400.0,-7913.5,-12434.0,-6.23436551197952
PANEL_2X2,markov_20,A,2.5,0.0,-1.0,-1,fixed,0.0,-12599.0,-3275.0,-6.258209171179453,-3.6958672174053637,385,123,12601.0,3282.0,-7937.0,-12599.0,-6.258209171179453
PANEL_2X2,markov_20,A,2.5,0.25,-1.0,-1,fixed,0.0,-12454.0,-3669.0,-6.2506312929009935,-4.106458764576228,381,125,12456.0,3669.0,-8061.5,-12454.0,-6.2506312929009935
PANEL_2X2,ar2_dx,A,2.0,0.25,-1.0,-1,fixed,0.0,-17648.0,-11739.0,-7.594246059107381,-7.378905301400212,579,409,17650.0,11739.0,-14693.5,-17648.0,-7.594246059107381
PANEL_2X2,ar2_dx,A,2.0,0.1,-1.0,-1,fixed,0.0,-17894.0,-11846.0,-7.441410489242498,-7.312028465601279,578,413,17896.0,11853.0,-14870.0,-17894.0,-7.441410489242498
PANEL_2X2,ar2_dx,A,2.0,0.0,-1.0,-1,fixed,0.0,-17709.0,-12284.0,-7.316155056265138,-6.798330110145029,577,413,17711.0,12291.0,-14996.5,-17709.0,-7.316155056265138
PANEL_2X2,ar2_dx,A,2.0,0.5,-1.0,-1,fixed,0.0,-18432.0,-12169.0,-7.55918166038661,-7.707570598936764,589,415,18434.0,12169.0,-15300.5,-18432.0,-7.707570598936764
