product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
PEBBLES_S,ewma_50,A,1.25,0.0,-1.0,-1,fixed,0.0,12323.0,-12966.0,1.4766470406009147,-1.2878209513125252,121,126,9719.0,21726.0,-321.5,-12966.0,-1.2878209513125252
PEBBLES_S,ewma_50,A,1.25,0.1,-1.0,-1,fixed,0.0,13067.0,-14758.0,1.5562352719151828,-1.4375475349703692,130,131,10099.0,21686.0,-845.5,-14758.0,-1.4375475349703692
PEBBLES_S,ewma_50,A,2.5,0.0,-1.0,-1,fixed,0.0,1595.0,-3380.0,0.8235251444975571,-0.6586222792103709,7,24,2730.0,9070.0,-892.5,-3380.0,-0.6586222792103709
PEBBLES_S,ewma_50,A,1.5,0.0,-1.0,-1,fixed,0.0,13549.0,-15470.0,2.009041100569251,-1.7273895849819965,82,86,8290.0,21788.0,-960.5,-15470.0,-1.7273895849819965
PEBBLES_S,ewma_50,A,2.5,0.25,-1.0,-1,fixed,0.0,990.0,-3072.0,0.6205219873082097,-0.5740294606639252,6,27,2730.0,9420.0,-1041.0,-3072.0,-0.5740294606639252
PEBBLES_S,ewma_25,A,2.5,0.5,-1.0,-1,fixed,0.0,0.0,-2625.0,0.0,-0.7706145172636956,16,37,2935.0,4470.0,-1312.5,-2625.0,-0.7706145172636956
PEBBLES_S,microprice_ewma25,A,2.5,0.5,-1.0,-1,fixed,0.0,0.0,-2625.0,0.0,-0.7706145172636956,16,37,2935.0,4470.0,-1312.5,-2625.0,-0.7706145172636956
PEBBLES_S,ewma_50,A,2.5,0.1,-1.0,-1,fixed,0.0,1465.0,-4312.0,0.7760021606196434,-0.8569519788985754,7,25,2730.0,9370.0,-1423.5,-4312.0,-0.8569519788985754
PEBBLES_S,ewma_50,A,1.0,0.0,-1.0,-1,fixed,0.0,11107.0,-14211.0,1.0837033684755641,-1.330060819870569,164,171,10460.0,25101.0,-1552.0,-14211.0,-1.330060819870569
PEBBLES_S,ewma_50,A,1.5,0.1,-1.0,-1,fixed,0.0,13025.0,-17212.0,1.9452557974350257,-1.8940650540498574,86,89,8670.0,22900.0,-2093.5,-17212.0,-1.8940650540498574
PEBBLES_S,ewma_50,A,2.5,0.5,-1.0,-1,fixed,0.0,490.0,-5010.0,0.28899252927026264,-0.9927838052881921,6,26,2730.0,9980.0,-2260.0,-5010.0,-0.9927838052881921
PEBBLES_S,ewma_50,A,1.0,0.1,-1.0,-1,fixed,0.0,13431.0,-17955.0,1.3604544450688907,-1.6572772373392428,183,179,10840.0,26533.0,-2262.0,-17955.0,-1.6572772373392428
PEBBLES_S,ewma_50,A,1.5,0.25,-1.0,-1,fixed,0.0,11954.0,-17077.0,1.8501420239484634,-1.8563666426226642,85,96,8810.0,24283.0,-2561.5,-17077.0,-1.8563666426226642
PEBBLES_S,ewma_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-1830.0,-3930.0,-0.485391783819759,-1.042715147898021,62,88,4535.0,5720.0,-2880.0,-3930.0,-1.042715147898021
PEBBLES_S,ewma_50,A,1.25,0.25,-1.0,-1,fixed,0.0,10966.0,-17685.0,1.3823841214381998,-1.7322458075279439,133,137,10409.0,25553.0,-3359.5,-17685.0,-1.7322458075279439
PEBBLES_S,ewma_10,A,2.5,0.0,-1.0,-1,fixed,0.0,602.0,-7905.0,0.29502027779767137,-1.6416316398924964,61,83,4735.0,9615.0,-3651.5,-7905.0,-1.6416316398924964
PEBBLES_S,ewma_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-1450.0,-6020.0,-0.2893749081008462,-1.4705097842375612,61,84,5735.0,7740.0,-3735.0,-6020.0,-1.4705097842375612
PEBBLES_S,microprice_ewma25,A,2.0,0.5,-1.0,-1,fixed,0.0,3778.0,-12728.0,0.9725449306879391,-2.0581029027414064,66,103,3825.0,15278.0,-4475.0,-12728.0,-2.0581029027414064
PEBBLES_S,ewma_25,A,2.0,0.5,-1.0,-1,fixed,0.0,3778.0,-12728.0,0.9725449306879391,-2.0581029027414064,66,103,3825.0,15278.0,-4475.0,-12728.0,-2.0581029027414064
PEBBLES_S,ewma_25,A,2.5,0.25,-1.0,-1,fixed,0.0,-2530.0,-6435.0,-1.0369118548645517,-1.325919439143935,16,35,4700.0,7515.0,-4482.5,-6435.0,-1.325919439143935
