product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
ROBOT_DISHES,ewma_10,A,1.0,0.25,-1.0,-1,fixed,0.0,-28668.0,308336.0,-4.70629572910975,10.585749217544134,1341,1983,30226.0,7323.0,139834.0,-28668.0,-4.70629572910975
ROBOT_DISHES,ewma_10,A,1.0,0.5,-1.0,-1,fixed,0.0,-32710.0,310121.0,-5.716672131066616,10.839548072408412,1584,2111,34186.0,6529.0,138705.5,-32710.0,-5.716672131066616
ROBOT_DISHES,ewma_10,A,0.8,0.25,-1.0,-1,fixed,0.0,-38477.0,315338.0,-6.159643338713955,10.395997436060988,1729,2122,40085.0,7350.0,138430.5,-38477.0,-6.159643338713955
ROBOT_DISHES,ewma_10,A,0.5,0.1,-1.0,-1,fixed,0.0,-51637.0,326986.0,-8.112061323775233,10.14542095449198,2234,2171,52742.0,8740.0,137674.5,-51637.0,-8.112061323775233
ROBOT_DISHES,ewma_10,A,1.0,0.1,-1.0,-1,fixed,0.0,-30243.0,304357.0,-4.576690251156713,10.319218336260622,1172,1877,31775.0,7079.0,137057.0,-30243.0,-4.576690251156713
ROBOT_DISHES,ewma_10,A,0.8,0.1,-1.0,-1,fixed,0.0,-36716.0,310309.0,-5.44535639444271,10.112061887432105,1490,1992,38254.0,7041.0,136796.5,-36716.0,-5.44535639444271
ROBOT_DISHES,holt,A,0.5,0.1,-1.0,-1,fixed,0.0,-45670.0,318586.0,-6.270221606512363,10.097883836365547,1752,2145,47162.0,7376.0,136458.0,-45670.0,-6.270221606512363
ROBOT_DISHES,ewma_10,A,0.8,0.5,-1.0,-1,fixed,0.0,-46107.0,318329.0,-7.850098449734473,10.696002575123927,2189,2283,47596.0,7523.0,136111.0,-46107.0,-7.850098449734473
ROBOT_DISHES,holt,A,0.8,0.5,-1.0,-1,fixed,0.0,-42699.0,313121.0,-7.482900688951557,10.35306867831902,1745,2166,44047.0,7601.0,135211.0,-42699.0,-7.482900688951557
ROBOT_DISHES,ewma_10,A,1.25,0.5,-1.0,-1,fixed,0.0,-25320.0,295653.0,-4.740355231327006,10.825746946527184,1080,1937,26784.0,6411.0,135166.5,-25320.0,-4.740355231327006
ROBOT_DISHES,holt,A,0.5,0.25,-1.0,-1,fixed,0.0,-52892.0,323179.0,-7.931543066971995,10.415089191156616,2111,2292,54125.0,7673.0,135143.5,-52892.0,-7.931543066971995
ROBOT_DISHES,ewma_10,A,0.5,0.25,-1.0,-1,fixed,0.0,-60007.0,330224.0,-10.528126743055358,10.295536098418737,2705,2346,61008.0,10051.0,135108.5,-60007.0,-10.528126743055358
ROBOT_DISHES,ewma_10,A,0.5,0.0,-1.0,-1,fixed,0.0,-48362.0,318175.0,-7.347533209043481,10.035880171147472,1956,2059,49298.0,8306.0,134906.5,-48362.0,-7.347533209043481
ROBOT_DISHES,ewma_10,A,1.25,0.25,-1.0,-1,fixed,0.0,-23104.0,292848.0,-4.098185181379364,10.501186250184015,969,1838,24544.0,6740.0,134872.0,-23104.0,-4.098185181379364
ROBOT_DISHES,holt,A,0.8,0.25,-1.0,-1,fixed,0.0,-35504.0,305012.0,-5.561243629111305,10.326747577991727,1349,2017,36957.0,6948.0,134754.0,-35504.0,-5.561243629111305
ROBOT_DISHES,ewma_10,A,1.5,0.5,-1.0,-1,fixed,0.0,-19723.0,289017.0,-4.243372100801575,10.837634387384167,718,1810,21169.0,6193.0,134647.0,-19723.0,-4.243372100801575
ROBOT_DISHES,ewma_10,A,1.0,0.0,-1.0,-1,fixed,0.0,-29181.0,298423.0,-4.23133129237685,10.16803395162888,1096,1795,30810.0,7125.0,134621.0,-29181.0,-4.23133129237685
ROBOT_DISHES,median_50,A,2.0,0.25,-1.0,-1,fixed,0.0,-1933.0,270167.0,-0.5927488479977852,11.36666788700701,242,1631,4663.0,4053.0,134117.0,-1933.0,-0.5927488479977852
ROBOT_DISHES,holt,A,0.5,0.0,-1.0,-1,fixed,0.0,-44071.0,312158.0,-5.673354929179039,9.811372168475714,1552,2066,45965.0,7553.0,134043.5,-44071.0,-5.673354929179039
ROBOT_DISHES,ewma_10,A,2.0,0.5,-1.0,-1,fixed,0.0,-6458.0,272533.0,-1.902294122772678,11.466700346695758,375,1602,7792.0,4046.0,133037.5,-6458.0,-1.902294122772678
