product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
SNACKPACK_CHOCOLATE,median_50,A,2.5,0.5,-1.0,-1,fixed,0.0,-2132.0,566.0,-1.3933805358080071,0.6907679914465232,47,29,2652.0,1100.0,-783.0,-2132.0,-1.3933805358080071
SNACKPACK_CHOCOLATE,ewma_10,A,2.5,0.0,-1.0,-1,fixed,0.0,-2491.0,278.0,-1.4300151761831872,0.2605121928557205,50,43,3305.0,1325.0,-1106.5,-2491.0,-1.4300151761831872
SNACKPACK_CHOCOLATE,ewma_10,A,2.5,0.1,-1.0,-1,fixed,0.0,-2031.0,-262.0,-1.2434025185926993,-0.24868492580641516,52,43,2795.0,1605.0,-1146.5,-2031.0,-1.2434025185926993
SNACKPACK_CHOCOLATE,ewma_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-2151.0,-582.0,-1.2841171716780764,-0.5732049945977787,52,43,2865.0,1835.0,-1366.5,-2151.0,-1.2841171716780764
SNACKPACK_CHOCOLATE,ewma_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-2271.0,-512.0,-1.329301435680187,-0.7994769969062236,52,45,2755.0,1075.0,-1391.5,-2271.0,-1.329301435680187
SNACKPACK_CHOCOLATE,holt,A,2.5,0.5,-1.0,-1,fixed,0.0,-2681.0,-180.0,-1.4056280001423205,-0.25157663257230073,46,30,3316.0,830.0,-1430.5,-2681.0,-1.4056280001423205
SNACKPACK_CHOCOLATE,holt,A,2.5,0.0,-1.0,-1,fixed,0.0,-2641.0,-430.0,-1.3478160764026401,-0.41234179049566205,46,30,3315.0,1345.0,-1535.5,-2641.0,-1.3478160764026401
SNACKPACK_CHOCOLATE,median_50,A,2.5,0.25,-1.0,-1,fixed,0.0,-4000.0,916.0,-2.131739550632336,0.9772254334438861,42,29,4650.0,1100.0,-1542.0,-4000.0,-2.131739550632336
SNACKPACK_CHOCOLATE,holt,A,2.5,0.1,-1.0,-1,fixed,0.0,-2511.0,-710.0,-1.2678628375296084,-0.7011997429838762,46,30,3011.0,1365.0,-1610.5,-2511.0,-1.2678628375296084
SNACKPACK_CHOCOLATE,holt,A,2.5,0.25,-1.0,-1,fixed,0.0,-2495.0,-930.0,-1.264098190132916,-0.9062874184193598,45,30,2965.0,1515.0,-1712.5,-2495.0,-1.264098190132916
SNACKPACK_CHOCOLATE,median_50,A,2.5,0.1,-1.0,-1,fixed,0.0,-4230.0,596.0,-2.268230648563188,0.7106689132615445,42,29,4830.0,1040.0,-1817.0,-4230.0,-2.268230648563188
SNACKPACK_CHOCOLATE,median_50,A,2.5,0.0,-1.0,-1,fixed,0.0,-4080.0,126.0,-2.1561047434040472,0.13206534089243724,42,29,4900.0,1200.0,-1977.0,-4080.0,-2.1561047434040472
SNACKPACK_CHOCOLATE,median_50,A,2.0,0.5,-1.0,-1,fixed,0.0,-7033.0,-3448.0,-2.8838674587216837,-2.2538344839862763,120,72,7668.0,4743.0,-5240.5,-7033.0,-2.8838674587216837
SNACKPACK_CHOCOLATE,median_50,A,2.0,0.25,-1.0,-1,fixed,0.0,-9081.0,-2998.0,-3.259791219296603,-1.8792482078028678,115,71,9871.0,4453.0,-6039.5,-9081.0,-3.259791219296603
SNACKPACK_CHOCOLATE,median_50,A,2.0,0.0,-1.0,-1,fixed,0.0,-8684.0,-3438.0,-3.0705501122310777,-1.9607345004071985,118,71,9603.0,4318.0,-6061.0,-8684.0,-3.0705501122310777
SNACKPACK_CHOCOLATE,median_50,A,2.0,0.1,-1.0,-1,fixed,0.0,-9074.0,-3428.0,-3.2459666664518845,-2.088826576824193,116,71,9924.0,4408.0,-6251.0,-9074.0,-3.2459666664518845
SNACKPACK_CHOCOLATE,holt,A,2.0,0.5,-1.0,-1,fixed,0.0,-9127.0,-3575.0,-3.3095707090440407,-2.225297705973525,123,99,9717.0,4005.0,-6351.0,-9127.0,-3.3095707090440407
SNACKPACK_CHOCOLATE,holt,A,2.0,0.25,-1.0,-1,fixed,0.0,-8751.0,-4561.0,-2.945871645075864,-2.4793380806546796,120,98,9391.0,5386.0,-6656.0,-8751.0,-2.945871645075864
SNACKPACK_CHOCOLATE,holt,A,2.0,0.0,-1.0,-1,fixed,0.0,-9907.0,-4150.0,-3.0647025484725625,-1.9811641507288198,119,92,10592.0,5420.0,-7028.5,-9907.0,-3.0647025484725625
SNACKPACK_CHOCOLATE,holt,A,2.0,0.1,-1.0,-1,fixed,0.0,-9777.0,-5006.0,-3.004627562441233,-2.403756160448804,119,93,10372.0,5871.0,-7391.5,-9777.0,-3.004627562441233
