product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
TRANSLATOR_ASTRO_BLACK,median_50,A,2.5,0.0,-1.0,-1,fixed,0.0,1393.0,354.0,1.4018437372710013,0.02645743564437254,27,64,863.0,2200.0,873.5,354.0,0.02645743564437254
TRANSLATOR_ASTRO_BLACK,median_50,A,2.5,0.1,-1.0,-1,fixed,0.0,1172.0,-648.0,1.2359229408409507,-0.40087537639214404,28,66,850.0,2743.0,262.0,-648.0,-0.40087537639214404
TRANSLATOR_ASTRO_BLACK,median_50,A,2.5,0.25,-1.0,-1,fixed,0.0,1318.0,-814.0,1.343662248354208,-0.46894519077570723,26,69,850.0,2779.0,252.0,-814.0,-0.46894519077570723
TRANSLATOR_ASTRO_BLACK,median_50,A,2.5,0.5,-1.0,-1,fixed,0.0,595.0,-1885.0,0.6385373700637249,-0.8665028673418458,28,69,1048.0,3368.0,-645.0,-1885.0,-0.8665028673418458
TRANSLATOR_ASTRO_BLACK,median_50,A,2.0,0.0,-1.0,-1,fixed,0.0,1750.0,-4616.0,0.8241106432217268,-1.3366945137392237,80,122,2137.0,7877.0,-1433.0,-4616.0,-1.3366945137392237
TRANSLATOR_ASTRO_BLACK,median_50,A,2.0,0.1,-1.0,-1,fixed,0.0,1119.0,-5935.0,0.5397634886621941,-1.6568421819165233,81,125,2166.0,8717.0,-2408.0,-5935.0,-1.6568421819165233
TRANSLATOR_ASTRO_BLACK,median_50,A,2.0,0.25,-1.0,-1,fixed,0.0,725.0,-6161.0,0.3635397721390952,-1.841169267231359,80,127,2354.0,8724.0,-2718.0,-6161.0,-1.841169267231359
TRANSLATOR_ASTRO_BLACK,median_50,A,2.0,0.5,-1.0,-1,fixed,0.0,-229.0,-6051.0,-0.11451226358991656,-1.7424820812439246,82,127,2724.0,8451.0,-3140.0,-6051.0,-1.7424820812439246
TRANSLATOR_ASTRO_BLACK,ar1_dx,A,2.5,0.0,-1.0,-1,fixed,0.0,-1178.0,-5328.0,-1.947579598761132,-4.078037165319393,42,149,1226.0,5376.0,-3253.0,-5328.0,-4.078037165319393
TRANSLATOR_ASTRO_BLACK,median_50,A,1.75,0.0,-1.0,-1,fixed,0.0,2196.0,-8750.0,0.6182343568643779,-1.938770666520528,140,187,2825.0,11076.0,-3277.0,-8750.0,-1.938770666520528
TRANSLATOR_ASTRO_BLACK,ar1_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-1398.0,-5822.0,-2.2101829502267023,-4.0609978218207115,42,147,1446.0,5870.0,-3610.0,-5822.0,-4.0609978218207115
TRANSLATOR_ASTRO_BLACK,median_50,A,1.75,0.25,-1.0,-1,fixed,0.0,1557.0,-9172.0,0.4454045817824485,-2.112017113527638,142,204,3099.0,10799.0,-3807.5,-9172.0,-2.112017113527638
TRANSLATOR_ASTRO_BLACK,median_50,A,1.75,0.1,-1.0,-1,fixed,0.0,1390.0,-9117.0,0.31357992667772844,-1.9729568656854766,145,196,3022.0,10991.0,-3863.5,-9117.0,-1.9729568656854766
TRANSLATOR_ASTRO_BLACK,ar1_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-1416.0,-6593.0,-2.210445209334351,-4.660049625883343,41,150,1464.0,6601.0,-4004.5,-6593.0,-4.660049625883343
TRANSLATOR_ASTRO_BLACK,ar1_dx,A,2.5,0.25,-1.0,-1,fixed,0.0,-1398.0,-6834.0,-2.2101829502267023,-4.465664385342107,42,151,1446.0,6842.0,-4116.0,-6834.0,-4.465664385342107
TRANSLATOR_ASTRO_BLACK,median_50,A,1.75,0.5,-1.0,-1,fixed,0.0,705.0,-9737.0,0.09453507652523528,-2.3432859396040246,142,203,2829.0,11214.0,-4516.0,-9737.0,-2.3432859396040246
TRANSLATOR_ASTRO_BLACK,median_50,A,1.5,0.0,-1.0,-1,fixed,0.0,859.0,-11340.0,-0.036138782382683456,-2.2167710474432525,235,254,3282.0,13216.0,-5240.5,-11340.0,-2.2167710474432525
TRANSLATOR_ASTRO_BLACK,ar3_dx,A,2.5,0.5,-1.0,-1,fixed,0.0,-3460.0,-8523.0,-3.995257296310457,-5.515706354141251,101,234,3460.0,8523.0,-5991.5,-8523.0,-5.515706354141251
TRANSLATOR_ASTRO_BLACK,median_50,A,1.5,0.1,-1.0,-1,fixed,0.0,86.0,-12080.0,-0.22334565688793914,-2.3395679358754013,246,261,3348.0,14091.0,-5997.0,-12080.0,-2.3395679358754013
TRANSLATOR_ASTRO_BLACK,ar3_dx,A,2.5,0.1,-1.0,-1,fixed,0.0,-3610.0,-8451.0,-3.9637588557983747,-4.8840631138636565,101,228,3610.0,8451.0,-6030.5,-8451.0,-4.8840631138636565
