product,fv_id,rule,z_in,z_out,z_stop,time_stop,sizing,sizing_gamma,pnl_A,pnl_B,sharpe_A,sharpe_B,nt_A,nt_B,dd_A,dd_B,avg_daily_pnl,min_pnl,min_sharpe
UV_VISOR_RED,mid_anchor,A,2.5,0.25,-1.0,-1,fixed,0.0,-8828.0,-31750.0,-6.352371243277165,-9.890895428579173,174,452,8843.0,31750.0,-20289.0,-31750.0,-9.890895428579173
UV_VISOR_RED,mid_anchor,A,2.5,0.5,-1.0,-1,fixed,0.0,-8938.0,-31900.0,-6.486092213534437,-10.21669778341869,174,454,8953.0,31900.0,-20419.0,-31900.0,-10.21669778341869
UV_VISOR_RED,lattice_2,A,2.5,0.5,-1.0,-1,fixed,0.0,-9674.0,-31200.0,-6.530645267241445,-10.577792789877856,179,446,9689.0,31200.0,-20437.0,-31200.0,-10.577792789877856
UV_VISOR_RED,lattice_2,A,2.5,0.25,-1.0,-1,fixed,0.0,-9724.0,-31190.0,-6.550527752020555,-10.125064916276028,179,444,9739.0,31190.0,-20457.0,-31190.0,-10.125064916276028
UV_VISOR_RED,mid_anchor,A,2.5,0.1,-1.0,-1,fixed,0.0,-9268.0,-31810.0,-6.038730263594105,-9.349141171369233,174,452,9283.0,31810.0,-20539.0,-31810.0,-9.349141171369233
UV_VISOR_RED,lattice_2,A,2.5,0.0,-1.0,-1,fixed,0.0,-10044.0,-31186.0,-6.268780527128062,-9.667508069916058,179,445,10059.0,31186.0,-20615.0,-31186.0,-9.667508069916058
UV_VISOR_RED,lattice_2,A,2.5,0.1,-1.0,-1,fixed,0.0,-10214.0,-31160.0,-6.290525117691118,-9.9045558066477,179,444,10229.0,31160.0,-20687.0,-31160.0,-9.9045558066477
UV_VISOR_RED,mid_anchor,A,2.5,0.0,-1.0,-1,fixed,0.0,-9158.0,-32232.0,-6.057253564411555,-9.439669024868797,174,454,9173.0,32232.0,-20695.0,-32232.0,-9.439669024868797
UV_VISOR_RED,ofi_lag1,A,2.5,0.25,-1.0,-1,fixed,0.0,-9768.0,-32090.0,-6.70656126422379,-9.996953980823895,182,454,9783.0,32090.0,-20929.0,-32090.0,-9.996953980823895
UV_VISOR_RED,ofi_lag1,A,2.5,0.5,-1.0,-1,fixed,0.0,-9878.0,-32030.0,-6.8378332055097,-10.307240164978209,182,456,9893.0,32030.0,-20954.0,-32030.0,-10.307240164978209
UV_VISOR_RED,ofi_lag1,A,2.5,0.1,-1.0,-1,fixed,0.0,-10208.0,-31890.0,-6.408647879794825,-9.416364421624337,182,454,10223.0,31890.0,-21049.0,-31890.0,-9.416364421624337
UV_VISOR_RED,ofi_lag1,A,2.5,0.0,-1.0,-1,fixed,0.0,-10098.0,-32382.0,-6.42569003431308,-9.514578168026693,182,456,10113.0,32382.0,-21240.0,-32382.0,-9.514578168026693
UV_VISOR_RED,markov_10,A,2.5,0.25,-1.0,-1,fixed,0.0,-10488.0,-33058.0,-7.2316767965998,-10.006946260472851,196,465,10503.0,33058.0,-21773.0,-33058.0,-10.006946260472851
UV_VISOR_RED,markov_10,A,2.5,0.5,-1.0,-1,fixed,0.0,-10228.0,-33328.0,-7.37295052429638,-10.445581158551347,196,467,10243.0,33328.0,-21778.0,-33328.0,-10.445581158551347
UV_VISOR_RED,markov_10,A,2.5,0.0,-1.0,-1,fixed,0.0,-10438.0,-33530.0,-6.920024993468347,-9.518850539469499,196,467,10453.0,33530.0,-21984.0,-33530.0,-9.518850539469499
UV_VISOR_RED,markov_10,A,2.5,0.1,-1.0,-1,fixed,0.0,-10558.0,-33688.0,-6.853606859611368,-9.536726064211011,196,465,10573.0,33688.0,-22123.0,-33688.0,-9.536726064211011
UV_VISOR_RED,mid_anchor,A,2.0,0.0,-1.0,-1,fixed,0.0,-45513.0,-90311.0,-14.082000548786683,-19.961853604286436,766,1263,45513.0,90311.0,-67912.0,-90311.0,-19.961853604286436
UV_VISOR_RED,ofi_lag1,A,2.0,0.1,-1.0,-1,fixed,0.0,-45193.0,-90659.0,-14.077136374870566,-19.919262302832575,770,1267,45193.0,90659.0,-67926.0,-90659.0,-19.919262302832575
UV_VISOR_RED,ofi_lag1,A,2.0,0.0,-1.0,-1,fixed,0.0,-45203.0,-90651.0,-14.14601226743283,-19.89008611791679,766,1263,45203.0,90651.0,-67927.0,-90651.0,-19.89008611791679
UV_VISOR_RED,mid_anchor,A,2.0,0.1,-1.0,-1,fixed,0.0,-45603.0,-90819.0,-14.021619146128359,-19.917218865825586,770,1267,45603.0,90819.0,-68211.0,-90819.0,-19.917218865825586
