product,pnl_3day,pnl_per_day
PEBBLES_XL,104729,34909.666666666664
MICROCHIP_RECTANGLE,64071,21357.0
SLEEP_POD_SUEDE,61323,20441.0
OXYGEN_SHAKE_GARLIC,60605,20201.666666666668
GALAXY_SOUNDS_BLACK_HOLES,54282,18094.0
PANEL_2X4,51517,17172.333333333332
GALAXY_SOUNDS_SOLAR_WINDS,50021,16673.666666666668
UV_VISOR_YELLOW,49135,16378.333333333334
SLEEP_POD_POLYESTER,39798,13266.0
SLEEP_POD_COTTON,39680,13226.666666666666
ROBOT_IRONING,38224,12741.333333333334
PEBBLES_S,36693,12231.0
MICROCHIP_SQUARE,36681,12227.0
GALAXY_SOUNDS_DARK_MATTER,33669,11223.0
TRANSLATOR_ECLIPSE_CHARCOAL,31514,10504.666666666666
PEBBLES_M,31455,10485.0
ROBOT_LAUNDRY,25511,8503.666666666666
UV_VISOR_AMBER,24028,8009.333333333333
OXYGEN_SHAKE_CHOCOLATE,23573,7857.666666666667
SNACKPACK_STRAWBERRY,23356,7785.333333333333
OXYGEN_SHAKE_EVENING_BREATH,20865,6955.0
TRANSLATOR_VOID_BLUE,20360,6786.666666666667
GALAXY_SOUNDS_PLANETARY_RINGS,18164,6054.666666666667
OXYGEN_SHAKE_MORNING_BREATH,17299,5766.333333333333
PANEL_1X4,16319,5439.666666666667
UV_VISOR_ORANGE,14997,4999.0
ROBOT_DISHES,14741,4913.666666666667
SLEEP_POD_NYLON,12855,4285.0
MICROCHIP_TRIANGLE,12309,4103.0
MICROCHIP_OVAL,11011,3670.3333333333335
MICROCHIP_CIRCLE,10381,3460.3333333333335
UV_VISOR_RED,9799,3266.3333333333335
SNACKPACK_PISTACHIO,9242,3080.6666666666665
TRANSLATOR_ASTRO_BLACK,8840,2946.6666666666665
PEBBLES_XS,8527,2842.3333333333335
PANEL_2X2,6814,2271.3333333333335
UV_VISOR_MAGENTA,5449,1816.3333333333333
SLEEP_POD_LAMB_WOOL,5303,1767.6666666666667
TRANSLATOR_SPACE_GRAY,4789,1596.3333333333333
SNACKPACK_VANILLA,3873,1291.0
GALAXY_SOUNDS_SOLAR_FLAMES,1638,546.0
ROBOT_VACUUMING,1624,541.3333333333334
PANEL_4X4,-356,-118.66666666666667
OXYGEN_SHAKE_MINT,-558,-186.0
PANEL_1X2,-1089,-363.0
TRANSLATOR_GRAPHITE_MIST,-1301,-433.6666666666667
PEBBLES_L,-1512,-504.0
ROBOT_MOPPING,-3059,-1019.6666666666666
SNACKPACK_CHOCOLATE,-8223,-2741.0
SNACKPACK_RASPBERRY,-15948,-5316.0
