product,cap,current_cap,fold_median,fold_mean,fold_min,fold_pos,total_3day,sharpe,max_dd,prod_pnl
SLEEP_POD_LAMB_WOOL,2,3,418464.0,409827.6,380204,5,1212210,19.4125,22020,3666
SLEEP_POD_LAMB_WOOL,3,3,419620.0,410617.2,380784,5,1213847,19.389,21796,5303
SLEEP_POD_LAMB_WOOL,4,3,421326.0,411882.8,381800,5,1216761,19.3539,21824,8217
SLEEP_POD_LAMB_WOOL,5,3,423004.0,413115.2,382716,5,1219568,19.2493,21853,11025
SLEEP_POD_LAMB_WOOL,6,3,424867.0,414272.2,383168,5,1221628,18.8788,22090,13084
SLEEP_POD_LAMB_WOOL,8,3,426851.0,415861.8,385342,5,1225607,19.2883,22202,17063
SLEEP_POD_LAMB_WOOL,10,3,427371.0,416581.4,386490,5,1228164,19.6073,23008,19621
UV_VISOR_MAGENTA,4,4,419620.0,410617.2,380784,5,1213847,19.389,21796,5449
UV_VISOR_MAGENTA,2,4,417336.0,408965.4,380168,5,1210155,19.9272,21905,1757
UV_VISOR_MAGENTA,3,4,418736.0,409665.4,379849,5,1210856,19.37,21852,2458
UV_VISOR_MAGENTA,5,4,419264.0,410421.4,380853,5,1213578,19.537,22137,5181
UV_VISOR_MAGENTA,6,4,418978.0,410003.6,379290,5,1212062,18.7272,21995,3664
UV_VISOR_MAGENTA,8,4,421337.0,412185.0,380278,5,1218252,18.0712,21796,9853
PANEL_1X2,3,3,419620.0,410617.2,380784,5,1213847,19.389,21796,-1089
UV_VISOR_MAGENTA,10,4,420803.0,412301.4,380032,5,1219901,17.6386,21995,11503
PANEL_1X2,2,3,420462.0,411291.2,380744,5,1215533,18.9504,21740,597
PANEL_1X2,4,3,418571.0,409733.8,380952,5,1211528,20.0982,22066,-3408
PANEL_1X2,5,3,417481.0,408822.2,380722,5,1209148,20.5525,22374,-5787
PANEL_1X2,6,3,416946.0,408122.8,379908,5,1206722,20.4586,22730,-8214
PANEL_1X2,8,3,414717.0,406165.4,379214,5,1201393,21.3501,23226,-13543
PANEL_1X2,10,3,412408.0,404488.8,380938,5,1197626,24.4363,23468,-17309
TRANSLATOR_SPACE_GRAY,4,4,419620.0,410617.2,380784,5,1213847,19.389,21796,4789
TRANSLATOR_SPACE_GRAY,3,4,419318.0,410395.0,382438,5,1213339,20.7956,22026,4281
TRANSLATOR_SPACE_GRAY,2,4,418058.0,409708.4,384718,5,1212426,23.3089,22257,3368
TRANSLATOR_SPACE_GRAY,5,4,420220.0,410838.2,378816,5,1213752,17.9939,21612,4694
TRANSLATOR_SPACE_GRAY,8,4,418324.0,408895.8,373654,5,1207832,16.0357,21270,-1226
TRANSLATOR_SPACE_GRAY,6,4,420110.0,410651.4,377482,5,1213037,17.2939,21520,3979
TRANSLATOR_SPACE_GRAY,10,4,416710.0,407531.6,371020,5,1204238,15.2504,21399,-4820
ROBOT_MOPPING,4,4,419620.0,410617.2,380784,5,1213847,19.389,21796,-3059
ROBOT_MOPPING,3,4,421840.0,412239.2,381800,5,1217514,19.1474,21650,608
ROBOT_MOPPING,2,4,422530.0,412762.6,381488,5,1218754,18.6381,21521,1847
ROBOT_MOPPING,5,4,418152.0,409272.6,379777,5,1210059,19.5439,22086,-6847
ROBOT_MOPPING,6,4,417020.0,408156.4,379412,5,1206742,20.0532,22458,-10165
ROBOT_MOPPING,8,4,413982.0,406005.6,381092,5,1202064,23.1245,23056,-14843
ROBOT_MOPPING,10,4,412068.0,404773.4,384466,5,1199732,28.3798,23362,-17174
PANEL_4X4,4,4,419620.0,410617.2,380784,5,1213847,19.389,21796,-356
PANEL_4X4,2,4,420374.0,411345.6,380023,5,1215980,18.3869,22246,1777
PANEL_4X4,3,4,420078.0,410974.0,380352,5,1214715,18.8683,22021,512
PANEL_4X4,5,4,419362.0,410526.0,381668,5,1213906,20.0783,21743,-298
PANEL_4X4,6,4,417860.0,409688.6,382418,5,1212724,21.1734,21766,-1479
PANEL_4X4,8,4,416104.0,408817.6,383656,5,1211879,22.8273,21608,-2325
PANEL_4X4,10,4,415470.0,408150.6,382756,5,1209812,22.5637,21708,-4391
GALAXY_SOUNDS_SOLAR_FLAMES,4,4,419620.0,410617.2,380784,5,1213847,19.389,21796,1638
GALAXY_SOUNDS_SOLAR_FLAMES,3,4,418586.0,410624.8,381920,5,1215952,19.9431,22242,3742
GALAXY_SOUNDS_SOLAR_FLAMES,2,4,418082.0,410622.6,381034,5,1216949,19.028,22688,4740
GALAXY_SOUNDS_SOLAR_FLAMES,5,4,419724.0,410161.2,379750,5,1211358,19.0625,21397,-851
GALAXY_SOUNDS_SOLAR_FLAMES,8,4,419812.0,409136.0,376308,5,1206055,17.6268,21364,-6154
GALAXY_SOUNDS_SOLAR_FLAMES,6,4,420166.0,409963.8,378624,5,1209487,18.5172,21304,-2722
GALAXY_SOUNDS_SOLAR_FLAMES,10,4,418080.0,408026.4,375646,5,1203972,17.7729,22188,-8237
SNACKPACK_RASPBERRY,2,5,415851.0,407855.4,380129,5,1207575,20.6297,21990,6175
SNACKPACK_RASPBERRY,5,5,419620.0,410617.2,380784,5,1213847,19.389,21796,12447
SNACKPACK_RASPBERRY,3,5,417073.0,408735.0,380194,5,1209529,20.11,22136,8130
SNACKPACK_RASPBERRY,4,5,418180.0,409569.0,380503,5,1211486,19.8162,22440,10086
SNACKPACK_RASPBERRY,6,5,419878.0,410946.0,380850,5,1214974,19.1976,22202,13575
SNACKPACK_RASPBERRY,8,5,420485.0,411729.0,380858,5,1217674,18.6369,22204,16274
SNACKPACK_RASPBERRY,10,5,421944.0,413192.0,381798,5,1222072,18.3422,21912,20673
SNACKPACK_CHOCOLATE,2,5,416320.0,407418.8,378630,5,1204454,19.9899,22072,5453
SNACKPACK_CHOCOLATE,5,5,419620.0,410617.2,380784,5,1213847,19.389,21796,14847
SNACKPACK_CHOCOLATE,3,5,416996.0,408241.2,379372,5,1207213,19.9382,21980,8212
SNACKPACK_CHOCOLATE,4,5,418211.0,409413.8,380240,5,1210648,19.7733,21888,11647
SNACKPACK_CHOCOLATE,6,5,421064.0,411841.6,381366,5,1217080,19.0367,21908,18079
SNACKPACK_CHOCOLATE,8,5,423858.0,414295.6,382512,5,1223763,18.3413,22166,24762
SNACKPACK_CHOCOLATE,10,5,425871.0,416413.4,384390,5,1230325,18.2582,22424,31324
PEBBLES_L,4,4,419620.0,410617.2,380784,5,1213847,19.389,21796,3603
PEBBLES_L,5,4,420228.0,410545.0,378928,5,1212269,18.3015,20918,2025
PEBBLES_L,2,4,417320.0,409988.8,384518,5,1215304,22.5946,22724,5060
